Date,Open,High,Low,Close,Volume
2/16/2024,183.42,184.85,181.67,182.31,49752473.00
2/15/2024,183.55,184.49,181.35,183.86,65434500.00
2/14/2024,185.32,185.53,182.44,184.15,54630520.00
2/13/2024,185.77,186.21,183.51,185.04,56529527.00
2/12/2024,188.42,188.67,186.79,187.15,41781930.00
2/9/2024,188.65,189.99,188,188.85,45155219.00
2/8/2024,189.39,189.54,187.35,188.32,40962047.00
2/7/2024,190.64,191.05,188.61,189.41,53438961.00
2/6/2024,186.86,189.31,186.77,189.3,43490762.00
2/5/2024,188.15,189.25,185.84,187.68,69668812.00
2/2/2024,179.86,187.33,179.25,185.85,102551695.00
2/1/2024,183.99,186.95,183.82,186.86,64885406.00
1/31/2024,187.04,187.1,184.35,184.4,55467801.00
1/30/2024,190.94,191.8,187.47,188.04,55859367.00
1/29/2024,192.01,192.2,189.58,191.73,47145621.00
1/26/2024,194.27,194.76,191.94,192.42,44594008.00
1/25/2024,195.22,196.27,193.11,194.17,54822129.00
1/24/2024,195.42,196.38,194.34,194.5,53631320.00
1/23/2024,195.02,195.75,193.83,195.18,42355594.00
1/22/2024,192.3,195.33,192.26,193.89,60133848.00
1/19/2024,189.33,191.95,188.82,191.56,68902992.00
1/18/2024,186.09,189.14,185.83,188.63,78005750.00
1/17/2024,181.27,182.93,180.3,182.68,47317434.00
1/16/2024,182.16,184.26,180.93,183.63,65603039.00
1/12/2024,186.06,186.74,185.19,185.92,40477781.00
1/11/2024,186.54,187.05,183.62,185.59,49128406.00
1/10/2024,184.35,186.4,183.92,186.19,46792910.00
1/9/2024,183.92,185.15,182.73,185.14,42841809.00
1/8/2024,182.09,185.6,181.5,185.56,59144473.00
1/5/2024,181.99,182.76,180.17,181.18,62379660.00
1/4/2024,182.15,183.09,180.88,181.91,71983570.00
1/3/2024,184.22,185.88,183.43,184.25,58414461.00
1/2/2024,187.15,188.44,183.89,185.64,82488672.00
12/29/2023,193.9,194.4,191.73,192.53,42672152.00
12/28/2023,194.14,194.66,193.17,193.58,34049898.00
12/27/2023,192.49,193.5,191.09,193.15,48087680.00
12/26/2023,193.61,193.89,192.83,193.05,28919311.00
12/22/2023,195.18,195.41,192.97,193.6,37149566.00
12/21/2023,196.1,197.08,193.5,194.68,46482551.00
12/20/2023,196.9,197.68,194.83,194.83,52242820.00
12/19/2023,196.16,196.95,195.89,196.94,40714047.00
12/18/2023,196.09,196.63,194.39,195.89,55751859.00
12/15/2023,197.53,198.4,197,197.57,128538398.00
12/14/2023,198.02,199.62,196.16,198.11,66831570.00
12/13/2023,195.09,198,194.85,197.96,70404180.00
12/12/2023,193.08,194.72,191.72,194.71,52696898.00
12/11/2023,193.11,193.49,191.42,193.18,60943699.00
12/8/2023,194.2,195.99,193.67,195.71,53406359.00
12/7/2023,193.63,195,193.59,194.27,47477660.00
12/6/2023,194.45,194.76,192.11,192.32,41089738.00
12/5/2023,190.21,194.4,190.18,193.42,66628398.00
12/4/2023,189.98,190.05,187.45,189.43,43389520.00
12/1/2023,190.33,191.56,189.23,191.24,45704820.00
11/30/2023,189.84,190.32,188.19,189.95,48794367.00
11/29/2023,190.9,192.09,188.97,189.37,43014219.00
11/28/2023,189.78,191.08,189.4,190.4,38415422.00
11/27/2023,189.92,190.67,188.9,189.79,40552609.00
11/24/2023,190.87,190.9,189.25,189.97,24048340.00
11/22/2023,191.49,192.93,190.83,191.31,39630008.00
11/21/2023,191.41,191.52,189.74,190.64,38134488.00
