Date,Open,High,Low,Close,Volume
2/20/2024,175.83,178.68,175.52,175.75,5484327.00
2/16/2024,176.89,178.92,176.07,177.49,6689902.00
2/15/2024,174.02,176.74,173.81,176.59,5276243.00
2/14/2024,173.06,174.86,172.68,174.42,4348610.00
2/13/2024,174.46,175.2,171.97,173.29,5480551.00
2/12/2024,173.54,174.76,172.23,173.07,3477198.00
2/9/2024,175.07,175.4,173.05,174.08,3502661.00
2/8/2024,174.35,175.91,174.3,174.79,5709326.00
2/7/2024,174.01,175.56,173.32,175.01,6409084.00
2/6/2024,171.65,173.96,169.77,173.29,7038000.00
2/5/2024,169.84,173.13,168.45,171.26,6486886.00
2/2/2024,169.42,172.85,165.23,168.67,7870521.00
2/1/2024,163.7,167.68,162.67,167.59,5584434.00
1/31/2024,165.75,165.86,163.95,164.4,4994053.00
1/30/2024,164.22,164.98,163.26,164.92,3819615.00
1/29/2024,165.85,166.76,163.68,163.91,4704269.00
1/26/2024,165.27,165.86,163.5,164.4,4654408.00
1/25/2024,164,165.21,163.2,165.13,4465939.00
1/24/2024,167.77,167.95,164.06,164.22,5422244.00
1/23/2024,164.45,167.53,164.06,167.5,5784885.00
1/22/2024,164.44,165.45,163.76,165.39,4864044.00
1/19/2024,163.91,164.87,162.6,164.77,5863150.00
1/18/2024,161.16,163.66,161,163.3,5074330.00
1/17/2024,161.75,162.95,161.52,162.04,4423158.00
1/16/2024,161.98,162.3,161.02,161.48,4747730.00
1/12/2024,162.75,163.3,162.18,162.4,4971442.00
1/11/2024,164.25,165.12,163.09,163.78,4591523.00
1/10/2024,162.27,165.08,161.88,164.89,6609876.00
1/9/2024,161.43,163.47,160.84,162.31,4454130.00
1/8/2024,162.18,162.77,159.78,161.43,6001632.00
1/5/2024,161.33,163.03,160.61,162.14,4853039.00
1/4/2024,160.31,162.29,159.43,161.46,8332192.00
1/3/2024,160.59,161.75,159.84,160.46,5301350.00
1/2/2024,154.9,160.14,154.77,159.82,8059876.00
12/29/2023,154.54,155.21,154.41,154.97,3712029.00
12/28/2023,155.25,155.63,154.54,154.75,2601447.00
12/27/2023,154.05,154.97,153.72,154.88,3747362.00
12/26/2023,154.25,155.28,154.13,154.62,2073611.00
12/22/2023,153.29,155.46,153.09,154.94,3373413.00
12/21/2023,152.05,152.91,151.29,152.59,4036192.00
12/20/2023,153.99,154.21,151.54,151.69,4716407.00
12/19/2023,153.59,154.48,152.45,153.6,5476837.00
12/18/2023,153,154.36,151.75,153.42,5379553.00
12/15/2023,154.74,155.89,153.11,154.04,15203070.00
12/14/2023,154.36,155.16,152.76,154.88,7869640.00
12/13/2023,152.98,154.77,152.73,154.3,8104528.00
12/12/2023,151.73,153.59,150.17,153.24,5882226.00
12/11/2023,150.67,152.71,150.64,151.24,6343530.00
12/8/2023,148.07,150.07,148,149.28,5695196.00
12/7/2023,147.64,148.38,145.2,147.97,7225141.00
12/6/2023,144.79,147.07,144.73,146.38,4978839.00
12/5/2023,144.11,145.08,142.66,144.57,3961719.00
12/4/2023,143.41,145.49,143.27,144.15,4845465.00
12/1/2023,142.54,144.1,142.28,143.41,4903432.00
11/30/2023,138.01,142.7,138.01,142.39,9297383.00
11/29/2023,138.02,139.09,137.65,138.5,3996604.00
11/28/2023,139.05,139.66,137.92,138.08,5347231.00
11/27/2023,138.7,139.38,137.79,139.09,5529373.00
11/24/2023,140,140.08,138.46,138.67,1636535.00
11/22/2023,139.06,139.84,138.33,138.47,3428670.00
