Date,Open,High,Low,Close,Volume
2/20/2024,114.33,117.19,113.96,116.64,9601289.00
2/16/2024,113.5,115.49,113.45,114.01,7161109.00
2/15/2024,112.27,114.27,112.27,113.64,5450684.00
2/14/2024,111.64,112.38,111.12,112.06,3991233.00
2/13/2024,112.47,113.11,110.58,111.34,4263613.00
2/12/2024,111.5,112.63,111.21,112.53,4232159.00
2/9/2024,112.25,112.63,111.19,111.81,5947680.00
2/8/2024,113.35,113.35,111.52,112.43,6980455.00
2/7/2024,114.6,114.6,112.89,113.31,4757532.00
2/6/2024,111.82,114.51,111.72,114,4734844.00
2/5/2024,112.02,112.46,111.15,111.65,5670059.00
2/2/2024,112.96,114.06,111.98,112.11,7575685.00
2/1/2024,112.75,114.54,112,114.49,4520542.00
1/31/2024,114,114.54,112.62,113.15,8325187.00
1/30/2024,113.9,113.92,112.38,113.48,4768366.00
1/29/2024,112.15,113.47,112.03,113.45,6480613.00
1/26/2024,113.23,113.41,111.54,112.01,5176697.00
1/25/2024,111.41,112.57,110.79,112.45,5648750.00
1/24/2024,110.75,113.35,109.74,110.77,8710759.00
1/23/2024,114.45,115.5,112.87,114,5037299.00
1/22/2024,114.93,115.64,114.14,114.19,5062485.00
1/19/2024,113.63,114.86,113.46,114.69,6843279.00
1/18/2024,114.2,114.57,113.41,114.02,5098185.00
1/17/2024,113.62,114.5,113.44,113.93,4672119.00
1/16/2024,113.51,114.07,112.91,113.76,5876044.00
1/12/2024,114.17,114.94,113.45,113.92,3884932.00
1/11/2024,113.26,113.73,112.59,113.5,5163897.00
1/10/2024,113.05,114.41,112.81,114.4,4672114.00
1/9/2024,112.15,113.54,112.06,112.73,3802118.00
1/8/2024,111.13,112.52,110.92,112.4,5030376.00
1/5/2024,110.71,111.05,110.03,110.8,4127750.00
1/4/2024,109.68,111.03,109.51,110.98,5296139.00
1/3/2024,110.14,110.25,109.29,109.52,4239623.00
1/2/2024,109.56,111,109.56,109.85,5058688.00
12/29/2023,110.4,110.73,109.83,110.07,3550304.00
12/28/2023,109.85,110.71,109.72,110.4,3206121.00
12/27/2023,109.04,109.8,109.04,109.79,2471820.00
12/26/2023,108.51,109.73,108.51,109.23,2513454.00
12/22/2023,108.86,109.34,108.5,109.03,2565722.00
12/21/2023,107.42,108.68,107.18,108.48,3555633.00
12/20/2023,107.85,108.82,107.3,107.4,5666298.00
12/19/2023,108.15,108.72,107.43,108.42,4675105.00
12/18/2023,107.64,108.62,107.16,108.06,5142887.00
12/15/2023,107.86,107.97,106.51,107.29,13316300.00
12/14/2023,107.83,108.67,106.68,108.6,6611835.00
12/13/2023,106.01,107.28,105.9,107.25,6534777.00
12/12/2023,106.37,107.22,105.56,106.68,5354557.00
12/11/2023,104.21,106.25,104.21,106.22,5208402.00
12/8/2023,104.12,104.86,104.12,104.51,3426782.00
12/7/2023,105.19,105.21,103.96,104.05,5199037.00
12/6/2023,104.63,105.26,103.88,104.94,4295989.00
12/5/2023,105,105.25,103.95,104.35,4315538.00
12/4/2023,104.41,105.51,104.3,105.19,4717698.00
12/1/2023,104.22,104.98,103.9,104.88,4682345.00
11/30/2023,103.75,104.72,103.11,104.29,16766260.00
11/29/2023,102.32,103.84,102.23,103.63,5458717.00
11/28/2023,102.46,102.49,101.35,102.06,3607642.00
11/27/2023,102.6,103.47,102.25,102.71,4572527.00
11/24/2023,102.68,103.18,102.19,102.87,2166784.00
11/22/2023,102.28,103.22,102.08,102.7,6470581.00
