Date,Open,High,Low,Close,Volume
2/21/2024,86.23,86.25,83.97,84.71,1825402.00
2/20/2024,86.03,86.09,85.13,85.37,1871944.00
2/16/2024,88.42,88.77,86.02,86.11,2370393.00
2/15/2024,86.43,88.44,84.8,87.4,2431239.00
2/14/2024,84,85.37,83.91,84.87,2336148.00
2/13/2024,83.33,84.45,83.12,84.06,1586140.00
2/12/2024,83.58,83.61,82.75,83.1,1375305.00
2/9/2024,82.35,83.52,81.59,83.46,1130943.00
2/8/2024,83.97,84.24,80.97,82.76,1897703.00
2/7/2024,83.38,84.72,83.03,84.42,1385323.00
2/6/2024,83.98,84.15,83.17,83.3,1307161.00
2/5/2024,83.02,83.91,82.87,83.66,1804127.00
2/2/2024,83.16,83.64,82.6,83.3,1514721.00
2/1/2024,81.58,82.33,81.06,82.09,1841546.00
1/31/2024,80.99,82.78,80.98,82.43,2325832.00
1/30/2024,79.62,80.65,79.51,80.58,1036857.00
1/29/2024,79.27,79.83,79,79.73,1323506.00
1/26/2024,79.79,80.13,79.25,79.9,1321863.00
1/25/2024,80,80.48,78.67,79.6,1620850.00
1/24/2024,80.95,80.97,80.04,80.13,1486684.00
1/23/2024,80.43,81.02,80.01,80.34,1178691.00
1/22/2024,81.01,81.29,80.3,80.47,1641498.00
1/19/2024,79.66,81.37,79.66,80.88,1996987.00
1/18/2024,77.68,79.06,77.53,78.96,1801940.00
1/17/2024,77.94,79.29,77.94,78.67,1439554.00
1/16/2024,78.53,78.63,77.55,78.17,1468300.00
1/12/2024,77.73,78.1,77.06,77.69,1212094.00
1/11/2024,77.25,77.72,76.82,77.62,1314935.00
1/10/2024,76.24,77.31,76.24,76.96,1587610.00
1/9/2024,76.82,77.03,74.85,76.15,1839084.00
1/8/2024,77.15,77.3,75.72,77.12,1484645.00
1/5/2024,77.65,78,76.49,76.81,2073991.00
1/4/2024,77.72,78.46,77.3,77.47,1945813.00
1/3/2024,75.91,77.66,75.75,76.94,2213929.00
1/2/2024,74.61,75.74,74.28,75.55,1859755.00
12/29/2023,73.93,74.53,73.58,74.27,1332313.00
12/28/2023,73.72,74.27,73.51,74.06,1336431.00
12/27/2023,73.25,73.62,73.04,73.54,950850.00
12/26/2023,74,74,73.19,73.51,1158574.00
12/22/2023,74.22,74.55,73.5,73.84,1303434.00
12/21/2023,73.41,74.23,73.2,74.16,1781576.00
12/20/2023,74.43,74.57,73.33,73.61,1564199.00
12/19/2023,74.68,75.11,74.36,74.83,1953957.00
12/18/2023,74.89,75.23,73.57,74.65,1849617.00
12/15/2023,74.33,74.8,72.85,73.42,4577845.00
12/14/2023,77.98,78,74.01,74.67,3856340.00
12/13/2023,80.15,80.37,77.94,78.38,2106489.00
12/12/2023,79.77,80.79,79.54,80.28,1372193.00
12/11/2023,79.33,80.74,79.33,79.61,1320031.00
12/8/2023,78.68,79.39,78.32,79.3,1372916.00
12/7/2023,80.02,80.43,78.2,78.34,2321737.00
12/6/2023,82.2,82.47,79.27,79.97,1797032.00
12/5/2023,82.01,82.5,81.28,81.85,1211267.00
12/4/2023,82.57,83.08,81.59,81.99,1662565.00
12/1/2023,83.7,84.53,82.54,82.63,1659888.00
11/30/2023,82.54,83.77,82.54,83.69,3726921.00
11/29/2023,84.11,84.39,82.1,82.38,2218506.00
11/28/2023,86.79,87.16,84.39,84.45,1621127.00
11/27/2023,86.64,87.44,86.24,87,1842579.00
11/24/2023,85.92,87.15,85.92,86.6,741453.00
