Date,Open,High,Low,Close,Volume
2/20/2024,369.88,370,361.44,362.95,1631068.00
2/16/2024,372.3,373.43,368.35,369.48,2410212.00
2/15/2024,372.59,374.56,370.14,371.51,2358868.00
2/14/2024,366.24,371.19,366.24,370.98,2114618.00
2/13/2024,361.41,365.76,360,362.81,1697041.00
2/12/2024,369.49,370.4,366.18,367.43,1325023.00
2/9/2024,369.25,372.48,367.95,371.67,1482651.00
2/8/2024,367.68,369.47,366.92,368.48,1680009.00
2/7/2024,365,369.92,364.12,366.65,2531941.00
2/6/2024,370.52,371.71,362.4,364.7,4012319.00
2/5/2024,372.5,374,369.07,370.34,1787377.00
2/2/2024,372.19,374.81,369.48,372.95,1590488.00
2/1/2024,364,371.21,363.45,370.91,1500135.00
1/31/2024,371,372.72,363.44,363.88,2320257.00
1/30/2024,374,375.25,370.98,371.3,1849667.00
1/29/2024,370.52,375.43,370.08,373.35,1683157.00
1/26/2024,371.92,374.14,369.81,371.07,1404798.00
1/25/2024,372.38,375.73,370.12,371.94,2227478.00
1/24/2024,371,372.24,367.83,368.9,2250111.00
1/23/2024,367.36,370,365.64,369.86,1693134.00
1/22/2024,364,368.65,363.5,367.21,2302481.00
1/19/2024,361.53,364.82,360.12,363.9,2506516.00
1/18/2024,356.02,359.78,355.17,359.55,2064213.00
1/17/2024,351.81,357.33,351.81,353.65,1917067.00
1/16/2024,352.37,356.48,351.11,354.56,2097583.00
1/12/2024,350,357.66,348.71,356.33,2406024.00
1/11/2024,343.5,348.43,343.05,347.97,1785867.00
1/10/2024,344.58,345.63,342.78,345.33,1569142.00
1/9/2024,339.27,342.76,338.03,342.75,1625934.00
1/8/2024,335,340.47,335,340.35,1909518.00
1/5/2024,338,339.75,335.54,336.62,1510825.00
1/4/2024,337.92,339.8,336.53,337.09,2750560.00
1/3/2024,342.53,343.77,337.53,337.92,3061007.00
1/2/2024,348.19,350.3,345.29,346.92,2319486.00
12/29/2023,351.79,352.91,349.43,350.91,1233533.00
12/28/2023,354.14,354.5,351.25,351.59,1300785.00
12/27/2023,354.5,355.38,351.63,353.82,1309685.00
12/26/2023,354.14,354.93,351.51,353.43,1535731.00
12/22/2023,350,354.82,347.91,354.45,2313932.00
12/21/2023,340.17,349.5,340.17,348.75,3304279.00
12/20/2023,345.56,346.63,339.21,339.5,3406235.00
12/19/2023,332.73,344.8,332.02,341.51,3252761.00
12/18/2023,342.66,343.98,340.64,341.85,3208034.00
12/15/2023,338.44,346.96,336.25,344.15,3880254.00
12/14/2023,342.74,345.39,340.74,342.73,2551254.00
12/13/2023,343.4,345.2,339.87,343.64,2460977.00
12/12/2023,341.93,343.25,341.2,343.22,1935316.00
12/11/2023,335.21,342.39,335.2,342.31,1814187.00
12/8/2023,335.1,337.71,334.56,337.23,1274525.00
12/7/2023,336.56,336.56,334.22,335.1,1870287.00
12/6/2023,337.77,339.46,334.98,335.41,1502095.00
12/5/2023,334.63,337.33,333.31,335.83,1516541.00
12/4/2023,335.19,338.81,334.17,336.43,2349476.00
12/1/2023,333.8,338.5,333.16,338.06,1688780.00
11/30/2023,334.2,335,332.16,333.14,4298156.00
11/29/2023,335,335.8,332.78,333.34,1307290.00
11/28/2023,331.6,333.19,329.99,332.56,1377838.00
11/27/2023,333.82,334.43,332.19,332.43,1586934.00
11/24/2023,333.15,334.9,332.09,334.04,708478.00
11/22/2023,334.24,335.53,332.81,333.13,1425832.00
