Date,Open,High,Low,Close,Volume
2/20/2024,187.25,189.51,186.02,189.4,4600510.00
2/16/2024,187.59,190.52,186.06,188.24,4353324.00
2/15/2024,187.78,189.33,186.69,187.54,2811237.00
2/14/2024,185.91,187.08,184.75,186.32,3780847.00
2/13/2024,188.16,188.95,183.01,184.69,6800197.00
2/12/2024,194.68,195.68,192.61,194.05,6264933.00
2/9/2024,195.53,195.53,193.45,195.02,3183967.00
2/8/2024,192.97,195.17,191.91,194.06,2594515.00
2/7/2024,191.83,192.82,188.88,191.97,3500533.00
2/6/2024,193.21,193.21,189.02,189.71,3991755.00
2/5/2024,192.79,193.99,190.42,192.56,3193872.00
2/2/2024,190.33,192.88,189.74,192.1,2948446.00
2/1/2024,192.11,192.63,188.74,192.01,2628009.00
1/31/2024,193.51,196.09,191.62,192.36,4125682.00
1/30/2024,195.83,196.56,193.35,194.74,2479828.00
1/29/2024,193.94,197.32,192.92,197.2,2766529.00
1/26/2024,195.32,196.47,193.47,193.93,2379139.00
1/25/2024,202,202.05,196.96,197.3,2957271.00
1/24/2024,200.86,202.44,197.86,198.3,4255541.00
1/23/2024,197.14,201.57,196.89,201.37,3801095.00
1/22/2024,196,197.85,195.47,197.31,2861798.00
1/19/2024,191.36,195.58,191.04,194.77,4408441.00
1/18/2024,190.36,190.72,187.71,189.97,3585619.00
1/17/2024,184.68,185.7,182.88,185.43,2926027.00
1/16/2024,187.85,189.37,185.45,187.79,2373528.00
1/12/2024,189.69,190.31,187.42,188.36,1597134.00
1/11/2024,188.38,189.76,185.73,188.96,2918888.00
1/10/2024,189.62,189.62,186.35,188.37,3080387.00
1/9/2024,186.5,190.32,185.89,189.76,3151706.00
1/8/2024,187.18,189.46,187.01,188.98,2587199.00
1/5/2024,186.01,187.8,184.98,186.55,2492221.00
1/4/2024,181.9,186.89,181.81,186.07,3923546.00
1/3/2024,190.77,191.1,188.66,188.96,3297410.00
1/2/2024,197.07,197.07,191.51,193.58,3279249.00
12/29/2023,199.87,200.7,198.09,198.56,1542376.00
12/28/2023,200.86,201.47,199.71,200.24,2215518.00
12/27/2023,198.87,199.44,198.08,199.35,1646252.00
12/26/2023,197.9,199.83,197.54,198.87,1607098.00
12/22/2023,197.62,199.46,195.73,197.1,1754596.00
12/21/2023,195.12,197.7,194.77,196.28,2636834.00
12/20/2023,196.26,197.44,192.06,192.19,3629555.00
12/19/2023,197.7,198.1,196.69,197.83,1982047.00
12/18/2023,200.88,201.19,196.16,196.59,3421059.00
12/15/2023,201.94,202.77,200.02,200.88,7057483.00
12/14/2023,193.19,200.26,193.19,200.17,5610167.00
12/13/2023,191.41,193.09,189.66,192.27,3701842.00
12/12/2023,190.22,191.05,189.12,190.97,2841269.00
12/11/2023,185.65,191.11,185.56,190.13,3499464.00
12/8/2023,184.25,186.3,183.81,184.88,2404187.00
12/7/2023,182.34,185.72,180.37,184.38,3717624.00
12/6/2023,183,183,180.17,180.57,2763443.00
12/5/2023,182.22,182.51,179.63,180.63,2619996.00
12/4/2023,181.66,183.45,180.18,183.26,3316148.00
12/1/2023,182.77,183.88,181.16,183.07,2332946.00
11/30/2023,183.18,183.5,180.76,183.38,4356178.00
11/29/2023,185.29,186.93,182.53,182.71,2986577.00
11/28/2023,183.26,184.55,182.34,183.2,2797886.00
11/27/2023,182.66,184.38,181.43,183.77,3520213.00
11/24/2023,182.8,183.39,182.21,183.05,1127071.00
11/22/2023,182.16,184.21,181.44,182.67,2926365.00
