Date,Open,High,Low,Close,Volume
2/21/2024,53.3,53.93,53.1,53.9,3142028.00
2/20/2024,53.52,53.85,52.74,53.4,4459613.00
2/16/2024,54.3,54.52,53.36,53.65,3302726.00
2/15/2024,53.26,54.73,53.25,54.31,3826429.00
2/14/2024,52.55,53.32,52.45,53.27,3746378.00
2/13/2024,53.5,54.17,52.47,52.47,5274417.00
2/12/2024,53.22,53.86,53.15,53.74,3651786.00
2/9/2024,52.7,53.26,52.33,53.05,5519041.00
2/8/2024,52.9,53.04,52.32,52.7,3476798.00
2/7/2024,52.63,53.17,52.28,52.88,4051575.00
2/6/2024,53.03,54.02,52.82,53.37,5787722.00
2/5/2024,54.8,55,52.87,52.96,10606350.00
2/2/2024,56.6,56.83,55.67,55.69,4745507.00
2/1/2024,55.68,56.79,55.56,56.76,5654064.00
1/31/2024,55.95,56.26,55.23,55.58,10987680.00
1/30/2024,55.1,56.15,54.72,56,7266997.00
1/29/2024,53.91,55.15,53.07,54.94,11737430.00
1/26/2024,52.01,52.49,51.16,52.05,10795840.00
1/25/2024,52.63,53.11,50.72,51.38,13214250.00
1/24/2024,52.31,54.27,51.94,52.63,13638880.00
1/23/2024,52.23,54.19,51.81,52.31,24466641.00
1/22/2024,56.88,57.76,51.49,51.69,47394168.00
1/19/2024,68.76,68.81,68,68.19,5030231.00
1/18/2024,68.68,68.85,68.16,68.74,2609750.00
1/17/2024,68.5,69.51,68.35,68.92,2564585.00
1/16/2024,69.78,69.85,68.85,69.1,2941335.00
1/12/2024,70,70.51,69.4,69.56,2548690.00
1/11/2024,69.27,69.76,69.01,69.47,2739543.00
1/10/2024,70.68,70.89,69.3,69.33,3480556.00
1/9/2024,70.94,70.99,70.09,70.67,2875089.00
1/8/2024,70.34,71.08,69.77,71.06,3087489.00
1/5/2024,71.37,72,70.29,70.81,2926152.00
1/4/2024,73.15,73.25,71.72,71.75,3442226.00
1/3/2024,72.48,74.02,72.19,73.13,3760862.00
1/2/2024,72.35,73.23,72.18,72.76,3072643.00
12/29/2023,72.15,72.41,71.77,72.22,2195895.00
12/28/2023,71.99,72.48,71.93,72.27,2389711.00
12/27/2023,72.08,72.36,71.76,72.17,2372946.00
12/26/2023,71.55,72.6,71.55,72.39,1892498.00
12/22/2023,71.11,72.14,71.11,71.46,3018564.00
12/21/2023,70.7,71.22,70.06,70.93,3827780.00
12/20/2023,73.34,73.45,70.6,70.68,5051194.00
12/19/2023,72.65,74.17,72.55,73.94,3770412.00
12/18/2023,75.4,75.6,72.17,72.34,6458535.00
12/15/2023,76.44,76.62,75.58,75.75,11609690.00
12/14/2023,75.48,77.35,75.48,76.42,3863750.00
12/13/2023,74.4,75.43,72.53,75.26,4365154.00
12/12/2023,75,75.1,74.01,74.58,2588162.00
12/11/2023,73.85,75.2,73.62,75.08,2936763.00
12/8/2023,74.13,74.69,73.7,73.75,2903785.00
12/7/2023,73.55,74.56,73.31,73.83,3030820.00
12/6/2023,73.96,74.19,73.08,73.19,3188626.00
12/5/2023,74.29,74.7,73.96,74.14,2888840.00
12/4/2023,74.58,75.57,74.42,74.63,4183851.00
12/1/2023,73.76,75.29,73.72,75.08,2722417.00
11/30/2023,73.47,74.11,73.27,73.73,5546414.00
11/29/2023,74.01,74.12,73.06,73.19,2702613.00
11/28/2023,73.19,74.24,72.86,74.05,2834123.00
11/27/2023,74,74.07,73.19,73.19,2854226.00
11/24/2023,74.48,75.33,74.11,74.3,1171471.00
