Date,Open,High,Low,Close,Volume
2/20/2024,253.4,254.52,252.54,252.94,1439426.00
2/16/2024,251.75,254.36,250.64,252.97,2099105.00
2/15/2024,251.6,252.82,251.13,252.05,1387583.00
2/14/2024,250.1,251.26,249.06,250.9,1131497.00
2/13/2024,250.45,250.5,247.87,249.59,1827939.00
2/12/2024,249.75,250.78,249.4,250.07,1260530.00
2/9/2024,250.89,251,248.87,249.99,1243350.00
2/8/2024,249.99,251.19,248.4,251.08,1330892.00
2/7/2024,251.83,252.37,249.7,250.27,1460685.00
2/6/2024,249.4,251.8,248.52,250.81,1690542.00
2/5/2024,248.59,248.84,246.09,248.28,1733196.00
2/2/2024,247.58,249.83,246.73,248.81,2223044.00
2/1/2024,245,247.25,241.97,247.08,2008210.00
1/31/2024,246.41,251.22,244,245.78,4436278.00
1/30/2024,235.93,238.84,235.11,238.59,2024058.00
1/29/2024,234.44,237.71,234.38,237.71,2165144.00
1/26/2024,237.76,237.76,235.5,236.1,1677891.00
1/25/2024,239.24,240.75,236.26,236.72,1993315.00
1/24/2024,241.41,241.59,238.18,238.44,1744535.00
1/23/2024,239.4,240.5,238.43,240.36,1245157.00
1/22/2024,238.08,240.26,237.92,239.4,1761180.00
1/19/2024,236.7,239.22,234.64,238.24,1822287.00
1/18/2024,235.06,236.68,234.16,236.08,1182820.00
1/17/2024,236.14,237.26,234.45,235.39,1409327.00
1/16/2024,235.13,235.89,233.29,235.28,1288817.00
1/12/2024,236.65,237.4,234.06,235.95,932235.00
1/11/2024,235.35,235.8,232.35,235.34,1545229.00
1/10/2024,234.96,236.12,234.44,235.29,1218033.00
1/9/2024,235,236.99,234.73,235.22,1135022.00
1/8/2024,235.55,237.16,234.94,236.76,1678498.00
1/5/2024,232.64,235.43,232.45,235.21,1765352.00
1/4/2024,233.99,235.35,233.41,233.66,2145399.00
1/3/2024,233.63,234.22,231.67,232.51,1831502.00
1/2/2024,233.38,233.85,231.89,233.42,1955467.00
12/29/2023,232.43,233.44,231.86,232.97,1020155.00
12/28/2023,232.12,233.37,231.38,232.49,1140991.00
12/27/2023,231.89,232.75,230.96,231.61,925597.00
12/26/2023,231.59,233.02,230.38,232.54,1029037.00
12/22/2023,228.99,231.63,228.5,230.97,1231856.00
12/21/2023,232,232,227.12,228.99,1744872.00
12/20/2023,233.51,235.46,232.01,232.23,1654363.00
12/19/2023,234.96,235.85,233.4,233.7,1393993.00
12/18/2023,236.34,236.48,233.99,234.85,1492570.00
12/15/2023,235.89,237.18,233.69,234.14,5260548.00
12/14/2023,240.19,240.22,235.29,235.97,2361066.00
12/13/2023,237.27,239.26,235.57,239.22,1579818.00
12/12/2023,235,236.69,233.16,236.68,1905119.00
12/11/2023,231.32,235.26,230.86,233.29,1981474.00
12/8/2023,229.19,232.59,228.27,229.27,1772416.00
12/7/2023,231.5,232.72,229.4,229.99,1758502.00
12/6/2023,232.19,232.99,230.23,232.35,1676916.00
12/5/2023,232.53,232.89,229.86,231.56,1665991.00
12/4/2023,231.4,233.29,231.17,232.58,2795076.00
12/1/2023,229.64,233.31,229.23,232.94,1647754.00
11/30/2023,229.5,230,227.48,229.92,4351881.00
11/29/2023,229.84,231.06,228.84,229.16,1291161.00
11/28/2023,229.41,230.29,228.44,228.99,1162303.00
11/27/2023,230.2,230.37,228.19,229.16,1551615.00
11/24/2023,231.52,231.98,229.1,230.66,659835.00
11/22/2023,232.7,233.75,229.8,231.15,1439226.00
