Date,Open,High,Low,Close,Volume
2/16/2024,69.48,70.08,68.6,69.51,3362713.00
2/15/2024,68.8,70.08,68.62,69.54,2583410.00
2/14/2024,68.38,68.81,67.68,68.61,1359198.00
2/13/2024,69.12,69.35,67.03,68.27,1715527.00
2/12/2024,68.76,69.38,68.26,69.17,1263585.00
2/9/2024,67.75,68.84,67.54,68.7,1885819.00
2/8/2024,68.26,68.33,67.32,67.92,1658197.00
2/7/2024,68.58,68.69,67.85,68.69,1715499.00
2/6/2024,67.72,68.72,67.54,68.38,2215922.00
2/5/2024,68.81,68.88,67.85,67.97,2619837.00
2/2/2024,69.94,70.18,69.11,69.41,1765790.00
2/1/2024,69.23,70.86,68.83,70.7,2245579.00
1/31/2024,70.73,70.81,69.15,69.57,1788980.00
1/30/2024,69.65,70.49,68.76,70.03,2351175.00
1/29/2024,69.62,70.12,69.13,69.79,1500231.00
1/26/2024,69.95,70.23,69.04,69.51,2696655.00
1/25/2024,68.81,69.73,68.72,69.68,1779424.00
1/24/2024,69.5,69.67,67.7,68.36,2265784.00
1/23/2024,68.82,69.26,68.36,69.02,1915249.00
1/22/2024,69.17,69.79,68.52,68.85,1847199.00
1/19/2024,69.81,69.97,68.94,69.28,2365620.00
1/18/2024,69.87,69.93,69,69.61,2216516.00
1/17/2024,71.04,71.95,70.19,70.32,1531409.00
1/16/2024,71.53,71.74,70.82,71.21,1933852.00
1/12/2024,72.64,72.89,71.7,71.89,1920654.00
1/11/2024,73.45,73.45,71.49,72.2,1780933.00
1/10/2024,73.86,74.34,73.75,73.78,1248699.00
1/9/2024,74.33,74.75,73.8,74.02,1752140.00
1/8/2024,73.86,74.75,73.59,74.66,1612212.00
1/5/2024,73.84,74.36,73.34,74.05,1411100.00
1/4/2024,73.37,74.39,73.19,73.91,1939911.00
1/3/2024,74,74.24,73.17,73.67,2090834.00
1/2/2024,72.13,74.01,71.82,74,1531229.00
12/29/2023,71.97,72.63,71.77,72.34,1181728.00
12/28/2023,71.5,72.47,71.47,72.3,1059950.00
12/27/2023,71.68,72.26,71.29,71.7,1509544.00
12/26/2023,72.05,72.36,71.64,71.77,1658140.00
12/22/2023,72.59,73.12,71.94,72.07,2006022.00
12/21/2023,72.1,72.65,71.14,72.1,2349952.00
12/20/2023,72.33,72.64,71.79,72.04,3392604.00
12/19/2023,71.07,72.42,71.01,72.35,2440866.00
12/18/2023,72.01,72.88,70.65,71.14,4240822.00
12/15/2023,73.47,74.07,70.81,71.73,7428269.00
12/14/2023,81.75,82.09,74.57,75.02,7698224.00
12/13/2023,77.91,81.36,77.52,81.32,2416287.00
12/12/2023,77.47,78.03,76.83,77.96,1964619.00
12/11/2023,77.76,78.32,77.57,78.18,2177337.00
12/8/2023,78.8,79.05,77.78,78.02,1619441.00
12/7/2023,79.25,79.51,78.45,78.73,1680500.00
12/6/2023,78.26,79.14,77.86,79.09,1925331.00
12/5/2023,78.68,78.68,77.5,77.72,1487958.00
12/4/2023,78.42,79.32,78.16,78.53,1929361.00
12/1/2023,77.62,78.98,77.37,78.97,1981151.00
11/30/2023,77.18,77.67,76.79,77.59,2940509.00
11/29/2023,78,78.71,76.89,76.99,1563919.00
11/28/2023,77.43,78.6,77.25,77.85,1653282.00
11/27/2023,77.16,77.73,76.71,77.46,1731374.00
11/24/2023,76.91,77.36,76.55,77.17,646314.00
11/22/2023,77.22,77.22,76.34,77,1626308.00
11/21/2023,76.86,77.09,76.01,76.7,1608917.00
