Date,Open,High,Low,Close,Volume
2/20/2024,81.59,82.27,80.74,80.88,4043231.00
2/16/2024,81.27,81.99,80.68,81.35,6292750.00
2/15/2024,79.06,81.67,79.02,81.36,6648717.00
2/14/2024,78.85,79.13,78.07,78.8,3365159.00
2/13/2024,79.34,79.54,77.51,78.78,7370160.00
2/12/2024,76.57,77.72,76.31,77.59,2507049.00
2/9/2024,75.73,76.73,75.56,76.66,2710321.00
2/8/2024,76.12,76.3,75.22,75.94,3293535.00
2/7/2024,77.54,77.7,76.77,77.33,3087139.00
2/6/2024,76.76,77.48,76.41,77.23,3208271.00
2/5/2024,77.9,77.94,76.74,76.8,2819537.00
2/2/2024,78.94,79.32,77.78,78.63,2947102.00
2/1/2024,78.01,79.74,77.58,79.69,2762485.00
1/31/2024,79.09,79.92,77.55,78.14,3642015.00
1/30/2024,78.01,78.93,77.52,78.44,2514068.00
1/29/2024,77.85,78.6,77.16,78.38,2307194.00
1/26/2024,78.09,78.7,77.61,77.84,2446758.00
1/25/2024,78.04,78.28,77.04,78.09,3183647.00
1/24/2024,78.7,78.94,76.82,76.99,5085829.00
1/23/2024,77.38,78.25,77.01,78.11,3808617.00
1/22/2024,77.53,78.24,76.7,77.26,2970971.00
1/19/2024,78.24,78.49,77.04,77.7,4301553.00
1/18/2024,79.25,79.5,77.96,78.2,6144839.00
1/17/2024,80.64,81.09,79.09,79.73,4394935.00
1/16/2024,81,81.53,80.67,80.98,6900716.00
1/12/2024,80.86,81.75,80.59,81.49,4672844.00
1/11/2024,81.39,81.72,79.92,80.4,3574818.00
1/10/2024,83.87,83.96,82.49,82.54,3053509.00
1/9/2024,84.02,84.49,83.67,84.13,2922793.00
1/8/2024,83.77,84.56,83.62,84.51,2471869.00
1/5/2024,83.13,84.54,82.98,84.07,2464013.00
1/4/2024,83.33,83.98,83.06,83.39,3155515.00
1/3/2024,83.63,83.72,82.86,83.38,2915628.00
1/2/2024,81,83.34,80.81,83.18,3429261.00
12/29/2023,81.05,81.31,80.46,81.22,2170642.00
12/28/2023,80.46,81.41,80.35,81.33,2164934.00
12/27/2023,80.71,80.87,80.23,80.81,2608557.00
12/26/2023,80.5,81.07,80.36,80.73,1750601.00
12/22/2023,80.57,81.42,80.34,80.38,2774997.00
12/21/2023,80.63,80.82,79.45,80.04,4092636.00
12/20/2023,82.05,82.49,80.29,80.32,3402315.00
12/19/2023,82.07,82.31,81.58,82.13,2351113.00
12/18/2023,82.24,82.92,81.5,81.73,3329024.00
12/15/2023,82.51,83.58,81.91,82.23,10926070.00
12/14/2023,83.92,84.69,83.17,83.33,6941618.00
12/13/2023,80.2,83.69,79.85,83.57,4082171.00
12/12/2023,80.6,80.66,79.6,80,3096983.00
12/11/2023,79.82,80.76,79.51,80.49,3711562.00
12/8/2023,80.12,80.44,79.23,79.64,2708029.00
12/7/2023,80.5,81,79.83,80.2,2819953.00
12/6/2023,79.96,80.48,79.57,80.36,2928085.00
12/5/2023,80.21,80.35,79.01,79.31,2914740.00
12/4/2023,79.96,80.97,79.67,80.13,3449048.00
12/1/2023,79.83,80.77,79.33,80.51,2785144.00
11/30/2023,79.27,79.64,78.77,79.55,3756547.00
11/29/2023,80.06,80.28,79.02,79.22,2992759.00
11/28/2023,78.5,80.21,78.18,79.73,3412115.00
11/27/2023,78.61,78.84,77.74,78.54,2677800.00
11/24/2023,78.45,78.5,77.83,78.5,1140200.00
11/22/2023,78,78.28,77.47,78.25,2499741.00
