Date,Open,High,Low,Close,Volume
2/22/2024,16.4,16.56,15.99,16,6580039.00
2/21/2024,16.45,16.64,16.32,16.55,4480922.00
2/20/2024,16.61,16.89,16.4,16.42,5732645.00
2/16/2024,16.52,16.85,16.41,16.77,5774029.00
2/15/2024,16.36,16.92,16.3,16.78,6395735.00
2/14/2024,16.13,16.36,15.89,16.14,7907874.00
2/13/2024,16.43,16.54,15.7,16,7946418.00
2/12/2024,16.52,16.9,16.41,16.88,6294070.00
2/9/2024,16.19,16.48,16.13,16.46,5498441.00
2/8/2024,16.25,16.33,15.97,16.2,6388948.00
2/7/2024,16.62,16.71,16.15,16.32,8234054.00
2/6/2024,16.42,16.65,16.37,16.5,5464376.00
2/5/2024,16.69,16.78,16.23,16.51,5550577.00
2/2/2024,16.76,17.3,16.35,17.02,10426910.00
2/1/2024,16.73,17.16,16.53,17.16,4543295.00
1/31/2024,16.94,17.02,16.58,16.68,7354761.00
1/30/2024,17.17,17.24,16.79,16.97,4966119.00
1/29/2024,17.15,17.36,16.83,17.28,4555981.00
1/26/2024,17.23,17.41,17.13,17.15,5193177.00
1/25/2024,16.86,17.42,16.72,17.13,7909184.00
1/24/2024,17.1,17.16,16.48,16.5,5300373.00
1/23/2024,16.94,16.98,16.62,16.81,5105257.00
1/22/2024,17,17.38,16.76,16.78,7773319.00
1/19/2024,17.5,17.51,16.78,16.89,6380932.00
1/18/2024,17.28,17.42,17.1,17.38,4630794.00
1/17/2024,17.56,17.81,17.15,17.4,7030871.00
1/16/2024,18.14,18.32,17.8,17.89,4828831.00
1/12/2024,18.18,18.54,18.18,18.44,4861269.00
1/11/2024,18.72,18.77,17.77,18.03,4921042.00
1/10/2024,18.81,19.05,18.73,18.88,2884916.00
1/9/2024,18.8,19.13,18.76,18.86,3265843.00
1/8/2024,18.69,19.24,18.69,19.07,4824243.00
1/5/2024,18.8,19.35,18.63,18.8,12185670.00
1/4/2024,19.09,19.13,18.75,18.87,4501426.00
1/3/2024,19.11,19.16,18.57,18.93,7540721.00
1/2/2024,19.14,19.53,19,19.34,4785292.00
12/29/2023,19.18,19.41,19.14,19.25,3749560.00
12/28/2023,19.13,19.5,19.13,19.35,3077535.00
12/27/2023,19.33,19.4,19.18,19.28,2940866.00
12/26/2023,19.13,19.44,19.03,19.36,2204922.00
12/22/2023,18.96,19.32,18.86,19.1,2907712.00
12/21/2023,18.6,19.02,18.56,18.85,4595449.00
12/20/2023,19.3,19.33,18.35,18.37,6999769.00
12/19/2023,19.27,19.5,19.17,19.36,5259701.00
12/18/2023,19.43,19.44,18.93,19.02,4448631.00
12/15/2023,19.6,19.76,19.16,19.35,10852630.00
12/14/2023,19.75,20.24,19.45,19.63,10522630.00
12/13/2023,18.32,19.42,18.1,19.33,10544590.00
12/12/2023,18.13,18.27,17.86,18.21,4472209.00
12/11/2023,18.09,18.39,17.9,18.05,5257347.00
12/8/2023,18.15,18.26,18.03,18.22,6169917.00
12/7/2023,18.06,18.33,17.94,18.17,4040500.00
12/6/2023,18.13,18.2,17.86,17.94,10153310.00
12/5/2023,17.97,18.07,17.75,17.94,4779173.00
12/4/2023,17.9,18.14,17.71,17.98,7498911.00
12/1/2023,17.13,18.14,17.13,18.13,5483745.00
11/30/2023,17.29,17.52,17.04,17.21,8903821.00
11/29/2023,17.29,17.48,17,17.22,5351497.00
11/28/2023,16.94,17.27,16.77,17.17,3751014.00
11/27/2023,16.89,16.97,16.68,16.91,4581027.00
11/24/2023,16.87,17.08,16.86,16.93,2055826.00
