Date,Open,High,Low,Close,Volume
2/16/2024,70.15,70.79,69.7,70.04,5139759.00
2/15/2024,69.02,70.81,68.85,70.3,5656327.00
2/14/2024,72.2,73.28,68.73,69.17,7507370.00
2/13/2024,69.86,70.3,69.2,70.09,5328620.00
2/12/2024,69.4,70.18,69.26,69.73,3770794.00
2/9/2024,68.28,69.23,68.06,69.12,3217269.00
2/8/2024,69.77,69.77,67.96,68.41,5242295.00
2/7/2024,68.98,69.84,68.94,69.81,2844118.00
2/6/2024,68.77,69.36,68.6,68.77,2910418.00
2/5/2024,68.94,69.28,68.73,68.93,2929312.00
2/2/2024,69.08,70.04,68.97,69.63,2808872.00
2/1/2024,69.01,69.47,67.53,68.82,4304206.00
1/31/2024,70.56,71.07,69.5,69.51,3691008.00
1/30/2024,69.33,70.41,69.33,70.38,2966827.00
1/29/2024,69.41,69.69,69.04,69.37,3167156.00
1/26/2024,69.15,69.65,69,69.53,2564597.00
1/25/2024,69.63,69.93,68.82,68.98,3968404.00
1/24/2024,69.43,69.66,69.03,69.16,2736268.00
1/23/2024,69.26,69.43,68.97,69,2562155.00
1/22/2024,69.18,69.54,68.89,69.26,3091914.00
1/19/2024,67.88,69.27,67.7,68.83,5098642.00
1/18/2024,66.39,67.35,66.06,67.24,3580457.00
1/17/2024,66.66,67.89,66.66,66.75,3691205.00
1/16/2024,67.24,67.4,66.72,67.22,2906422.00
1/12/2024,67.48,67.8,67.03,67.5,2473181.00
1/11/2024,67.43,67.59,66.89,67.29,2788144.00
1/10/2024,67.49,67.86,67.26,67.59,2943448.00
1/9/2024,67.84,67.95,67.18,67.83,3479528.00
1/8/2024,69.08,69.18,67.81,68.22,4098153.00
1/5/2024,68.79,69.23,68.58,69.01,4870463.00
1/4/2024,68.88,69.76,68.59,68.63,4146130.00
1/3/2024,68.87,69.37,68.54,68.61,3970395.00
1/2/2024,67.35,68.88,67.35,68.84,3897931.00
12/29/2023,67.87,68.03,67.56,67.75,2498409.00
12/28/2023,67.42,67.98,67.4,67.87,2245839.00
12/27/2023,66.87,67.22,66.4,67.15,1507563.00
12/26/2023,66.92,67.32,66.72,67.13,2815657.00
12/22/2023,66.75,67.11,66.68,66.93,1518399.00
12/21/2023,66.64,66.96,65.78,66.57,2006581.00
12/20/2023,67.21,67.78,66.58,66.62,3759468.00
12/19/2023,67.21,67.62,66.7,67.44,4096972.00
12/18/2023,66.42,66.79,65.88,66.46,2710797.00
12/15/2023,65.8,66.98,65.69,66.01,7661854.00
12/14/2023,67.42,67.69,66.19,66.49,5215490.00
12/13/2023,66.56,67.36,66.26,67.23,3612019.00
12/12/2023,66.17,67.39,66.14,66.95,5164017.00
12/11/2023,65.56,66.54,65.44,66.18,3675213.00
12/8/2023,65.58,65.85,65.2,65.53,2922211.00
12/7/2023,65.68,65.85,64.81,65.41,3790041.00
12/6/2023,66.13,66.68,65.33,65.37,4221989.00
12/5/2023,65.8,66.45,65.74,65.9,3634110.00
12/4/2023,65.73,66.3,65.45,66,4116296.00
12/1/2023,65.67,66.47,65.45,65.97,3438950.00
11/30/2023,64.94,65.83,64.81,65.81,5325809.00
11/29/2023,64.63,65.12,64.54,64.83,2496699.00
11/28/2023,65.25,65.47,64.62,64.64,2336626.00
11/27/2023,64.98,65.41,64.93,65.25,2706687.00
11/24/2023,65.1,65.72,65.02,65.21,1457686.00
11/22/2023,64.94,65.26,64.59,64.97,1857814.00
11/21/2023,64.47,65.3,64.47,64.97,2852796.00
