Date,Open,High,Low,Close,Volume
2/22/2024,174.61,177.8,174.27,177.46,359203.00
2/21/2024,175.4,175.4,173.4,174.2,340427.00
2/20/2024,173.08,176.42,173.08,174.63,310039.00
2/16/2024,172.82,174.83,172.53,173.72,321207.00
2/15/2024,172.1,173.64,171.65,172.51,355174.00
2/14/2024,171.36,173.25,170.93,171.78,301590.00
2/13/2024,172.52,173.46,169.1,171.22,488764.00
2/12/2024,174.7,174.72,171.72,171.89,388098.00
2/9/2024,173,175.06,171.85,174.49,282437.00
2/8/2024,175.27,176.82,173.52,174.57,430584.00
2/7/2024,173.82,179.41,172.51,175.35,855810.00
2/6/2024,167.96,169.6,167.63,168.89,662765.00
2/5/2024,166.79,168.73,166.17,168.41,563538.00
2/2/2024,168.71,169.66,166.29,166.86,456918.00
2/1/2024,166.81,169.46,163.71,169.3,531549.00
1/31/2024,170.63,170.76,167.9,167.95,407337.00
1/30/2024,169.36,171.06,168.95,170.09,429756.00
1/29/2024,170,170.33,168.51,169.33,445228.00
1/26/2024,171.41,171.99,170.07,170.68,287138.00
1/25/2024,170.5,171.48,169.85,171.33,311166.00
1/24/2024,169.92,170.19,168.65,169.59,347364.00
1/23/2024,168.6,170.02,168.6,169.15,264260.00
1/22/2024,167.89,168.97,166.8,168.8,456697.00
1/19/2024,167.99,167.99,166.35,167.82,245983.00
1/18/2024,165.42,167.01,164.28,166.58,248371.00
1/17/2024,164.95,168.05,164.93,166.13,277958.00
1/16/2024,164.63,165.63,163.4,164.49,353859.00
1/12/2024,166.07,167.2,163.81,164.64,289762.00
1/11/2024,162.66,166.73,162.57,166.6,462804.00
1/10/2024,163.34,164.16,162.78,163.3,314079.00
1/9/2024,165.05,165.79,162.93,164.14,286800.00
1/8/2024,168.6,169.05,165.21,166,452480.00
1/5/2024,169.17,170.53,167.92,168.08,541224.00
1/4/2024,170.66,172.16,168.79,169.08,246475.00
1/3/2024,170.29,173.61,169.73,169.99,386244.00
1/2/2024,168.49,170.29,168.16,169.86,262396.00
12/29/2023,167.44,168.75,166.99,168.49,300955.00
12/28/2023,166.17,168.22,166.17,168.06,228494.00
12/27/2023,165.35,167.44,165.35,166.37,374840.00
12/26/2023,166.64,166.86,165.07,166.31,250727.00
12/22/2023,165.56,166.89,165.34,165.94,236793.00
12/21/2023,164,165.73,163.43,165.18,286857.00
12/20/2023,166.33,167.96,164.01,164.07,427814.00
12/19/2023,165.52,167.74,165.52,167.4,382538.00
12/18/2023,164.32,165.93,163.64,165.64,376495.00
12/15/2023,162.97,164.19,161.41,163.29,1519675.00
12/14/2023,170.61,171.11,164.26,164.3,621380.00
12/13/2023,169.85,170.26,168.54,169.4,367644.00
12/12/2023,168.3,170.8,167.68,170.07,292143.00
12/11/2023,168.18,169.58,167.22,168.45,446720.00
12/8/2023,167.94,168.3,166.99,167.68,264959.00
12/7/2023,170.21,170.21,167.17,167.68,322741.00
12/6/2023,171.17,172.95,169.35,169.88,345071.00
12/5/2023,171.38,172.28,170.56,171.37,389548.00
12/4/2023,167.74,171.58,167.74,171.43,365172.00
12/1/2023,167.39,169.03,167.3,168.3,412928.00
11/30/2023,163.59,168.05,163.59,168.02,1135179.00
11/29/2023,163.36,164.79,163.36,163.8,398353.00
11/28/2023,168.18,168.96,163.9,164.01,403486.00
11/27/2023,165.5,168.44,165.2,168.38,377143.00
11/24/2023,164.56,165.8,163.24,165.8,158765.00
