Date,Open,High,Low,Close,Volume
2/16/2024,111.05,112.11,108.86,109.19,3369120.00
2/15/2024,114.2,114.67,111.03,111.57,4018150.00
2/14/2024,119.12,122,113.81,114.8,7080503.00
2/13/2024,125.52,126.78,124.27,125.05,3047645.00
2/12/2024,128.55,128.62,126.96,128.15,1976772.00
2/9/2024,128.05,129.17,126.98,128.32,1704419.00
2/8/2024,125.09,127.34,125.06,126.78,1564647.00
2/7/2024,125.05,125.9,124.15,125.57,1195820.00
2/6/2024,125,125.11,123.64,124.48,1221274.00
2/5/2024,123.96,125.2,122.64,124.61,1405698.00
2/2/2024,124.17,124.57,122.68,124.41,1338924.00
2/1/2024,123.46,124.44,122.93,124.04,1248477.00
1/31/2024,124.5,124.62,122.65,123.23,1404688.00
1/30/2024,124.63,125.1,124.09,124.66,1984008.00
1/29/2024,122.66,124.58,121.83,124.53,1393094.00
1/26/2024,123.78,123.94,122.9,123.06,769477.00
1/25/2024,123.95,124.17,122.31,123.66,1950075.00
1/24/2024,123.99,125.5,123.62,123.76,2642394.00
1/23/2024,122.15,123.27,121.66,123.23,1325588.00
1/22/2024,121.41,122.19,121.06,121.89,1488878.00
1/19/2024,119.64,120.68,119.23,120.35,1710435.00
1/18/2024,118.16,119.56,117.96,119.33,1491277.00
1/17/2024,118.12,118.47,117.67,117.71,752908.00
1/16/2024,117.58,118.92,117.35,118.47,1334374.00
1/12/2024,117.95,118.67,117.44,118.1,1081443.00
1/11/2024,116.1,117.4,115.5,117.28,918470.00
1/10/2024,115.6,116.32,115.34,116.08,699776.00
1/9/2024,115.84,116.56,115.51,115.7,858590.00
1/8/2024,114.64,116.04,114.64,115.99,760733.00
1/5/2024,114.64,115.21,114.1,114.33,1333642.00
1/4/2024,116.09,116.37,114.61,114.63,1083371.00
1/3/2024,116.6,116.9,115.69,116.31,1233741.00
1/2/2024,117.14,117.42,116.38,116.88,1216942.00
12/29/2023,118.92,119.09,117.66,118.35,771962.00
12/28/2023,119.25,119.38,118.95,119.02,566180.00
12/27/2023,119.5,119.92,118.62,119,1127300.00
12/26/2023,119.54,119.82,119.31,119.48,723616.00
12/22/2023,119.88,120.18,119.27,119.62,984616.00
12/21/2023,119.9,120.11,118.82,119.49,1326325.00
12/20/2023,120.18,120.5,119.2,119.36,965814.00
12/19/2023,120.23,120.61,119.59,120.18,1537578.00
12/18/2023,119.48,120.06,118.86,119.94,1088650.00
12/15/2023,118.45,119.28,117.79,119.14,2888845.00
12/14/2023,117.65,119.66,117.49,118.33,2500488.00
12/13/2023,115.66,117.51,115.26,117.5,1702040.00
12/12/2023,114.56,115.77,114.53,115.33,1232872.00
12/11/2023,114.41,115.03,114.15,114.72,1182297.00
12/8/2023,114.37,114.92,114.01,114.41,1129623.00
12/7/2023,114.78,115.52,114.15,114.93,1463558.00
12/6/2023,116.01,116.24,114.43,114.47,858665.00
12/5/2023,115.33,115.7,114.87,115.62,932934.00
12/4/2023,115.45,116.88,115.45,115.9,848265.00
12/1/2023,115.63,116.33,114.34,116.03,1264167.00
11/30/2023,115.78,116.1,114.62,115.53,2877379.00
11/29/2023,114.83,116.08,114.83,115.7,1685884.00
11/28/2023,113.3,114.67,113.3,114.65,1502337.00
11/27/2023,113.67,114.01,113.21,113.75,910948.00
11/24/2023,113.5,113.84,112.94,113.65,435621.00
11/22/2023,113.49,114.16,113.26,113.57,714686.00
11/21/2023,112.56,113.48,112.14,113.13,1368092.00
