Date,Open,High,Low,Close,Volume
2/16/2024,118.87,125.85,118.77,122.59,4406238.00
2/15/2024,112,124.18,112,117.5,6739167.00
2/14/2024,113.73,114.5,111.68,114.39,3134246.00
2/13/2024,114,114.82,111.17,112.2,3997319.00
2/12/2024,115.75,122.65,115.66,120.09,2865801.00
2/9/2024,113.5,116.19,113.13,115.78,2491661.00
2/8/2024,114.07,115.34,112.28,114.33,2473800.00
2/7/2024,114.13,115.99,111.5,115.05,2427548.00
2/6/2024,109.8,114.03,109.6,113.02,3043287.00
2/5/2024,111.78,112.7,108.39,108.73,3891748.00
2/2/2024,114.34,115.58,112.5,114.25,2853817.00
2/1/2024,117,118.1,113.29,116.78,3398441.00
1/31/2024,119.25,120.1,114.48,114.74,3653320.00
1/30/2024,121.27,122.99,118.8,120.31,1948692.00
1/29/2024,118.65,123.28,117.38,123.2,1996433.00
1/26/2024,120.07,122.13,119,119.84,1524959.00
1/25/2024,122,123.37,115.96,118.45,2810373.00
1/24/2024,125.35,126.08,120.02,121.69,2026517.00
1/23/2024,123.92,127.24,120.82,122.59,2877395.00
1/22/2024,113.78,122.79,113,120.75,4026775.00
1/19/2024,118.08,118.09,112.29,115.13,4170326.00
1/18/2024,121.09,121.37,115.12,117.99,3418701.00
1/17/2024,123.02,124.61,120.24,120.7,2818573.00
1/16/2024,125.5,127.05,123.84,125.95,2256587.00
1/12/2024,128.79,130.12,125.65,126.05,1637685.00
1/11/2024,132.74,133.18,127.93,128.65,2976823.00
1/10/2024,131.79,134.09,130.12,132.94,2145745.00
1/9/2024,133.99,135.12,131.1,133.67,1832357.00
1/8/2024,134.2,136.99,132.75,136.58,1879299.00
1/5/2024,135.42,138.22,133.95,135.83,2284885.00
1/4/2024,141.08,141.08,135.03,135.93,3208047.00
1/3/2024,142.59,142.9,136.7,140.18,2731031.00
1/2/2024,143,149.61,141.26,146.89,1962347.00
12/29/2023,149.03,149.03,142.15,144.48,2834584.00
12/28/2023,149.3,151.79,149,149.43,1378355.00
12/27/2023,153.19,153.21,147.23,149.32,2027642.00
12/26/2023,152.09,153.09,149.11,152.39,1958052.00
12/22/2023,145.94,153.54,145.45,150.09,2601795.00
12/21/2023,146.12,147.33,143.48,145.45,1799815.00
12/20/2023,148.62,150.07,141.77,142.53,2627551.00
12/19/2023,148.42,151.29,147.53,148.93,2276828.00
12/18/2023,147.14,147.42,143.92,145.91,2652762.00
12/15/2023,147.16,151.23,145.51,147.06,5938814.00
12/14/2023,143.5,148.77,143.35,145.89,5668483.00
12/13/2023,129.36,140.81,129.34,140.06,4955051.00
12/12/2023,126.54,128.63,123.45,127.94,3062203.00
12/11/2023,124,127.04,120.75,126.54,2798445.00
12/8/2023,129,133.25,127.73,127.99,4844856.00
12/7/2023,121.23,126.08,120.95,125.35,3971253.00
12/6/2023,117.5,122.17,116.71,118.3,5036103.00
12/5/2023,116.22,116.95,112.12,113.26,4357484.00
12/4/2023,123.9,125.96,119.21,119.98,3416663.00
12/1/2023,119.72,126.22,119.2,126.16,2803838.00
11/30/2023,124.21,124.21,118.8,121.27,4047900.00
11/29/2023,126.46,128.45,121.63,123.38,2546647.00
11/28/2023,121.5,125.95,120.17,123.91,2438781.00
11/27/2023,125.4,125.79,118.32,120.78,4314729.00
11/24/2023,125.24,130.28,125.2,128.87,1429527.00
11/22/2023,126.13,126.63,121,126.59,2590869.00
11/21/2023,128.7,130.72,125.41,126.13,2553724.00
