Date,Open,High,Low,Close,Volume
2/20/2024,161.5,162.95,159.63,159.72,1740687.00
2/16/2024,162,164.43,161.5,161.78,1777742.00
2/15/2024,162.23,162.61,160.14,161.89,1757347.00
2/14/2024,159.17,161.76,157.95,161.39,1467584.00
2/13/2024,160.83,160.83,157.13,158.58,1383294.00
2/12/2024,160.79,160.99,158.91,159.32,1196332.00
2/9/2024,160.35,160.59,158.53,160.03,1563938.00
2/8/2024,163,168.05,159.95,161.75,3791930.00
2/7/2024,157.7,159.33,157.54,158.6,1871259.00
2/6/2024,156.45,157.86,156.02,157.35,966156.00
2/5/2024,156.46,157.44,155.69,156.83,1331467.00
2/2/2024,156.99,158.2,156.62,157.37,1088332.00
2/1/2024,154.34,156.53,153.42,156.19,1005083.00
1/31/2024,156.85,157.29,154.99,155.25,1349751.00
1/30/2024,155.96,156.86,154.97,156.49,1135526.00
1/29/2024,157.28,158.12,155.73,156.06,1277049.00
1/26/2024,158.88,159.02,157.89,158.37,1034876.00
1/25/2024,158.39,159.36,156.93,159.06,1253495.00
1/24/2024,155.63,159.6,155.57,157.42,2374686.00
1/23/2024,155.39,156.79,153.84,154.11,1140730.00
1/22/2024,155.43,156.32,155.17,155.39,940568.00
1/19/2024,155,156.52,154.13,154.88,1989714.00
1/18/2024,151.78,153.3,150.17,152.92,1573673.00
1/17/2024,151.56,153.88,150.97,152.55,1615330.00
1/16/2024,151.43,152.4,150.44,151.5,1187561.00
1/12/2024,151,151.2,148.86,151.03,1115380.00
1/11/2024,149.86,150.6,148.23,150.37,1532389.00
1/10/2024,151.05,152,149.91,150.31,1335145.00
1/9/2024,150.25,151.36,148.66,150.98,1599871.00
1/8/2024,149.94,150.79,148.58,149.38,2398647.00
1/5/2024,149.34,150.22,147.6,149.98,1551263.00
1/4/2024,147.08,151.46,147.08,148.5,3176606.00
1/3/2024,144.08,145.45,143.8,145,1701206.00
1/2/2024,140.33,143.91,140.33,143.81,2263559.00
12/29/2023,139.83,140.39,139.41,139.98,723378.00
12/28/2023,138.07,139.87,138.07,139.82,900510.00
12/27/2023,137.6,138.42,137.43,138.39,714368.00
12/26/2023,137.4,138.69,137.07,138.08,704907.00
12/22/2023,135.85,137.68,135.29,137.4,1227271.00
12/21/2023,135.7,135.92,134.17,135.4,1511849.00
12/20/2023,137.48,137.87,135.55,135.62,1508880.00
12/19/2023,138.75,138.87,137.68,138.25,1738329.00
12/18/2023,139.1,139.64,137.7,138.75,1612587.00
12/15/2023,138.11,141.95,138,139.06,3198710.00
12/14/2023,143.95,144.09,139.02,139.24,2535519.00
12/13/2023,143.74,144.56,143.06,144.35,1397540.00
12/12/2023,143,144.52,142.08,144.36,1809464.00
12/11/2023,140.99,144.99,140,143.07,2447925.00
12/8/2023,139.78,139.98,138.56,139.32,806297.00
12/7/2023,138.82,139.9,138.02,139.02,1685826.00
12/6/2023,138.82,139.98,138.19,138.49,1008070.00
12/5/2023,138.7,139.68,137.48,138.68,1504415.00
12/4/2023,136.89,139.71,136.57,138.64,1320568.00
12/1/2023,136.94,138,136.53,137.68,1033490.00
11/30/2023,134.97,137.99,134.97,137.87,2574326.00
11/29/2023,135.46,136.35,134.61,135.49,1041361.00
11/28/2023,137.38,137.4,135.92,136.43,754269.00
11/27/2023,136.45,137.82,136.28,137.47,1167739.00
11/24/2023,136.2,136.97,135.86,136.61,443213.00
11/22/2023,135.38,136.62,134.77,136.09,1034339.00
