Date,Open,High,Low,Close,Volume
2/22/2024,132.47,133.32,127.27,129.66,1321680.00
2/21/2024,131.6,132.53,128.75,131.11,1072722.00
2/20/2024,128.19,136.91,128.05,132.06,1527685.00
2/16/2024,132.58,134.89,131.95,132.42,1005601.00
2/15/2024,132.03,133.66,131.4,133.31,680675.00
2/14/2024,131.07,131.31,129.04,131.18,694542.00
2/13/2024,129,130.67,128.22,129.59,840723.00
2/12/2024,131.67,133.93,131.59,133.57,766074.00
2/9/2024,130.19,132.95,130.19,131.91,780384.00
2/8/2024,128.76,130.59,127.83,130.52,755736.00
2/7/2024,126.93,127.59,126.07,126.94,548707.00
2/6/2024,125.05,126.45,125.05,126.03,338789.00
2/5/2024,126.2,126.75,123.89,125.76,598082.00
2/2/2024,126.3,128.42,125.08,127.63,585319.00
2/1/2024,124.95,127.27,124.01,127.23,774343.00
1/31/2024,125.76,126.4,123.71,123.89,619363.00
1/30/2024,126.02,127.33,125.63,126.19,479669.00
1/29/2024,124.66,126.89,124.1,126.86,638219.00
1/26/2024,125.72,126.25,124.72,124.87,510871.00
1/25/2024,124.79,125.81,123.57,125.76,577445.00
1/24/2024,125.43,125.43,122.5,122.93,487364.00
1/23/2024,125.47,126.14,122.75,124.33,521410.00
1/22/2024,123.16,125.41,122.99,125.39,795042.00
1/19/2024,121.26,122.51,120.17,122.19,673720.00
1/18/2024,119.26,121.26,119.26,121.17,599680.00
1/17/2024,118.52,119.63,117.94,118.72,922157.00
1/16/2024,118.82,119.45,117.17,119.41,900408.00
1/12/2024,121.99,121.99,119.17,119.78,550920.00
1/11/2024,121.85,122.18,119.83,120.67,863042.00
1/10/2024,123.44,124.37,121.88,122.1,868434.00
1/9/2024,122.65,124.08,122.65,124.05,518974.00
1/8/2024,123.04,124.09,122.66,123.73,697522.00
1/5/2024,122.28,123.3,121.93,122.78,660089.00
1/4/2024,121.56,122.93,121.09,122.27,750981.00
1/3/2024,123.04,123.04,120.66,121.51,825816.00
1/2/2024,125.92,126.48,123.48,124.25,1003651.00
12/29/2023,126.14,127.17,125.47,126.69,672679.00
12/28/2023,127.2,127.54,126.44,126.86,714136.00
12/27/2023,127.52,128.43,126.61,127.59,1011149.00
12/26/2023,126.29,127.62,125.46,127.48,778442.00
12/22/2023,124.09,126.13,123.45,126.12,1683570.00
12/21/2023,121.39,123.2,121.2,123.01,1212608.00
12/20/2023,119.28,122.6,119.17,120.54,1634176.00
12/19/2023,118.85,119.57,118.32,119.52,873045.00
12/18/2023,118.3,118.3,116.93,117.95,744170.00
12/15/2023,117.86,118.63,116.87,117.52,1580911.00
12/14/2023,112.37,118.94,112.26,118.58,1939866.00
12/13/2023,109.33,111.81,107.92,111.25,870246.00
12/12/2023,109.1,110.31,108.19,109.75,699088.00
12/11/2023,110.05,110.65,109.01,109.78,756137.00
12/8/2023,107,112.36,106.66,110.34,2081064.00
12/7/2023,105.33,105.77,104.25,105.09,729881.00
12/6/2023,106.17,106.54,104.88,105.13,969551.00
12/5/2023,106.09,106.81,105.24,105.52,509658.00
12/4/2023,106.6,108.46,105.94,107.05,661039.00
12/1/2023,106.34,108.79,105.32,108.69,689321.00
11/30/2023,104.82,106.35,103.57,106.09,1287918.00
11/29/2023,105.12,106.24,104.5,104.59,476585.00
11/28/2023,103.91,105.05,103.19,104.12,604545.00
11/27/2023,104.47,104.64,103.55,104.15,636651.00
11/24/2023,104.91,105.2,104.39,105.04,196393.00
