Date,Open,High,Low,Close,Volume
2/20/2024,195.59,195.86,186.12,189.14,11216100.00
2/16/2024,202.02,206.77,197.3,199.57,15557860.00
2/15/2024,189,189.47,186.38,187.66,8622946.00
2/14/2024,182.64,186.98,182.64,186.19,8437858.00
2/13/2024,178.6,182.19,176.94,180.31,9692463.00
2/12/2024,185.27,188.21,184.64,185.54,7085353.00
2/9/2024,179.04,186.15,178.61,185.84,9539890.00
2/8/2024,169.99,175,169.38,173.89,7327895.00
2/7/2024,170.49,172.91,168.83,170.9,5103354.00
2/6/2024,170.99,172.71,167.5,168.7,4550248.00
2/5/2024,168.6,172.28,168.28,171.09,5749118.00
2/2/2024,165.92,169.18,165.46,168.18,4741027.00
2/1/2024,165.46,167.74,164.83,166.97,4082620.00
1/31/2024,164,166.62,160.96,164.3,6049403.00
1/30/2024,167.33,169.17,165.82,166.24,5255325.00
1/29/2024,166.31,168.51,166.08,168.48,5370663.00
1/26/2024,169.07,169.57,166.62,166.9,6653731.00
1/25/2024,177.17,178.4,172.43,172.63,7234383.00
1/24/2024,171.39,175.96,170.67,174.14,9728994.00
1/23/2024,167.76,168,164.71,167.05,5053559.00
1/22/2024,168.18,171.91,167.64,168.3,7176443.00
1/19/2024,162.57,168.28,162.3,167.94,9159006.00
1/18/2024,158.66,160.74,156.78,160.34,8133734.00
1/17/2024,153.11,153.75,150.2,153.37,6630647.00
1/16/2024,151.3,154.24,149.84,153.76,6528042.00
1/12/2024,152.2,152.4,150.37,151.25,4083673.00
1/11/2024,150.25,152.44,148.48,151.95,5995644.00
1/10/2024,151.77,151.9,148.24,149.81,5035695.00
1/9/2024,149.87,151.69,148.93,151.03,5606916.00
1/8/2024,149.83,152.79,149.72,151.56,6515509.00
1/5/2024,150.08,151.52,148.05,149,5400055.00
1/4/2024,149.8,152,148.75,149.31,6196064.00
1/3/2024,151.71,153.17,150.73,151.45,6100066.00
1/2/2024,160,160.11,153.43,154.37,8607329.00
12/29/2023,163.11,163.56,160.7,162.07,2905929.00
12/28/2023,165,165.01,162.85,163.12,2909720.00
12/27/2023,164.54,164.99,163.53,164.21,3319561.00
12/26/2023,162.3,164.97,162.1,164.28,2520478.00
12/22/2023,161.6,163,160.84,162.05,2770624.00
12/21/2023,161,161.82,159.58,161.39,4257488.00
12/20/2023,160.81,162,156.83,156.92,5488666.00
12/19/2023,160.58,162.73,160.02,162.33,4958240.00
12/18/2023,160.89,161.35,157.73,160.36,4772322.00
12/15/2023,162.21,164.21,161.49,161.95,8577337.00
12/14/2023,157.77,163.06,157.71,161.74,7401171.00
12/13/2023,157.03,158.38,154.63,156.99,5561691.00
12/12/2023,155.14,158.18,154.64,157.22,5705165.00
12/11/2023,149.21,155.66,149.14,155.14,6945752.00
12/8/2023,147.42,148.81,145.99,147.72,4990196.00
12/7/2023,146.96,148.54,144.57,148.39,5753646.00
12/6/2023,148.68,148.72,144.69,144.7,4491107.00
12/5/2023,146.53,147.47,145.22,146.15,5206319.00
12/4/2023,150.04,150.66,145.66,148.27,5859577.00
12/1/2023,149.56,151.98,148.63,151.59,4929366.00
11/30/2023,150.41,150.48,147.05,149.78,7555619.00
11/29/2023,150.24,152.82,148.85,149.36,4975739.00
11/28/2023,149.36,149.99,146.51,148.06,5799571.00
11/27/2023,149.5,151.76,148.77,150.81,3429723.00
11/24/2023,149.33,150.66,149.33,150.34,1992027.00
11/22/2023,151.03,153.79,149.02,149.48,5071873.00
