Date,Open,High,Low,Close,Volume
2/16/2024,8.95,9.08,8.93,9.04,9686516.00
2/15/2024,8.98,9.02,8.93,8.99,7986458.00
2/14/2024,8.9,8.97,8.86,8.95,8161234.00
2/13/2024,9.06,9.07,8.78,8.88,12786160.00
2/12/2024,9.12,9.23,9.09,9.18,8115581.00
2/9/2024,9.11,9.14,9,9.1,8056926.00
2/8/2024,9.37,9.38,8.87,9.16,12951070.00
2/7/2024,9.35,9.56,9.28,9.38,15252780.00
2/6/2024,9.22,9.31,9.16,9.18,15949590.00
2/5/2024,9.32,9.36,9.18,9.22,21050930.00
2/2/2024,9.39,9.41,9.28,9.39,10665010.00
2/1/2024,9.47,9.49,9.28,9.46,9631910.00
1/31/2024,9.59,9.64,9.39,9.43,15845670.00
1/30/2024,9.53,9.64,9.49,9.56,7510062.00
1/29/2024,9.53,9.6,9.48,9.58,6695970.00
1/26/2024,9.52,9.58,9.48,9.54,6430739.00
1/25/2024,9.44,9.5,9.4,9.47,6528641.00
1/24/2024,9.45,9.48,9.3,9.31,9009083.00
1/23/2024,9.52,9.56,9.44,9.47,6110752.00
1/22/2024,9.47,9.5,9.4,9.46,6883934.00
1/19/2024,9.45,9.5,9.36,9.47,6896190.00
1/18/2024,9.46,9.48,9.38,9.45,4523749.00
1/17/2024,9.5,9.57,9.44,9.46,5516153.00
1/16/2024,9.65,9.65,9.49,9.58,7858476.00
1/12/2024,9.91,9.92,9.73,9.75,7266018.00
1/11/2024,9.76,9.89,9.67,9.84,12217310.00
1/10/2024,9.71,9.78,9.69,9.76,6145457.00
1/9/2024,9.74,9.78,9.7,9.77,6565039.00
1/8/2024,9.67,9.82,9.66,9.81,8529288.00
1/5/2024,9.58,9.74,9.54,9.74,13936350.00
1/4/2024,9.56,9.67,9.51,9.64,8856136.00
1/3/2024,9.65,9.68,9.54,9.6,7015122.00
1/2/2024,9.64,9.93,9.61,9.75,10438930.00
12/29/2023,9.68,9.73,9.61,9.64,5774632.00
12/28/2023,9.72,9.75,9.66,9.71,4702121.00
12/27/2023,9.8,9.8,9.67,9.72,7482437.00
12/26/2023,9.66,9.72,9.61,9.68,4547487.00
12/22/2023,9.71,9.78,9.66,9.68,5846256.00
12/21/2023,9.68,9.72,9.58,9.71,5274176.00
12/20/2023,9.75,9.79,9.61,9.62,7454684.00
12/19/2023,9.74,9.81,9.71,9.74,5661502.00
12/18/2023,9.67,9.74,9.63,9.68,6487906.00
12/15/2023,9.68,9.74,9.53,9.6,22032160.00
12/14/2023,9.81,9.98,9.69,9.71,18678900.00
12/13/2023,9.42,9.74,9.4,9.74,7820872.00
12/12/2023,9.53,9.55,9.36,9.44,6699412.00
12/11/2023,9.61,9.65,9.53,9.57,6075462.00
12/8/2023,9.65,9.77,9.62,9.65,8469015.00
12/7/2023,9.45,9.66,9.4,9.64,10038030.00
12/6/2023,9.45,9.5,9.37,9.41,7597270.00
12/5/2023,9.43,9.43,9.25,9.37,10102660.00
12/4/2023,9.48,9.58,9.46,9.48,10790960.00
12/1/2023,9.46,9.58,9.35,9.56,6790961.00
11/30/2023,9.5,9.52,9.42,9.48,12763820.00
11/29/2023,9.32,9.51,9.32,9.49,6614474.00
11/28/2023,9.38,9.41,9.28,9.3,6681158.00
11/27/2023,9.29,9.37,9.21,9.35,7517356.00
11/24/2023,9.31,9.36,9.28,9.36,2565957.00
11/22/2023,9.25,9.33,9.22,9.28,4100429.00
11/21/2023,9.27,9.29,9.2,9.24,6155098.00
