Date,Open,High,Low,Close,Volume
2/20/2024,171.14,171.81,162,165.69,66549992.00
2/16/2024,177.45,180.33,173.25,173.87,53940340.00
2/15/2024,179.14,180.5,175.26,176.76,51126441.00
2/14/2024,173.47,178.74,172.88,178.7,57402520.00
2/13/2024,167.94,173.17,164.3,171.54,63071312.00
2/12/2024,172.68,177.41,170.67,171.91,58177047.00
2/9/2024,171,175.1,168.66,172.48,56375711.00
2/8/2024,170.33,172.17,168.6,169.35,43385281.00
2/7/2024,169.47,172.97,168.2,170.94,53665422.00
2/6/2024,173.15,173.88,165.5,167.88,68854125.00
2/5/2024,179.09,180.01,171.11,174.23,76349242.00
2/2/2024,173.79,179,173.05,177.66,82134273.00
2/1/2024,169.27,171.14,165.86,170.48,91576688.00
1/31/2024,165.74,171.3,162.56,167.69,133157297.00
1/30/2024,176.13,178.48,169.52,172.06,122265695.00
1/29/2024,178.77,178.89,174.4,177.83,89384445.00
1/26/2024,175.29,181.23,174.15,177.25,107381203.00
1/25/2024,183.41,184.92,177.63,180.33,127171398.00
1/24/2024,172.55,180.58,170.56,178.29,125516398.00
1/23/2024,166.5,169.63,164.27,168.42,76830461.00
1/22/2024,174.39,174.72,164.15,168.18,122973797.00
1/19/2024,165.8,174.25,162.2,174.23,140367906.00
1/18/2024,166.2,168.6,158.22,162.67,131864891.00
1/17/2024,158.45,160.64,154.4,160.17,104085000.00
1/16/2024,150.36,159.72,149.98,158.74,112711398.00
1/12/2024,148.04,148.75,145,146.56,48293090.00
1/11/2024,148.52,150.38,143.69,148.02,62764602.00
1/10/2024,150.07,150.88,146.65,148.54,56951238.00
1/9/2024,145.95,149.86,145.08,149.26,67875672.00
1/8/2024,140.36,147.15,140.15,146.18,71756914.00
1/5/2024,136.78,141.01,136.44,138.58,69657680.00
1/4/2024,134.3,137.7,134,136.01,58610289.00
1/3/2024,135.71,137.43,133.74,135.32,61988578.00
1/2/2024,144.28,144.4,137.43,138.58,64902031.00
12/29/2023,149.5,151.05,147.2,147.41,62079191.00
12/28/2023,146.8,150.41,145.95,148.76,63800680.00
12/27/2023,144.72,146.25,143.18,146.07,49033422.00
12/26/2023,140.07,143.85,139.92,143.41,47157434.00
12/22/2023,140.48,140.7,138.31,139.6,35396578.00
12/21/2023,138.14,139.98,137.38,139.91,47179359.00
12/20/2023,139,139.58,135.37,135.47,54671719.00
12/19/2023,138.57,143.47,138.56,140.15,63739781.00
12/18/2023,139.15,139.79,137.65,138.9,45199449.00
12/15/2023,139.52,140.89,137.25,139.15,70211797.00
12/14/2023,138.89,141.82,135.73,138,76115172.00
12/13/2023,137.97,139.24,136.03,138.19,70651602.00
12/12/2023,132.25,139.89,131.9,137.61,111677797.00
12/11/2023,130.56,135.04,128.25,134.41,98668281.00
12/8/2023,129.54,131,126.89,128.92,89341008.00
12/7/2023,120.79,128.68,119.56,128.37,118579102.00
12/6/2023,120.69,122.83,116.38,116.82,60599031.00
12/5/2023,117.43,118.49,116.45,118.38,39191566.00
12/4/2023,119.75,119.9,116.37,118.57,39854422.00
12/1/2023,119.88,121.4,118.65,121.39,37048000.00
11/30/2023,123.61,124.05,119.65,121.16,44494207.00
11/29/2023,123.98,125.73,123.48,123.85,37876320.00
11/28/2023,121.98,122.54,120.79,122.01,32047061.00
11/27/2023,122.07,123.89,121.77,122.65,32743010.00
11/24/2023,122.03,123.25,121.54,122.31,19001010.00
11/22/2023,120,124.76,119.95,122.51,56894488.00
