Date,Open,High,Low,Close,Volume
2/20/2024,172.99,175.37,172.51,174.81,1311749.00
2/16/2024,173.65,175,173.32,173.89,1016386.00
2/15/2024,174.21,174.94,171.35,173.74,1525977.00
2/14/2024,168.79,173.79,168.5,173.41,2079256.00
2/13/2024,166.44,168.13,164.62,168.04,1969340.00
2/12/2024,168.8,169.3,167.63,168.42,882241.00
2/9/2024,166.41,168.61,166.41,168.5,814739.00
2/8/2024,167.6,167.83,165.55,166.3,976437.00
2/7/2024,166.67,168.64,166.12,166.73,1098415.00
2/6/2024,167.96,167.96,163.79,166.08,1559284.00
2/5/2024,166.09,167.58,164.78,166.99,1396374.00
2/2/2024,165.35,168.54,164.66,167.44,1300996.00
2/1/2024,163.51,165.9,162.36,165.87,1206791.00
1/31/2024,165.76,165.76,161.93,162.05,1043907.00
1/30/2024,165.14,166.64,164.51,165.87,855611.00
1/29/2024,162.77,165.37,162.71,165.33,982169.00
1/26/2024,164.66,164.97,163.32,163.52,426887.00
1/25/2024,164.06,164.52,163.15,164.12,584690.00
1/24/2024,166.36,166.65,162.5,162.74,802600.00
1/23/2024,163.64,165.26,162.43,165.12,970307.00
1/22/2024,162.78,163.95,162.29,163.16,1300394.00
1/19/2024,162.59,162.92,161.47,162.03,1304394.00
1/18/2024,160.3,162.46,160,162.31,1013849.00
1/17/2024,162.65,163.46,159.99,160.07,1011451.00
1/16/2024,163.21,163.77,161.44,163.61,1040683.00
1/12/2024,164.92,165,162.78,163.44,800983.00
1/11/2024,165,165.49,162.85,163.93,631879.00
1/10/2024,163.2,163.84,162.11,163.68,638304.00
1/9/2024,161.4,163.2,160.11,163,822369.00
1/8/2024,160.85,162.06,159.93,161.88,638494.00
1/5/2024,159.98,160.94,159.28,160.74,554102.00
1/4/2024,161.14,161.81,160.35,160.48,697906.00
1/3/2024,162.58,162.58,160.03,160.6,1033658.00
1/2/2024,163.76,164.58,161.95,162.87,798499.00
12/29/2023,164.92,165.52,164.21,164.89,560768.00
12/28/2023,164.58,165.42,164.27,165.12,501526.00
12/27/2023,164.7,165.11,164.1,164.54,664646.00
12/26/2023,164.49,165.26,164.32,164.9,576994.00
12/22/2023,164.39,165.04,163.57,164.2,413591.00
12/21/2023,162.64,163.79,162.07,163.69,500372.00
12/20/2023,162.7,164.47,161.72,161.82,720332.00
12/19/2023,163.98,164.16,162.79,163.39,717257.00
12/18/2023,163.4,163.59,162.09,163.25,571683.00
12/15/2023,163.17,164.55,162.4,163.13,1451256.00
12/14/2023,162.72,164.55,162.02,164.07,1443953.00
12/13/2023,161.8,162.08,159.61,161.49,1290801.00
12/12/2023,158.14,161.99,157.68,161.34,1358801.00
12/11/2023,157.97,159.39,157.63,157.73,1612406.00
12/8/2023,156.44,157.69,156.34,157.16,1256021.00
12/7/2023,156.21,156.3,154.69,155.91,1028486.00
12/6/2023,156.5,157.55,155.78,156.48,1080446.00
12/5/2023,156.96,156.96,155.31,155.5,657231.00
12/4/2023,156.17,157.32,155.57,157.29,1394486.00
12/1/2023,155.55,157.37,154.81,157.05,690968.00
11/30/2023,153.62,155.39,152.51,155.23,1477056.00
11/29/2023,153.68,154.08,152.43,152.88,710138.00
11/28/2023,153.52,154.4,152.45,152.53,555095.00
11/27/2023,154.9,154.9,153.58,154.06,813574.00
11/24/2023,156.07,156.4,155.5,156.18,248528.00
11/22/2023,155.61,156.06,154.96,155.65,494172.00
