Date,Open,High,Low,Close,Volume
2/20/2024,394.2,398.09,390.3,396.78,359440.00
2/16/2024,397,400.76,395.92,397.8,299077.00
2/15/2024,393.75,399.74,391.31,397.83,306529.00
2/14/2024,392.43,393.58,389.5,391.36,329148.00
2/13/2024,392.58,396.43,385.76,389.89,405291.00
2/12/2024,397.15,402.33,393.95,397.37,415662.00
2/9/2024,394.64,398.2,392.95,396.94,306793.00
2/8/2024,389.94,395.02,388.09,394.83,329159.00
2/7/2024,389.09,393.17,386.71,391.36,423947.00
2/6/2024,390.07,392.46,386.1,388.05,365023.00
2/5/2024,387.81,390.86,385.56,390.07,395164.00
2/2/2024,385.77,392.66,381.99,390.69,322798.00
2/1/2024,387.35,389.7,378.06,386.02,391639.00
1/31/2024,392.45,396.35,386.73,386.83,581323.00
1/30/2024,391.51,394.51,391.43,393.55,390184.00
1/29/2024,390.13,393.31,388.51,393.11,591562.00
1/26/2024,393.43,395.45,389.68,391.4,497214.00
1/25/2024,370.12,402.65,370.12,391.38,1250983.00
1/24/2024,390.99,393.6,388.99,389.46,577126.00
1/23/2024,387.52,387.97,384.85,387.8,422557.00
1/22/2024,382.66,388.69,382.66,387.11,476367.00
1/19/2024,377.63,382.26,374.06,381.67,1231824.00
1/18/2024,372.21,375,369.29,374.88,519255.00
1/17/2024,369.14,376.42,368.41,372.06,501131.00
1/16/2024,373.35,373.92,369.18,373.47,813812.00
1/12/2024,380.46,381.84,374.99,376.4,354152.00
1/11/2024,378.5,378.88,374.24,378.27,422355.00
1/10/2024,376.36,378.2,374.48,377.99,304497.00
1/9/2024,382.23,383.35,374.01,375.91,513594.00
1/8/2024,382.32,384.49,378.5,384.44,435852.00
1/5/2024,377.99,384.13,376.84,382.1,424255.00
1/4/2024,379.29,385.62,378.85,379.04,411756.00
1/3/2024,381.1,386.33,380.37,380.54,728527.00
1/2/2024,378.89,379.63,376.54,379.03,540629.00
12/29/2023,381.77,382.74,379.52,379.83,316876.00
12/28/2023,383.59,383.78,380.58,381.15,294064.00
12/27/2023,378.34,380.21,376.87,380.03,221141.00
12/26/2023,376.14,379.22,376.06,378.25,204382.00
12/22/2023,377.96,379.55,375.26,376.05,272356.00
12/21/2023,374.22,377.06,372.16,376.03,400249.00
12/20/2023,378.12,381.43,372.66,372.78,472328.00
12/19/2023,376.74,382.22,376.29,381.62,438039.00
12/18/2023,377.64,377.9,374.19,376.12,437627.00
12/15/2023,376.84,379.62,375.79,377.85,1214273.00
12/14/2023,373.78,380.29,371.6,379.98,785699.00
12/13/2023,371,373.66,368.66,371.78,971537.00
12/12/2023,366.12,370.38,365.44,370.23,511529.00
12/11/2023,359.1,366.77,358.89,365.43,592780.00
12/8/2023,352.32,358.26,352.32,357.58,418062.00
12/7/2023,351.28,353.01,350.37,352.73,449119.00
12/6/2023,355.33,357.12,349.9,350.14,393817.00
12/5/2023,352.4,353.32,349.93,352.56,372724.00
12/4/2023,353.81,357.75,352.64,353.74,739060.00
12/1/2023,353.18,358.14,352.21,356.29,676311.00
11/30/2023,349.63,353.69,347.74,353.51,1166232.00
11/29/2023,347.37,350.87,345.96,348.35,441945.00
11/28/2023,349.04,349.62,345.43,345.54,542260.00
11/27/2023,349.87,349.87,347.42,349.47,373181.00
11/24/2023,351.09,353.48,348.62,351.42,211290.00
11/22/2023,350.02,350.99,348.46,350.52,321179.00
