Date,Open,High,Low,Close,Volume
2/16/2024,186.78,187.61,185.02,187.13,2127509.00
2/15/2024,189.97,190.73,187.74,189.46,2412001.00
2/14/2024,188.85,190.03,186.84,188.49,1818138.00
2/13/2024,188.17,188.7,184.05,188.42,3512561.00
2/12/2024,194.99,195.41,191.44,191.77,1589691.00
2/9/2024,193.4,194.51,191.64,194.44,1903969.00
2/8/2024,192.63,194.25,191.63,193.64,2001165.00
2/7/2024,192.29,193.86,190.55,193.62,2254848.00
2/6/2024,189.47,192.57,189.15,191.67,1777672.00
2/5/2024,191.05,191.69,187.82,189.47,2489076.00
2/2/2024,195,195.55,189.33,193.51,2913979.00
2/1/2024,195.34,198.43,193.37,198.39,2700870.00
1/31/2024,196.9,200.87,194.75,195.65,2454201.00
1/30/2024,198.5,199,195.36,195.56,2428092.00
1/29/2024,197.08,199.3,195.76,199.11,2466044.00
1/26/2024,199.2,199.83,197.08,197.29,1831069.00
1/25/2024,199.39,201.64,198,200.21,2510687.00
1/24/2024,203.1,203.4,195.96,196.76,3308619.00
1/23/2024,204.76,205.29,201.38,202.26,2108946.00
1/22/2024,204.1,206.69,201.95,204.02,2185510.00
1/19/2024,204.66,205.14,202.78,203.87,1986366.00
1/18/2024,205.25,206.79,202.54,203.91,2881022.00
1/17/2024,205.4,210.39,202.72,204.95,2629464.00
1/16/2024,208.97,210.84,207.55,208.05,2400038.00
1/12/2024,209.67,211.82,208.46,209.43,1763449.00
1/11/2024,208.29,208.74,206.09,207.65,2271646.00
1/10/2024,211.61,212.09,208.37,208.97,2088949.00
1/9/2024,214.35,214.42,210.27,211.86,1578869.00
1/8/2024,213.42,216.22,212.52,216.08,1703214.00
1/5/2024,213.7,216.25,213.04,214.28,1884018.00
1/4/2024,213.64,217.67,212.68,215.46,2032973.00
1/3/2024,217.49,218.99,214.61,214.69,1533506.00
1/2/2024,214.41,219.1,214.41,218.81,1566330.00
12/29/2023,215.98,216.8,215,215.88,1584433.00
12/28/2023,216.71,218.32,215.58,217.16,1125411.00
12/27/2023,214.01,217.11,214.01,216.72,1860666.00
12/26/2023,215.28,216.99,214.44,216.24,1053089.00
12/22/2023,214.96,217.11,213.66,215.19,1106416.00
12/21/2023,212.99,214.34,211.54,214.28,1685487.00
12/20/2023,211.51,214.51,209.27,211.11,2991192.00
12/19/2023,211.45,213.23,210.65,211,1776883.00
12/18/2023,212.04,214.04,209.91,210.69,1805046.00
12/15/2023,210.13,212.79,208.33,212.15,3722435.00
12/14/2023,215.46,218.48,211.24,212.17,2975050.00
12/13/2023,204.98,212.43,203.66,211.04,2244544.00
12/12/2023,205.85,205.98,203.58,205.05,1712877.00
12/11/2023,205.9,207.99,204.11,205.6,2468644.00
12/8/2023,209.8,210.29,204.05,206.45,2364324.00
12/7/2023,211.6,212.05,210.25,210.72,1964478.00
12/6/2023,211.79,213.31,210.62,210.76,2037797.00
12/5/2023,208.92,211.06,207.41,210.41,1738062.00
12/4/2023,209.21,209.84,207.69,208.73,2668581.00
12/1/2023,208.4,210.84,206.13,210.47,2093350.00
11/30/2023,205.54,208.96,204.28,208.78,2943345.00
11/29/2023,205,208.82,203.99,206.18,2933423.00
11/28/2023,200.78,203.52,200.53,203.22,2105310.00
11/27/2023,200.48,202.84,199.02,201.21,2525270.00
11/24/2023,197.99,199.33,196.4,199.32,614123.00
11/22/2023,200.18,200.58,197.83,198.79,1393260.00
11/21/2023,199.56,199.57,196.82,197.54,1989324.00
