Date,Open,High,Low,Close,Volume
2/16/2024,265.33,268.39,261.66,261.75,2433242.00
2/15/2024,266.22,267.73,260.33,266.5,2564383.00
2/14/2024,270,271.4,263.81,265.67,3342123.00
2/13/2024,257.89,270.74,255.94,265.51,7021557.00
2/12/2024,292.66,292.66,280.18,280.88,9451351.00
2/9/2024,282,284.82,278.59,282.45,3182579.00
2/8/2024,270,278.88,269,275.89,2446349.00
2/7/2024,266.08,270.16,264.76,267.05,2358391.00
2/6/2024,272.98,273.27,262.13,264.89,2510001.00
2/5/2024,275,276.4,269.03,272.97,1980042.00
2/2/2024,274.64,276.99,269.12,273.1,3251701.00
2/1/2024,262,263.73,260.64,262.98,2236867.00
1/31/2024,264.53,267.49,257.31,258.68,3058415.00
1/30/2024,270.3,272.9,269.6,271.96,1704452.00
1/29/2024,265.11,269.78,265.11,269.58,1920061.00
1/26/2024,261.94,266.63,261.8,264.4,1359282.00
1/25/2024,265.75,270.02,263,264.42,1615789.00
1/24/2024,263.35,266.13,261.46,262.47,2397393.00
1/23/2024,265.71,266,260.68,262.04,1776957.00
1/22/2024,267.67,270.63,265,266.6,1470643.00
1/19/2024,260.61,265,260,263.51,1901743.00
1/18/2024,254.99,258.62,252.18,257.56,1861360.00
1/17/2024,250.9,250.9,245.22,248.99,1418510.00
1/16/2024,252.44,257.21,251.35,253.26,1938962.00
1/12/2024,252,254.73,251.24,252.03,1232299.00
1/11/2024,249.95,252.15,247.68,251.74,1256845.00
1/10/2024,247.5,251.25,246.08,249.23,1677190.00
1/9/2024,245,247.54,241.57,245.2,1353317.00
1/8/2024,235,245.89,235,245.85,2230350.00
1/5/2024,231.58,232.03,229.75,230.92,1229044.00
1/4/2024,229.25,232.31,226.6,230.56,1326669.00
1/3/2024,229.44,232.9,228.22,229.4,1201884.00
1/2/2024,234,234.25,228.29,231.56,1409213.00
12/29/2023,237.53,237.9,234.92,235.51,901385.00
12/28/2023,237.56,237.85,236.35,236.97,717374.00
12/27/2023,238.46,239,236.63,237.73,606476.00
12/26/2023,239,240.68,235.01,237.53,1291752.00
12/22/2023,238.29,239.96,236.18,238.26,1021621.00
12/21/2023,233.87,236.65,233.87,235.34,1913013.00
12/20/2023,235.7,237.72,232.03,233.16,1547431.00
12/19/2023,239.11,239.36,236,236.7,2186878.00
12/18/2023,236.53,240.01,234.98,238.81,1808052.00
12/15/2023,231.5,237.21,231.5,235.6,2869319.00
12/14/2023,230.52,234.4,227.23,231.03,2269690.00
12/13/2023,230,231.95,228.42,229.55,1609949.00
12/12/2023,226.34,231.04,225.36,229.86,1800640.00
12/11/2023,224,227.54,222.67,226.57,2013494.00
12/8/2023,216.43,224.23,216.43,224.03,2211735.00
12/7/2023,213.5,215.74,212.47,215.29,1486675.00
12/6/2023,217.41,219.06,213.12,213.4,2016274.00
12/5/2023,213.93,216.11,212.89,215.71,1011726.00
12/4/2023,213.16,216.39,210.69,215.1,1741579.00
12/1/2023,219.01,219.01,215.26,216.64,1645038.00
11/30/2023,218.66,220.82,217.03,219.71,2198473.00
11/29/2023,220.13,223.52,218.67,219.3,1690116.00
11/28/2023,218.1,220.48,216.58,217.25,1570639.00
11/27/2023,218.27,221.27,217.05,218.67,1414144.00
11/24/2023,216.9,218.49,216,218.39,763270.00
11/22/2023,216.4,221.41,214.61,217.69,1739530.00
11/21/2023,212.77,216.53,212.15,215.32,1462848.00
