Date,Open,High,Low,Close,Volume
2/21/2024,328.3,328.97,321.45,328.63,551209.00
2/20/2024,328.74,332.17,327.05,332.14,574095.00
2/16/2024,331,334.12,329.62,329.85,444310.00
2/15/2024,334.05,334.05,328.41,330.98,383579.00
2/14/2024,329.91,331.6,328.45,330,582820.00
2/13/2024,331.64,333.45,326.16,327.52,1125868.00
2/12/2024,341.42,343.17,337.48,337.88,533374.00
2/9/2024,345.33,346.79,341.89,342.28,851488.00
2/8/2024,340.29,345.71,339.5,345.33,398501.00
2/7/2024,339.73,342.3,336.6,336.93,465690.00
2/6/2024,337.82,341.1,332.26,336.66,572916.00
2/5/2024,337.34,340.84,334.57,337.5,591716.00
2/2/2024,333.1,336.8,331.81,335.25,542516.00
2/1/2024,328.66,334.54,327.82,332.66,853379.00
1/31/2024,328.28,330.71,326.83,327.83,984961.00
1/30/2024,331.78,334.29,330.4,330.96,1070262.00
1/29/2024,332.93,334.97,330.28,333.19,1175416.00
1/26/2024,338.22,339.52,331.67,332.24,1181830.00
1/25/2024,343.4,343.4,338.78,339.42,737045.00
1/24/2024,342.58,345.28,339.31,339.57,1072508.00
1/23/2024,342.1,343.86,338.36,341.86,713229.00
1/22/2024,337.09,343.7,337.09,341.02,937856.00
1/19/2024,329.12,338.65,328.27,337,898999.00
1/18/2024,329.69,330.87,327.07,328.27,1005076.00
1/17/2024,326.25,330.72,322.24,330.24,1918391.00
1/16/2024,333.91,336.63,324.74,327.42,4532305.00
1/12/2024,357,357,344.96,346.48,846624.00
1/11/2024,353.61,358.06,350.56,357.79,1077173.00
1/10/2024,353.51,356.43,350.53,354.86,895170.00
1/9/2024,344.45,355.7,344.23,353.95,910613.00
1/8/2024,345.68,350.94,345.68,348.63,848408.00
1/5/2024,344,359.99,338.03,344.08,2927650.00
1/4/2024,343.58,349.33,343.08,344.16,1090579.00
1/3/2024,350.36,351.33,343.18,343.22,864767.00
1/2/2024,358.8,359.6,349.88,353,955166.00
12/29/2023,359.78,364.31,359.6,362.88,790541.00
12/28/2023,359.23,363.12,356.97,361.86,658345.00
12/27/2023,361.54,363,358.13,358.9,1185413.00
12/26/2023,358.29,363.32,355,360.88,1858077.00
12/22/2023,363.01,363.86,328,357.98,5242713.00
12/21/2023,299.89,304.07,299.5,303.16,411834.00
12/20/2023,297.74,301.48,294.95,296.74,430899.00
12/19/2023,300.43,302.14,296.86,298.44,378640.00
12/18/2023,296.1,298.23,294.34,297.45,479358.00
12/15/2023,296.48,297.9,292.94,295.47,1413140.00
12/14/2023,299.99,303.29,293.42,294.9,864708.00
12/13/2023,297.91,298.77,290.94,297.06,647959.00
12/12/2023,291.26,296.57,288.93,296.36,442764.00
12/11/2023,288.14,292.26,285.49,290.13,1204079.00
12/8/2023,284.39,287.8,284.39,287.2,506907.00
12/7/2023,284.21,287.28,283.39,286.11,650231.00
12/6/2023,282,283.88,280.42,282,770078.00
12/5/2023,284.99,284.99,275.81,279.27,708938.00
12/4/2023,288.2,291.33,280.47,287.54,1250661.00
12/1/2023,293.49,295.89,290.79,295.48,574487.00
11/30/2023,300.7,301.56,290.12,293.36,968580.00
11/29/2023,298.43,300.7,297.03,298.86,491764.00
11/28/2023,295.95,297.39,292.56,294.62,473845.00
11/27/2023,298.14,300.13,295.93,297.23,335920.00
11/24/2023,296.87,298.14,293.72,297.9,162887.00
