Date,Open,High,Low,Close,Volume
2/16/2024,311.28,314.96,310.98,311.24,519967.00
2/15/2024,308.61,315.57,308.43,314.37,1338460.00
2/14/2024,312.54,313.04,306.97,308.47,912773.00
2/13/2024,311.81,313.52,309.98,312.54,995765.00
2/12/2024,313.58,315,309.61,310.03,955748.00
2/9/2024,307.63,312.56,306.67,312.56,1085347.00
2/8/2024,301.5,307.39,301.14,307.18,1560643.00
2/7/2024,302.1,304.5,300.36,301.88,979053.00
2/6/2024,295.3,301.04,293.71,300.83,872256.00
2/5/2024,292.31,298.5,292.03,296.61,1412193.00
2/2/2024,295.24,300.75,289.71,292.4,2060235.00
2/1/2024,296.4,300.53,294.58,300,1647294.00
1/31/2024,299.16,301.81,297.85,298.43,1330149.00
1/30/2024,298.43,299.96,297.3,298.8,1066553.00
1/29/2024,301.56,302.35,297,298.39,953552.00
1/26/2024,299.79,301.9,297.81,301.9,1565627.00
1/25/2024,302.85,303.75,296.41,299.71,1845324.00
1/24/2024,305.78,306.79,303,304.06,1070037.00
1/23/2024,307.76,309.33,304.25,304.46,1069861.00
1/22/2024,311.34,312.25,305.78,306.43,1716493.00
1/19/2024,309.01,312.75,307.55,311.58,1492491.00
1/18/2024,301.15,308.67,300.28,307.28,1488541.00
1/17/2024,300.55,304.87,299.47,303.26,1247409.00
1/16/2024,299.76,300.85,297.94,300.32,817428.00
1/12/2024,299.62,300.94,298.91,300.24,755152.00
1/11/2024,299.41,300.04,295.53,298.61,1078230.00
1/10/2024,294.02,299.34,293.45,299.3,1157511.00
1/9/2024,293.44,294.17,290.19,293.98,826938.00
1/8/2024,291.86,295.93,290.43,295.54,1556698.00
1/5/2024,291.13,292.61,285.86,289.59,867256.00
1/4/2024,292.33,295.34,290.5,290.74,903323.00
1/3/2024,288.89,292.96,287.8,290.89,1244043.00
1/2/2024,291.44,292.85,287.79,288.02,1174181.00
12/29/2023,289.31,291.21,288.17,291.02,773191.00
12/28/2023,290,292.41,288.47,289.31,1086701.00
12/27/2023,289.08,290.5,287.63,289.87,1051736.00
12/26/2023,290.45,290.96,287.48,289.59,981941.00
12/22/2023,289.12,291.79,285,291.67,1882229.00
12/21/2023,292.43,295.05,287.15,288.19,2082385.00
12/20/2023,290.98,297.03,284.85,294.12,2768589.00
12/19/2023,314.05,315.18,311.87,313.01,968232.00
12/18/2023,312.68,316.33,312.55,314.05,872414.00
12/15/2023,311.32,314.22,307.58,310.43,2907601.00
12/14/2023,335.33,335.33,316.18,318.03,1927352.00
12/13/2023,332.87,337.02,332.07,335.32,1180855.00
12/12/2023,329.87,332.47,329.03,332.45,577883.00
12/11/2023,325.41,330.72,325.41,329.46,905056.00
12/8/2023,322.14,324.21,320.36,324.1,978881.00
12/7/2023,320.24,321.89,319.55,321.69,903623.00
12/6/2023,322.67,323.97,316.71,319.58,1323354.00
12/5/2023,325.54,326.15,321.99,322.25,1190282.00
12/4/2023,326.38,328.99,324.79,326.11,896830.00
12/1/2023,328.68,329.21,326.2,326.77,924386.00
11/30/2023,322.88,328.88,321.55,328.49,1497711.00
11/29/2023,323.16,324.1,319.6,322.1,645618.00
11/28/2023,327.11,328,322.87,323.15,636324.00
11/27/2023,330.65,330.97,326.6,327.54,978320.00
11/24/2023,329.8,331.37,327.66,330.02,250466.00
11/22/2023,326.61,330.21,326.37,328.98,618786.00
11/21/2023,330.6,331,324.05,325.93,1166010.00
