Date,Open,High,Low,Close,Volume
2/16/2024,226.87,227.84,225.91,226.85,1694224.00
2/15/2024,221.14,228.46,220.26,226.95,2429375.00
2/14/2024,217.93,219.38,216.3,217.01,2117089.00
2/13/2024,220.72,222.62,216.34,217.61,2769733.00
2/12/2024,220.38,223.38,219.12,222.59,1946386.00
2/9/2024,219.49,219.94,216.5,219.84,2381777.00
2/8/2024,214.03,220.76,213.8,219.91,3243666.00
2/7/2024,218.34,219.62,213.07,215.38,3469430.00
2/6/2024,218.71,219.98,212.24,218.05,4983253.00
2/5/2024,227,228.04,217.03,218.02,7998235.00
2/2/2024,257.11,260,255.5,258.17,1934825.00
2/1/2024,257.82,260.2,256.15,259.56,1517126.00
1/31/2024,261.11,261.25,255.42,255.71,1941511.00
1/30/2024,259.93,262.27,259.15,259.28,2053730.00
1/29/2024,261.9,262.23,259.76,261.13,1192369.00
1/26/2024,266.17,266.17,261.28,261.9,873224.00
1/25/2024,259.12,263.73,258.36,263.65,1936481.00
1/24/2024,263.23,264.48,257.11,257.16,1768590.00
1/23/2024,262.35,264,260.43,263.24,1539833.00
1/22/2024,258.48,262.81,257.76,260.93,1501086.00
1/19/2024,260.16,261,257.24,260.64,2509632.00
1/18/2024,259.24,260.46,257,260.03,1157304.00
1/17/2024,258.06,260.23,257,260.14,1201315.00
1/16/2024,262.53,263.99,260,260.45,1435185.00
1/12/2024,265.96,267.66,263.41,264.13,1201615.00
1/11/2024,267.39,268.07,263.01,264.59,1046418.00
1/10/2024,267.31,267.31,263.85,266.96,922153.00
1/9/2024,271.01,271.01,266.59,268.09,831592.00
1/8/2024,268.57,272.94,266.9,272.84,912196.00
1/5/2024,270.95,273,268.42,270.15,777427.00
1/4/2024,270.85,273.29,270.13,270.25,956805.00
1/3/2024,272,273.06,269.79,270.86,1117567.00
1/2/2024,272.33,274.87,272.33,273.47,1109171.00
12/29/2023,272.64,274.89,272,273.8,886040.00
12/28/2023,275.63,275.67,274.01,274.23,531853.00
12/27/2023,274.21,275.8,273.34,275.69,759837.00
12/26/2023,273.45,275.82,273.25,274.87,446136.00
12/22/2023,272.75,274.32,272.14,272.84,756207.00
12/21/2023,270.22,271.83,268.47,271.74,790117.00
12/20/2023,271.6,273.51,268.01,268.15,905068.00
12/19/2023,273.23,273.91,270.63,272.52,1340357.00
12/18/2023,273.58,274.95,271.12,271.2,1384717.00
12/15/2023,270.28,272.73,269.69,270.86,3312935.00
12/14/2023,270.4,273.4,270,270.81,1372788.00
12/13/2023,266.7,270.47,263.73,269.32,1367587.00
12/12/2023,265.39,267.4,262.92,267.34,1284272.00
12/11/2023,263.25,265.08,262.47,264.56,1120836.00
12/8/2023,262.78,264.72,262.54,263.27,744090.00
12/7/2023,262.14,264.03,261.01,262.01,1408520.00
12/6/2023,262.39,264.1,260.29,261.28,1312956.00
12/5/2023,269.26,269.76,261.07,262.02,2196294.00
12/4/2023,270.94,272.56,268.76,270.15,1782275.00
12/1/2023,270.6,275.11,269.84,272.64,1706153.00
11/30/2023,266.48,271.12,265.73,270.55,2341787.00
11/29/2023,269.74,270.8,265.9,266.48,1096245.00
11/28/2023,271,271.73,267.96,268.4,893751.00
11/27/2023,273.7,274.04,269.4,271.67,1158973.00
11/24/2023,275.08,276.65,274.5,274.5,399847.00
11/22/2023,277.41,277.46,273.7,274.27,1004823.00
11/21/2023,273.5,277.47,273.03,276.34,1245348.00
