Date,Open,High,Low,Close,Volume
2/16/2024,105.94,106.51,105.33,105.52,1817936.00
2/15/2024,104.54,105.77,104.54,105.67,1990046.00
2/14/2024,103.73,104.23,103.38,104.11,2158244.00
2/13/2024,103.17,103.78,102.27,103.08,2522290.00
2/12/2024,105.28,105.66,104.87,105.03,1863414.00
2/9/2024,105,105.41,104.54,105.29,1643155.00
2/8/2024,104.32,104.97,104.3,104.86,2038837.00
2/7/2024,103.03,104.36,102.65,104.26,2487242.00
2/6/2024,102.94,103.5,102.31,102.77,2748317.00
2/5/2024,103.3,103.39,102.05,102.99,2089749.00
2/2/2024,102.07,104.1,102.07,103.46,2706624.00
2/1/2024,101.24,102.46,100.96,102.42,2549081.00
1/31/2024,102.38,102.69,101.05,101.1,2837563.00
1/30/2024,102.5,103.07,102.19,102.78,3027920.00
1/29/2024,100.15,101.45,99.95,101.45,2312242.00
1/26/2024,100.81,101.6,100.21,100.71,2241695.00
1/25/2024,99.42,101.78,98.75,100.81,4138184.00
1/24/2024,101.09,103.07,99.11,100.66,6556916.00
1/23/2024,98.12,98.2,97.04,97.94,3389239.00
1/22/2024,97.63,98.48,97.42,97.97,2756441.00
1/19/2024,97.36,97.75,96.53,97.61,3511008.00
1/18/2024,95.86,96.77,95.53,96.7,2834232.00
1/17/2024,95.48,96.07,94.75,95.33,2090564.00
1/16/2024,96.15,96.67,95.39,96.14,2230758.00
1/12/2024,96.87,97.03,96.08,96.5,1544458.00
1/11/2024,96.21,96.54,95.13,96.42,2036955.00
1/10/2024,95.82,96.5,95.54,96.21,1913169.00
1/9/2024,95.45,96.24,95.3,95.85,1624603.00
1/8/2024,95.12,96.61,95.07,96.58,2301210.00
1/5/2024,94.29,95.08,94.05,94.46,2009436.00
1/4/2024,93.92,95.22,93.89,94.63,2471757.00
1/3/2024,96.21,96.21,95.03,95.08,3071480.00
1/2/2024,97.97,97.97,96.37,96.83,2640794.00
12/29/2023,99.36,99.7,98.85,99.13,1340608.00
12/28/2023,99.57,99.64,99.06,99.44,1044320.00
12/27/2023,99.65,99.65,99.12,99.47,1240556.00
12/26/2023,98.94,99.76,98.94,99.49,955315.00
12/22/2023,98.82,99.31,98.62,99.01,2032767.00
12/21/2023,98.02,98.43,97.27,98.29,2291474.00
12/20/2023,98.17,98.35,97.23,97.28,4278217.00
12/19/2023,98.83,98.95,98.3,98.55,2065916.00
12/18/2023,98.91,99.14,97.97,98.56,2499709.00
12/15/2023,98.96,99.93,98.81,99.28,5623925.00
12/14/2023,96.93,98.87,96.69,98.81,4056704.00
12/13/2023,95.76,96.78,95.4,96.13,3756761.00
12/12/2023,95.25,95.85,94.97,95.46,2279925.00
12/11/2023,93.65,95.38,93.64,95.24,3862427.00
12/8/2023,92.42,93.44,92.29,93.23,5882172.00
12/7/2023,92.28,92.63,91.83,92.48,2032582.00
12/6/2023,92,92.71,91.83,92.23,3526823.00
12/5/2023,91.5,91.73,90.94,91.32,3513552.00
12/4/2023,91.57,92.2,91.31,91.87,3153573.00
12/1/2023,91.38,92.53,91.14,92.28,4287031.00
11/30/2023,90.47,91.15,90.02,90.99,3825844.00
11/29/2023,90.5,90.77,90.03,90.18,1783726.00
11/28/2023,89.99,90.37,89.81,89.91,2049299.00
11/27/2023,90.02,90.54,89.63,90.12,2932029.00
11/24/2023,90.07,90.36,89.94,90.36,890240.00
11/22/2023,89.9,90.41,89.65,90.09,2142244.00
11/21/2023,89.57,89.99,89.44,89.67,2065362.00
