Date,Open,High,Low,Close,Volume
2/16/2024,116.96,119.91,116.67,119.28,882712.00
2/15/2024,114.8,119.45,114.8,119.38,933874.00
2/14/2024,113.8,114.52,112.59,113.34,1304264.00
2/13/2024,113.91,114.01,111.19,112.77,1279465.00
2/12/2024,116.89,119.19,116.89,117.95,1251448.00
2/9/2024,117.23,118.18,114.8,116.2,1259181.00
2/8/2024,116.77,118.89,116.48,117.9,1028089.00
2/7/2024,118,118.5,116,117.22,1097933.00
2/6/2024,117.73,119.52,117.27,117.63,1501887.00
2/5/2024,119.16,119.46,117.53,118.01,1316266.00
2/2/2024,119.69,122.01,117.8,121.46,1853428.00
2/1/2024,120.5,122.53,117.43,122.47,1323422.00
1/31/2024,122.03,125.05,119.12,120.9,1513009.00
1/30/2024,124.49,124.7,121.15,121.2,1791946.00
1/29/2024,124.7,126.81,123.99,126.44,1646813.00
1/26/2024,123.81,124.56,122.36,124.35,1054585.00
1/25/2024,123.04,123.84,121.96,123.42,843619.00
1/24/2024,123.96,124.43,120.19,120.77,960533.00
1/23/2024,124.52,124.52,121.67,121.99,1276883.00
1/22/2024,124.03,124.74,122.58,123.41,1187877.00
1/19/2024,122.63,123.91,120.76,123.35,1026040.00
1/18/2024,122.84,123.78,120.69,121.96,1004404.00
1/17/2024,123.72,126.84,121.42,123.19,1200926.00
1/16/2024,124.5,127.07,124,126.56,872318.00
1/12/2024,127.46,128.82,126,126.25,900606.00
1/11/2024,127.94,128.75,125.29,125.87,911561.00
1/10/2024,128.97,130.15,128.15,129.13,535513.00
1/9/2024,127.91,129.43,127.24,128.34,629995.00
1/8/2024,126.51,130.4,126.45,129.75,909395.00
1/5/2024,124.19,127.78,123.07,126.51,841041.00
1/4/2024,124.58,126.87,123.23,125.67,844799.00
1/3/2024,126.97,126.97,122.79,125.35,1091897.00
1/2/2024,127,131.36,126,129.31,964911.00
12/29/2023,127.99,129.39,126.64,126.77,1000071.00
12/28/2023,127.34,128.97,127.2,128.9,688963.00
12/27/2023,129,129.54,128.04,129.27,718806.00
12/26/2023,128,129.89,127.65,129.11,631685.00
12/22/2023,129.65,131.44,126.94,127.75,1016727.00
12/21/2023,128.29,129.63,127.25,128.89,905847.00
12/20/2023,129.52,131.83,126.37,126.48,1541695.00
12/19/2023,130.18,130.31,128.4,129.54,1181035.00
12/18/2023,131.06,131.12,128.67,129.09,1397249.00
12/15/2023,132.76,133.51,128.34,130.14,3002897.00
12/14/2023,129.59,135.45,129.59,134.45,3055447.00
12/13/2023,117.03,126.22,116.77,125.55,2254568.00
12/12/2023,117.89,119.25,116.15,116.94,1539130.00
12/11/2023,118.88,119.65,117.91,119.44,944928.00
12/8/2023,121.69,121.69,118.65,119.44,1258990.00
12/7/2023,121.65,124.27,120.73,121.96,1693873.00
12/6/2023,121.15,123.9,120.87,121.83,1819008.00
12/5/2023,119.1,119.97,118.34,119.71,1671804.00
12/4/2023,117.58,120.42,117.24,119.89,1789747.00
12/1/2023,109.52,118.55,108.87,118.14,3033254.00
11/30/2023,109.01,109.92,108.21,109.4,1507484.00
11/29/2023,108.98,113.31,108.83,109.01,1766645.00
11/28/2023,104.82,108.02,103.01,107.72,1327800.00
11/27/2023,104.41,105.8,103.87,105.02,1071198.00
11/24/2023,104.27,105.41,103.43,105.18,312859.00
11/22/2023,105.03,105.53,103.65,104.59,535433.00
11/21/2023,103.47,104.65,102.7,103.77,770579.00
