Date,Open,High,Low,Close,Volume
2/20/2024,"1,235.86","1,237.72","1,212.56","1,226.55",2632919.00
2/16/2024,"1,259.04","1,275.69","1,242.39","1,245.48",2126805.00
2/15/2024,"1,279.95","1,280.00","1,244.85","1,265.07",2187344.00
2/14/2024,"1,269.24","1,273.00","1,241.32","1,262.22",2730626.00
2/13/2024,"1,235.12","1,255.87","1,227.09","1,251.65",3190652.00
2/12/2024,"1,290.01","1,290.07","1,259.00","1,265.00",2477822.00
2/9/2024,"1,252.03","1,285.75","1,248.99","1,283.44",2629289.00
2/8/2024,"1,267.00","1,295.97","1,265.01","1,274.76",2932624.00
2/7/2024,"1,234.00","1,259.51","1,226.70","1,257.06",2576775.00
2/6/2024,"1,263.57","1,272.11","1,211.94","1,222.65",2535410.00
2/5/2024,"1,226.96","1,247.75","1,222.15","1,243.10",2204452.00
2/2/2024,"1,208.75","1,234.69","1,205.15","1,224.34",2668929.00
2/1/2024,"1,187.35","1,203.09","1,179.11","1,200.01",1941128.00
1/31/2024,"1,189.45","1,197.22","1,174.31","1,180.00",2740019.00
1/30/2024,"1,216.77","1,228.00","1,204.29","1,208.16",2068254.00
1/29/2024,"1,214.91","1,223.67","1,205.00","1,217.77",2152647.00
1/26/2024,"1,219.70","1,221.21","1,200.23","1,204.88",2581760.00
1/25/2024,"1,281.00","1,281.00","1,228.80","1,230.00",3635610.00
1/24/2024,"1,242.30","1,284.55","1,231.01","1,253.87",3480482.00
1/23/2024,"1,221.00","1,226.98","1,203.52","1,226.31",1695211.00
1/22/2024,"1,216.25","1,231.33","1,208.22","1,220.50",3122224.00
1/19/2024,"1,157.31","1,217.00","1,156.00","1,211.20",5307712.00
1/18/2024,"1,124.90","1,146.55","1,121.88","1,143.91",3222840.00
1/17/2024,"1,106.29","1,113.11","1,090.22","1,103.67",1831405.00
1/16/2024,"1,112.34","1,126.24","1,098.63","1,114.96",2614508.00
1/12/2024,"1,112.10","1,115.69","1,100.01","1,107.68",2688196.00
1/11/2024,"1,084.32","1,101.30","1,074.51","1,099.98",2575722.00
1/10/2024,"1,080.35","1,082.96","1,062.61","1,080.57",1764345.00
1/9/2024,"1,065.62","1,088.55","1,064.71","1,082.49",2322534.00
1/8/2024,"1,056.50","1,078.00","1,052.00","1,074.85",3311029.00
1/5/2024,"1,051.60","1,055.46","1,041.51","1,049.28",2247469.00
1/4/2024,"1,057.96","1,069.50","1,047.37","1,049.01",2565803.00
1/3/2024,"1,070.20","1,075.00","1,055.31","1,058.58",3473547.00
1/2/2024,"1,092.12","1,102.00","1,077.09","1,085.38",2883102.00
12/29/2023,"1,121.46","1,124.38","1,114.67","1,116.25",2055800.00
12/28/2023,"1,131.69","1,132.24","1,119.05","1,122.41",2124925.00
12/27/2023,"1,136.00","1,139.57","1,122.96","1,126.17",2005523.00
12/26/2023,"1,124.24","1,135.50","1,123.02","1,131.89",1679327.00
12/22/2023,"1,127.98","1,132.00","1,113.53","1,121.98",1908897.00
12/21/2023,"1,132.65","1,135.42","1,115.00","1,127.29",2410561.00
12/20/2023,"1,132.70","1,141.36","1,109.26","1,110.38",3452335.00
12/19/2023,"1,142.00","1,150.46","1,132.51","1,139.58",3602040.00
12/18/2023,"1,120.80","1,151.82","1,118.64","1,147.00",5474137.00
12/15/2023,"1,095.22","1,149.88","1,094.62","1,129.74",11854370.00
12/14/2023,"1,092.18","1,121.46","1,090.28","1,106.49",6696402.00
12/13/2023,"1,068.00","1,099.78","1,062.54","1,089.69",7165375.00
12/12/2023,"1,027.99","1,079.39","1,024.58","1,072.28",9024155.00
12/11/2023,957.01,"1,039.51",956.09,"1,029.24",10118370.00
12/8/2023,927.84,950.73,910.53,944.3,6966842.00
12/7/2023,905.54,924.12,903.64,922.26,4351689.00
12/6/2023,920.36,920.97,903.1,903.64,2481269.00
12/5/2023,911.6,917.27,905.85,913.12,3706593.00
12/4/2023,920.64,930.97,916.44,923.97,2500921.00
12/1/2023,922.46,933.9,908,930,2961244.00
11/30/2023,941,942.42,918.37,925.73,4957110.00
11/29/2023,948.34,959.43,939.37,940.83,3484274.00
11/28/2023,939.94,950.86,934.16,946.35,3902494.00
11/27/2023,976.15,981.01,949.33,950.24,9696202.00
11/24/2023,974.96,979.86,966.75,978.87,2315789.00
11/22/2023,983.69,987.99,971,972,3375092.00
