Date,Open,High,Low,Close,Volume
2/20/2024,211,213.75,210.28,212.49,3341695.00
2/16/2024,212.53,214.29,211.87,212.56,2831527.00
2/15/2024,211.47,213.12,210.65,212.53,2644546.00
2/14/2024,211.15,211.29,208.82,210.9,2770792.00
2/13/2024,210.22,210.97,207.61,209.67,3381728.00
2/12/2024,212.25,214.01,211.61,212.26,4041427.00
2/9/2024,211.55,214.25,210.41,212.47,4785303.00
2/8/2024,208.25,211.34,207.95,211.21,4136649.00
2/7/2024,207.08,209.15,205.6,209.08,3272239.00
2/6/2024,205.44,207.08,204,205.65,3255282.00
2/5/2024,205.49,206.72,203.42,205.94,3099394.00
2/2/2024,203.39,206.97,203,206.41,3393186.00
2/1/2024,200.36,203.47,199.88,203.22,3025286.00
1/31/2024,202.4,205.32,200.66,200.74,3495246.00
1/30/2024,200.5,204.44,200.41,204.15,4284584.00
1/29/2024,201.91,202.9,199.07,200.86,4935511.00
1/26/2024,192.54,204.77,192.26,201.43,13555400.00
1/25/2024,186.44,188.33,186.43,188.07,3472509.00
1/24/2024,187.09,188.42,185.73,185.82,3052485.00
1/23/2024,185.68,186.02,184.81,185.47,2327575.00
1/22/2024,184.26,186.77,184.06,185.01,3145306.00
1/19/2024,181,183.38,179.41,183.17,3388875.00
1/18/2024,180.1,180.19,177.81,179.79,3215221.00
1/17/2024,179.45,181.6,179,181,2377792.00
1/16/2024,181.01,181.15,178.82,180.97,4142929.00
1/12/2024,185.83,186.41,181.95,182.04,3366290.00
1/11/2024,185.01,185.36,182.04,185.03,3493334.00
1/10/2024,185.03,186.1,183.67,184.97,2757848.00
1/9/2024,187.83,187.99,186.34,186.77,2055536.00
1/8/2024,188.22,189.33,186.38,189.21,3442161.00
1/5/2024,186.82,189.51,186.52,189.06,2243271.00
1/4/2024,186.01,188.57,185.76,187.14,2777537.00
1/3/2024,186.68,187.49,185.59,186.32,2720517.00
1/2/2024,186.49,188.74,186.07,188.31,2236696.00
12/29/2023,187.75,188.3,186.53,187.34,1914960.00
12/28/2023,187.12,188.07,187,187.8,1486110.00
12/27/2023,186.14,187.13,185.62,187.06,1825378.00
12/26/2023,185.96,186.18,185.13,185.96,1230025.00
12/22/2023,185.64,186.37,184.63,185.57,2782604.00
12/21/2023,181.83,185.21,181.83,184.79,3496869.00
12/20/2023,185.35,185.65,180.54,180.65,4020694.00
12/19/2023,183.21,185.77,183.19,185.75,3978288.00
12/18/2023,181.38,182.84,181.03,182.76,2814390.00
12/15/2023,177.54,181.18,177.5,180.51,7139394.00
12/14/2023,175.74,179.9,175.6,178.86,4548159.00
12/13/2023,171.21,174.66,170.15,174.56,3207685.00
12/12/2023,168.39,171.08,167.77,171.04,2946386.00
12/11/2023,168.4,169.51,167.86,168.39,2811552.00
12/8/2023,168.34,169.13,167.57,168.43,2681333.00
12/7/2023,168.46,169.22,167.74,168.62,2797101.00
12/6/2023,171.73,172.38,167.18,167.51,3890679.00
12/5/2023,172.1,172.71,165.93,170.68,6452483.00
12/4/2023,172.86,175.31,172.66,173.25,3630974.00
12/1/2023,170.67,174.34,170.31,173.76,3412216.00
11/30/2023,168,171.17,167.53,170.77,4253144.00
11/29/2023,166.4,168.72,166.4,167.43,2720166.00
11/28/2023,163.92,165.98,163.61,165.66,2117827.00
11/27/2023,163.76,164.52,163.32,164.04,2146495.00
11/24/2023,164.56,165.22,163.97,164.42,950727.00
11/22/2023,163.28,164.68,162.85,163.79,2528342.00
