Date,Open,High,Low,Close,Volume
02/16/2024,"2,739.31","2,746.68","2,719.75","2,727.83","152,204"
02/15/2024,"2,720.23","2,742.55","2,702.87","2,724.88","148,751"
02/14/2024,"2,740.36","2,740.36","2,708.00","2,726.87","95,619"
02/13/2024,"2,701.51","2,761.00","2,689.77","2,726.15","149,588"
02/12/2024,"2,680.00","2,709.10","2,672.31","2,703.88","142,579"
02/09/2024,"2,735.04","2,742.31","2,679.41","2,680.00","220,953"
02/08/2024,"2,757.00","2,798.56","2,707.50","2,731.66","283,679"
02/07/2024,"2,812.00","2,855.21","2,807.20","2,842.54","153,247"
02/06/2024,"2,799.83","2,820.00","2,792.97","2,811.86","138,745"
02/05/2024,"2,801.12","2,810.20","2,769.82","2,803.98","134,739"
02/02/2024,"2,794.97","2,841.81","2,773.81","2,821.89","167,710"
02/01/2024,"2,751.85","2,800.14","2,747.00","2,798.15","176,473"
01/31/2024,"2,828.63","2,840.80","2,758.67","2,762.13","202,565"
01/30/2024,"2,803.71","2,849.99","2,785.07","2,838.66","170,348"
01/29/2024,"2,783.80","2,806.71","2,776.90","2,794.44","148,185"
01/26/2024,"2,748.05","2,780.24","2,748.05","2,780.24","103,009"
01/25/2024,"2,750.00","2,759.93","2,722.40","2,748.61","124,067"
01/24/2024,"2,770.00","2,770.00","2,743.39","2,751.62","113,880"
01/23/2024,"2,770.99","2,783.52","2,731.21","2,768.31","155,200"
01/22/2024,"2,738.99","2,779.99","2,704.35","2,770.99","220,525"
01/19/2024,"2,728.01","2,774.99","2,715.88","2,746.44","195,683"
01/18/2024,"2,658.18","2,724.99","2,658.18","2,722.98","183,847"
01/17/2024,"2,676.20","2,692.63","2,655.75","2,669.21","144,182"
01/16/2024,"2,578.72","2,671.40","2,575.00","2,669.56","205,406"
01/12/2024,"2,540.08","2,577.22","2,540.08","2,569.10","109,326"
01/11/2024,"2,536.45","2,548.62","2,512.61","2,546.65","108,624"
01/10/2024,"2,521.61","2,542.91","2,514.08","2,537.16","152,013"
01/09/2024,"2,541.85","2,546.35","2,510.00","2,521.28","139,785"
01/08/2024,"2,540.10","2,560.90","2,513.86","2,553.93","135,078"
01/05/2024,"2,565.29","2,575.49","2,544.88","2,550.93","190,441"
01/04/2024,"2,577.61","2,584.78","2,557.39","2,557.41","127,021"
01/03/2024,"2,561.02","2,612.32","2,561.02","2,567.59","168,970"
01/02/2024,"2,590.00","2,623.58","2,564.17","2,568.50","177,484"
12/29/2023,"2,570.75","2,585.87","2,554.76","2,585.61","116,891"
12/28/2023,"2,566.81","2,583.50","2,556.21","2,567.65","68,769"
12/27/2023,"2,568.15","2,581.36","2,549.24","2,573.32","94,723"
12/26/2023,"2,600.01","2,605.99","2,569.32","2,569.36","131,413"
12/22/2023,"2,610.91","2,645.48","2,606.37","2,608.69","91,414"
12/21/2023,"2,621.00","2,634.35","2,603.21","2,612.67","99,015"
12/20/2023,"2,637.56","2,661.00","2,606.24","2,607.34","128,672"
12/19/2023,"2,645.71","2,661.98","2,632.22","2,649.32","117,298"
12/18/2023,"2,638.00","2,639.08","2,608.97","2,637.36","106,511"
12/15/2023,"2,600.91","2,634.62","2,566.80","2,628.05","357,564"
12/14/2023,"2,728.69","2,728.69","2,632.77","2,636.69","187,959"
12/13/2023,"2,677.64","2,724.11","2,668.93","2,719.78","132,434"
12/12/2023,"2,644.65","2,663.60","2,640.03","2,661.25","113,243"
12/11/2023,"2,621.61","2,642.61","2,610.48","2,633.50","112,702"
12/08/2023,"2,640.00","2,640.00","2,610.50","2,620.49","110,335"
12/07/2023,"2,714.55","2,730.40","2,632.14","2,632.70","180,557"
12/06/2023,"2,702.83","2,730.64","2,696.53","2,710.62","173,609"
12/05/2023,"2,700.00","2,704.01","2,632.56","2,671.13","221,858"
12/04/2023,"2,637.81","2,674.00","2,630.69","2,664.11","205,789"
12/01/2023,"2,616.82","2,644.57","2,603.00","2,641.75","233,808"
11/30/2023,"2,597.05","2,624.91","2,593.04","2,609.93","266,452"
11/29/2023,"2,606.77","2,613.63","2,587.71","2,596.51","160,219"
11/28/2023,"2,615.13","2,636.69","2,587.27","2,602.18","121,875"
11/27/2023,"2,683.26","2,688.53","2,610.07","2,613.15","198,933"
11/24/2023,"2,670.04","2,690.00","2,666.84","2,688.00","37,502"
11/22/2023,"2,685.54","2,685.54","2,662.54","2,671.77","93,165"
11/21/2023,"2,660.00","2,683.69","2,643.87","2,676.09","86,344"
