Date,Open,High,Low,Close,Volume
02/20/2024,"203.55","205.58","202.71","203.37","5,248,399"
02/16/2024,"204.88","205.05","202.81","203.89","5,986,529"
02/15/2024,"204.12","206.55","203.40","205.33","5,309,060"
02/14/2024,"205.95","206.58","202.21","203.38","6,503,032"
02/13/2024,"206.90","207.81","202.33","204.46","8,263,634"
02/12/2024,"208.70","209.80","207.60","209.33","4,077,413"
02/09/2024,"209.77","211.44","207.90","209.20","4,349,671"
02/08/2024,"212.40","213.10","208.72","209.22","5,787,652"
02/07/2024,"208.76","213.77","207.99","211.92","7,747,653"
02/06/2024,"206.02","210.64","203.89","208.58","7,561,923"
02/05/2024,"204.64","207.34","202.00","206.63","8,682,514"
02/02/2024,"209.06","209.54","206.35","209.38","6,275,335"
02/01/2024,"213.84","214.63","206.81","209.81","10,679,210"
01/31/2024,"204.92","213.77","203.25","211.04","22,409,381"
01/30/2024,"203.65","203.98","199.14","200.44","13,321,190"
01/29/2024,"206.06","207.04","203.85","205.19","7,535,398"
01/26/2024,"203.08","206.75","203.00","205.47","9,911,195"
01/25/2024,"208.20","208.73","198.32","201.88","22,112,471"
01/24/2024,"209.83","217.59","209.36","214.13","15,119,120"
01/23/2024,"215.35","216.85","211.13","211.50","9,076,878"
01/22/2024,"213.07","217.00","212.36","214.93","10,760,760"
01/19/2024,"210.89","215.16","209.23","215.02","14,345,440"
01/18/2024,"205.64","213.04","203.32","211.61","20,046,760"
01/17/2024,"202.63","206.30","201.65","203.06","20,140,109"
01/16/2024,"210.07","210.98","199.50","200.52","35,289,980"
01/12/2024,"219.97","222.07","217.04","217.70","11,285,520"
01/11/2024,"228.07","228.28","222.62","222.66","11,830,490"
01/10/2024,"226.90","231.61","226.64","227.84","12,883,740"
01/09/2024,"225.66","228.79","223.20","225.76","20,687,539"
01/08/2024,"228.00","233.85","225.79","229.00","40,730,434"
01/05/2024,"245.04","250.19","245.04","249.00","3,849,746"
01/04/2024,"244.58","248.28","244.18","244.94","5,170,739"
01/03/2024,"248.32","250.13","243.00","243.91","7,219,930"
01/02/2024,"257.28","258.59","250.87","251.76","5,815,219"
12/29/2023,"260.67","262.22","259.56","260.66","3,686,554"
12/28/2023,"261.53","262.10","257.68","260.35","5,096,448"
12/27/2023,"262.63","264.66","260.90","262.10","3,484,867"
12/26/2023,"259.80","263.76","259.54","262.79","3,938,565"
12/22/2023,"261.83","262.84","259.20","260.44","4,433,959"
12/21/2023,"265.95","267.54","260.19","262.02","6,487,150"
12/20/2023,"262.25","266.13","260.15","260.25","5,151,674"
12/19/2023,"261.04","265.34","260.80","263.51","6,089,492"
12/18/2023,"260.63","263.13","260.25","260.41","6,140,097"
12/15/2023,"255.70","265.52","255.70","264.27","14,995,890"
12/14/2023,"250.91","257.12","249.26","256.24","7,883,554"
12/13/2023,"249.10","251.87","247.53","250.91","5,513,393"
12/12/2023,"247.95","250.57","247.40","248.63","5,719,220"
12/11/2023,"243.50","248.08","243.31","248.08","7,545,047"
12/08/2023,"237.32","244.70","237.32","244.70","7,171,150"
12/07/2023,"236.90","238.30","230.00","237.33","6,363,664"
12/06/2023,"234.78","239.23","234.43","236.89","4,740,614"
12/05/2023,"233.54","234.74","231.49","234.16","3,589,846"
12/04/2023,"231.30","234.94","230.07","234.87","5,228,476"
12/01/2023,"231.77","235.38","231.38","233.87","6,956,205"
11/30/2023,"225.00","233.00","225.00","231.63","8,736,247"
11/29/2023,"223.35","224.99","221.34","224.43","5,424,443"
11/28/2023,"222.01","224.80","219.41","222.37","7,817,755"
11/27/2023,"218.81","219.53","217.66","219.30","3,691,175"
11/24/2023,"220.61","221.59","218.96","220.00","2,312,134"
11/22/2023,"218.00","221.50","217.70","219.91","5,386,264"
