Date,Open,High,Low,Close,Volume
02/20/2024,"33.78","34.09","33.77","33.96","30,372,881"
02/16/2024,"33.92","34.15","32.49","34.09","33,290,660"
02/15/2024,"33.32","34.24","33.32","34.07","41,683,113"
02/14/2024,"32.98","33.18","32.87","33.13","27,833,900"
02/13/2024,"33.12","33.31","32.35","32.75","43,801,480"
02/12/2024,"33.00","33.97","32.98","33.62","34,160,434"
02/09/2024,"33.10","33.25","32.84","33.07","36,175,992"
02/08/2024,"33.05","33.28","32.80","33.12","36,852,160"
02/07/2024,"33.06","33.26","32.63","33.18","29,660,100"
02/06/2024,"32.92","33.36","32.88","33.04","27,194,180"
02/05/2024,"33.11","33.29","32.86","32.99","43,573,020"
02/02/2024,"33.37","33.71","33.17","33.47","40,416,031"
02/01/2024,"33.93","34.25","32.93","33.55","57,084,762"
01/31/2024,"34.57","35.10","34.00","34.01","54,715,969"
01/30/2024,"33.90","34.89","33.84","34.79","60,315,754"
01/29/2024,"33.40","33.65","33.24","33.61","30,269,260"
01/26/2024,"33.40","33.68","33.32","33.43","30,839,830"
01/25/2024,"33.21","33.45","32.83","33.39","46,203,969"
01/24/2024,"33.03","33.34","32.91","32.98","36,403,859"
01/23/2024,"32.54","32.82","32.39","32.77","30,003,410"
01/22/2024,"32.36","32.99","32.32","32.55","43,903,359"
01/19/2024,"31.80","32.23","31.57","32.22","49,493,621"
01/18/2024,"31.75","31.77","31.40","31.73","35,484,422"
01/17/2024,"31.72","31.99","31.27","31.80","48,811,262"
01/16/2024,"32.41","32.51","31.82","32.12","58,420,793"
01/12/2024,"32.25","33.19","31.96","32.80","74,344,289"
01/11/2024,"33.36","33.50","32.78","33.15","48,790,559"
01/10/2024,"33.50","33.63","33.24","33.60","34,904,020"
01/09/2024,"33.82","33.84","33.51","33.63","39,268,840"
01/08/2024,"34.30","34.30","33.64","34.16","40,253,887"
01/05/2024,"33.80","34.69","33.71","34.43","49,242,359"
01/04/2024,"33.57","34.31","33.54","33.80","39,834,609"
01/03/2024,"33.65","33.77","33.24","33.53","45,988,754"
01/02/2024,"33.39","34.07","33.27","33.90","36,668,633"
12/29/2023,"33.94","34.00","33.55","33.67","28,060,740"
12/28/2023,"33.82","33.97","33.77","33.88","21,799,561"
12/27/2023,"33.80","33.95","33.66","33.84","24,498,580"
12/26/2023,"33.45","33.96","33.37","33.86","24,845,439"
12/22/2023,"33.21","33.67","33.20","33.43","37,265,859"
12/21/2023,"33.24","33.45","32.89","33.20","32,325,650"
12/20/2023,"33.38","33.71","32.95","32.98","44,711,434"
12/19/2023,"33.03","33.67","32.80","33.51","44,534,848"
12/18/2023,"33.71","33.79","33.41","33.43","40,694,711"
12/15/2023,"33.82","34.02","33.29","33.60","83,771,805"
12/14/2023,"32.62","34.07","32.57","33.94","107,190,000"
12/13/2023,"30.75","32.13","30.63","32.04","60,311,078"
12/12/2023,"30.77","30.86","30.45","30.74","34,566,688"
12/11/2023,"30.92","31.08","30.71","30.85","32,253,971"
12/08/2023,"30.67","31.14","30.61","30.96","34,794,312"
12/07/2023,"30.59","30.93","30.54","30.66","32,699,641"
12/06/2023,"30.78","31.52","30.44","30.53","49,803,141"
12/05/2023,"30.68","30.79","30.33","30.58","45,723,113"
12/04/2023,"30.53","31.00","30.52","30.82","37,811,352"
12/01/2023,"30.40","31.05","30.35","30.96","46,133,340"
11/30/2023,"30.21","30.55","30.04","30.49","52,547,727"
11/29/2023,"29.88","30.61","29.81","30.31","57,954,859"
11/28/2023,"29.53","29.65","29.32","29.53","29,705,779"
11/27/2023,"29.60","29.69","29.51","29.56","42,039,473"
11/24/2023,"29.48","29.89","29.48","29.73","15,815,610"
11/22/2023,"29.74","29.79","29.52","29.63","41,427,992"
