Date,Open,High,Low,Close,Volume
02/16/2024,"61.94","62.68","61.57","62.09","1,654,161"
02/15/2024,"62.00","62.48","61.56","62.24","2,256,902"
02/14/2024,"60.86","62.58","60.69","62.00","3,482,589"
02/13/2024,"59.63","60.13","58.80","59.82","2,172,424"
02/12/2024,"59.36","60.66","59.20","60.52","1,537,842"
02/09/2024,"59.15","59.26","58.21","59.17","1,703,293"
02/08/2024,"58.58","59.57","58.34","59.14","1,973,324"
02/07/2024,"58.13","58.71","57.50","58.49","1,748,226"
02/06/2024,"57.80","58.38","56.60","57.25","4,284,221"
02/05/2024,"58.31","58.71","57.31","58.47","2,812,750"
02/02/2024,"58.81","59.85","57.05","59.48","2,668,247"
02/01/2024,"58.81","59.75","54.85","59.41","5,448,566"
01/31/2024,"56.81","56.87","55.38","55.45","1,998,422"
01/30/2024,"56.56","57.09","56.20","56.54","1,266,738"
01/29/2024,"56.95","57.02","56.30","57.00","1,008,058"
01/26/2024,"57.18","57.79","57.06","57.24","1,760,834"
01/25/2024,"56.58","56.89","55.86","56.87","1,828,142"
01/24/2024,"57.21","57.48","55.81","55.87","981,073"
01/23/2024,"56.94","57.36","56.47","56.73","1,170,541"
01/22/2024,"55.61","56.43","55.39","56.35","1,137,109"
01/19/2024,"54.96","55.57","54.06","55.53","1,982,022"
01/18/2024,"54.63","55.17","54.48","54.85","1,209,332"
01/17/2024,"54.82","55.48","54.45","54.63","1,689,503"
01/16/2024,"55.14","55.97","54.82","55.48","1,792,345"
01/12/2024,"57.04","57.27","56.20","56.36","1,090,944"
01/11/2024,"57.44","57.67","56.22","56.64","1,805,302"
01/10/2024,"56.67","57.51","56.28","57.30","1,014,746"
01/09/2024,"56.78","57.28","56.53","57.07","1,320,964"
01/08/2024,"57.49","57.87","56.41","57.17","1,937,153"
01/05/2024,"56.61","57.44","56.29","57.39","1,587,058"
01/04/2024,"55.81","56.87","55.66","56.65","1,790,264"
01/03/2024,"56.02","56.27","55.16","55.85","2,755,586"
01/02/2024,"56.30","57.40","56.00","56.98","2,129,493"
12/29/2023,"57.89","58.28","57.47","57.52","936,023"
12/28/2023,"57.91","58.54","57.72","57.95","1,066,350"
12/27/2023,"57.61","57.97","57.41","57.91","803,565"
12/26/2023,"56.99","57.92","56.95","57.61","686,214"
12/22/2023,"56.81","57.62","56.81","57.20","1,014,706"
12/21/2023,"56.10","56.80","55.76","56.73","1,337,430"
12/20/2023,"57.21","57.21","55.61","55.70","2,998,439"
12/19/2023,"57.84","58.12","57.10","57.39","2,361,452"
12/18/2023,"58.51","58.87","57.26","57.46","3,236,643"
12/15/2023,"58.98","59.67","58.22","58.43","4,433,411"
12/14/2023,"59.75","60.76","59.02","59.14","2,870,248"
12/13/2023,"56.96","59.29","56.82","58.95","1,741,066"
12/12/2023,"57.53","57.53","56.38","57.22","1,738,994"
12/11/2023,"57.35","57.77","57.00","57.58","1,257,611"
12/08/2023,"57.04","57.69","57.00","57.51","2,048,798"
12/07/2023,"57.46","57.61","56.35","57.21","2,495,403"
12/06/2023,"56.49","57.65","56.49","57.36","2,354,676"
12/05/2023,"56.50","56.66","55.58","56.26","2,291,058"
12/04/2023,"56.14","57.21","55.94","56.67","2,430,481"
12/01/2023,"55.14","56.49","55.01","56.34","1,784,757"
11/30/2023,"54.81","55.54","54.48","55.29","2,378,471"
11/29/2023,"53.90","54.98","53.79","54.82","2,148,309"
11/28/2023,"54.41","54.41","53.69","53.71","1,456,058"
11/27/2023,"53.87","54.36","53.57","54.15","1,589,491"
11/24/2023,"53.75","54.65","53.69","54.28","573,858"
11/22/2023,"53.75","53.97","53.23","53.59","1,191,134"
11/21/2023,"52.92","54.16","52.92","53.75","2,948,760"
