Date,Open,High,Low,Close,Volume
02/16/2024,"40.91","41.87","40.77","41.22","5,250,047"
02/15/2024,"39.75","41.26","39.75","40.94","6,525,707"
02/14/2024,"39.75","40.00","39.48","39.64","4,198,694"
02/13/2024,"40.03","40.44","39.08","39.62","3,567,773"
02/12/2024,"39.69","40.35","39.16","40.31","3,560,474"
02/09/2024,"40.50","40.50","38.79","39.55","4,745,134"
02/08/2024,"39.00","41.31","38.11","40.46","7,956,298"
02/07/2024,"39.80","39.89","39.09","39.38","5,802,407"
02/06/2024,"38.54","39.73","38.48","39.71","3,651,939"
02/05/2024,"38.70","39.17","38.52","38.53","2,609,833"
02/02/2024,"39.03","39.27","38.45","38.98","2,688,475"
02/01/2024,"38.56","39.52","38.44","39.19","2,862,065"
01/31/2024,"39.00","39.39","38.61","38.69","3,080,709"
01/30/2024,"39.17","39.17","38.64","38.70","2,026,582"
01/29/2024,"38.61","39.37","38.48","39.08","3,052,820"
01/26/2024,"39.21","39.32","38.63","38.79","2,228,903"
01/25/2024,"38.22","39.01","38.15","38.99","2,840,696"
01/24/2024,"38.30","38.59","37.87","37.88","2,073,840"
01/23/2024,"38.95","39.02","38.20","38.42","1,882,924"
01/22/2024,"38.71","39.26","38.58","38.72","2,798,988"
01/19/2024,"38.88","38.88","38.33","38.60","2,790,192"
01/18/2024,"38.51","38.85","38.01","38.84","3,508,476"
01/17/2024,"38.82","39.16","38.56","38.69","4,003,317"
01/16/2024,"39.68","39.72","38.94","39.05","4,272,833"
01/12/2024,"40.25","40.41","39.86","40.00","2,910,764"
01/11/2024,"40.24","40.36","39.79","40.04","2,459,690"
01/10/2024,"40.71","40.81","40.12","40.29","2,353,501"
01/09/2024,"40.45","41.24","40.37","40.66","4,144,514"
01/08/2024,"39.37","42.24","39.22","40.67","11,038,180"
01/05/2024,"38.48","39.65","38.38","39.16","3,453,736"
01/04/2024,"38.16","38.97","37.95","38.63","4,271,408"
01/03/2024,"38.60","38.88","38.05","38.13","4,911,695"
01/02/2024,"38.47","39.80","38.31","38.85","5,707,146"
12/29/2023,"38.72","38.99","38.60","38.66","2,475,571"
12/28/2023,"38.64","38.97","38.41","38.80","2,368,824"
12/27/2023,"38.34","38.76","38.29","38.66","2,889,295"
12/26/2023,"38.27","38.83","38.20","38.58","2,396,367"
12/22/2023,"39.15","39.46","38.30","38.38","4,402,841"
12/21/2023,"38.71","39.01","38.13","38.91","5,045,570"
12/20/2023,"38.71","38.88","38.49","38.60","4,702,420"
12/19/2023,"38.45","38.72","38.29","38.69","2,197,006"
12/18/2023,"38.85","38.85","38.32","38.33","2,721,388"
12/15/2023,"38.75","39.17","38.51","38.70","6,879,718"
12/14/2023,"38.27","39.21","38.14","38.95","6,347,226"
12/13/2023,"36.57","37.67","36.41","37.63","3,886,812"
12/12/2023,"36.61","36.79","35.96","36.69","3,783,509"
12/11/2023,"36.20","36.49","36.08","36.42","3,452,843"
12/08/2023,"36.63","36.67","36.08","36.15","3,086,527"
12/07/2023,"36.07","36.58","35.91","36.53","3,973,802"
12/06/2023,"35.85","36.13","35.62","35.93","3,338,744"
12/05/2023,"36.69","36.80","35.72","35.80","3,015,667"
12/04/2023,"36.27","37.18","36.17","36.89","3,930,761"
12/01/2023,"36.10","36.67","35.95","36.55","4,207,046"
11/30/2023,"36.17","36.40","35.91","36.08","5,290,170"
11/29/2023,"36.35","36.83","36.27","36.40","2,890,335"
11/28/2023,"36.34","36.56","36.12","36.34","2,636,075"
11/27/2023,"35.93","36.50","35.91","36.42","3,529,419"
11/24/2023,"35.82","36.24","35.82","36.02","1,289,385"
11/22/2023,"35.95","35.98","35.73","35.87","2,403,450"
11/21/2023,"35.76","35.83","35.55","35.70","2,688,475"
