Date,Open,High,Low,Close,Volume
02/16/2024,"239.81","243.98","238.27","240.76","1,582,401"
02/15/2024,"238.88","242.30","238.48","239.96","1,226,364"
02/14/2024,"239.01","239.55","236.93","238.61","1,599,887"
02/13/2024,"243.47","245.22","237.36","239.07","1,908,562"
02/12/2024,"243.36","246.00","241.31","243.37","1,453,397"
02/09/2024,"240.96","244.05","240.32","243.75","2,095,532"
02/08/2024,"238.47","243.69","238.47","240.71","1,643,615"
02/07/2024,"239.04","242.34","238.80","239.48","1,612,547"
02/06/2024,"235.46","240.69","235.13","238.68","1,671,165"
02/05/2024,"236.98","238.59","234.74","235.07","1,688,102"
02/02/2024,"244.67","246.30","236.71","237.19","1,724,345"
02/01/2024,"237.50","242.35","233.14","242.35","3,146,506"
01/31/2024,"237.96","241.15","236.80","238.81","2,355,785"
01/30/2024,"238.50","238.94","236.11","236.21","1,485,734"
01/29/2024,"236.32","237.98","235.81","237.85","1,084,042"
01/26/2024,"237.80","238.76","235.47","236.65","892,235"
01/25/2024,"235.70","236.75","233.86","236.57","841,044"
01/24/2024,"237.97","239.21","234.51","234.57","1,317,917"
01/23/2024,"236.18","238.33","235.90","238.30","1,219,230"
01/22/2024,"237.00","239.12","235.46","235.89","909,712"
01/19/2024,"235.22","236.12","233.38","235.89","1,255,513"
01/18/2024,"234.18","236.33","233.28","235.00","1,210,792"
01/17/2024,"233.87","236.78","233.00","234.30","1,018,004"
01/16/2024,"235.06","237.58","232.74","235.00","1,586,014"
01/12/2024,"236.54","238.06","234.97","236.27","1,363,341"
01/11/2024,"238.22","238.90","234.28","235.01","1,887,828"
01/10/2024,"237.98","239.72","232.70","238.41","2,204,977"
01/09/2024,"247.18","249.89","237.53","237.84","2,693,789"
01/08/2024,"242.69","248.65","242.24","247.73","1,610,701"
01/05/2024,"241.82","243.87","241.03","242.09","989,807"
01/04/2024,"240.75","243.44","240.51","242.91","1,302,308"
01/03/2024,"245.82","246.27","240.10","240.47","1,842,137"
01/02/2024,"243.22","248.85","240.05","245.42","1,952,178"
12/29/2023,"242.71","244.13","242.37","243.83","851,869"
12/28/2023,"242.97","244.09","242.64","243.03","1,119,914"
12/27/2023,"242.56","243.27","241.57","242.50","1,496,257"
12/26/2023,"243.00","244.48","242.52","243.30","2,093,708"
12/22/2023,"244.12","245.37","242.56","243.00","1,974,939"
12/21/2023,"240.68","243.89","240.17","243.13","1,444,884"
12/20/2023,"240.25","242.53","238.01","239.82","1,518,991"
12/19/2023,"237.61","240.96","237.61","240.62","1,701,421"
12/18/2023,"238.32","240.35","237.08","237.72","1,709,812"
12/15/2023,"234.22","237.64","233.93","237.01","2,943,155"
12/14/2023,"242.18","243.35","238.19","238.51","2,240,812"
12/13/2023,"236.45","240.52","235.56","240.47","1,623,892"
12/12/2023,"232.91","236.91","231.57","236.67","1,774,958"
12/11/2023,"232.46","234.59","232.34","233.39","1,681,068"
12/08/2023,"234.60","234.60","232.14","232.30","1,648,293"
12/07/2023,"233.24","233.87","232.00","233.54","2,230,102"
12/06/2023,"233.74","234.90","232.26","233.45","1,730,802"
12/05/2023,"237.19","237.19","233.48","233.60","2,431,256"
12/04/2023,"237.32","238.56","237.10","237.57","1,574,436"
12/01/2023,"236.07","238.50","235.34","238.25","1,512,416"
11/30/2023,"236.28","237.00","234.80","236.18","3,275,869"
11/29/2023,"237.10","238.83","235.63","235.69","2,722,747"
11/28/2023,"238.72","239.95","237.19","237.28","1,475,259"
11/27/2023,"238.66","240.40","237.41","238.86","1,746,312"
11/24/2023,"236.65","238.90","236.41","238.89","780,792"
11/22/2023,"237.37","238.05","235.74","236.80","1,929,714"
11/21/2023,"235.52","237.18","234.76","236.16","1,599,261"
