Date,Open,High,Low,Close,Volume
02/16/2024,"27.07","27.40","26.92","27.27","2,635,660"
02/15/2024,"26.99","27.44","26.92","27.37","2,825,732"
02/14/2024,"26.66","26.89","26.45","26.77","3,265,541"
02/13/2024,"27.30","27.33","26.07","26.31","5,787,259"
02/12/2024,"27.11","28.51","27.10","28.11","4,671,416"
02/09/2024,"26.87","27.13","26.58","27.10","2,687,752"
02/08/2024,"26.77","26.93","26.48","26.83","2,301,399"
02/07/2024,"26.68","26.91","26.22","26.72","2,646,083"
02/06/2024,"26.25","26.63","26.25","26.63","2,423,532"
02/05/2024,"26.57","26.61","26.20","26.33","3,257,753"
02/02/2024,"26.64","27.11","26.49","26.91","2,737,755"
02/01/2024,"26.75","27.05","26.24","27.05","3,641,709"
01/31/2024,"26.91","27.33","26.60","26.63","5,663,437"
01/30/2024,"27.26","27.37","26.93","27.13","4,879,738"
01/29/2024,"28.12","28.13","26.80","27.51","9,094,355"
01/26/2024,"27.52","27.63","27.34","27.59","5,037,155"
01/25/2024,"27.13","27.50","26.89","27.48","4,183,084"
01/24/2024,"27.58","27.58","26.87","26.88","4,063,208"
01/23/2024,"28.42","28.43","27.20","27.25","5,172,274"
01/22/2024,"28.09","28.45","28.00","28.33","3,644,356"
01/19/2024,"27.60","27.94","27.27","27.93","3,397,385"
01/18/2024,"27.56","27.56","26.96","27.46","2,407,479"
01/17/2024,"27.35","27.73","27.19","27.37","2,914,358"
01/16/2024,"28.11","28.11","27.61","27.84","3,981,245"
01/12/2024,"28.94","29.13","28.25","28.40","3,449,714"
01/11/2024,"28.81","29.05","28.45","28.80","5,964,761"
01/10/2024,"29.20","29.40","28.97","29.08","3,491,458"
01/09/2024,"29.10","29.41","29.04","29.12","3,211,222"
01/08/2024,"28.98","29.33","28.69","29.33","2,775,322"
01/05/2024,"28.27","29.09","28.20","28.88","3,082,964"
01/04/2024,"28.26","28.79","28.20","28.47","2,725,463"
01/03/2024,"29.00","29.00","28.26","28.27","3,577,938"
01/02/2024,"29.21","29.41","29.00","29.29","3,657,680"
12/29/2023,"29.92","30.10","29.68","29.79","2,031,935"
12/28/2023,"30.03","30.21","29.98","30.06","1,407,035"
12/27/2023,"30.17","30.32","29.91","30.18","1,454,547"
12/26/2023,"29.74","30.09","29.60","30.08","1,791,872"
12/22/2023,"29.65","29.99","29.58","29.70","1,877,612"
12/21/2023,"29.49","29.60","29.15","29.55","2,709,970"
12/20/2023,"29.55","29.95","29.21","29.22","2,865,511"
12/19/2023,"29.29","29.83","29.26","29.72","2,839,335"
12/18/2023,"29.42","29.51","29.09","29.22","3,809,722"
12/15/2023,"29.21","29.74","29.09","29.39","7,366,796"
12/14/2023,"28.32","29.64","28.16","29.37","6,193,221"
12/13/2023,"26.74","27.87","26.45","27.63","5,930,656"
12/12/2023,"25.56","26.58","25.51","26.54","4,097,309"
12/11/2023,"25.44","25.69","25.35","25.49","2,290,416"
12/08/2023,"25.61","25.80","25.46","25.57","2,294,435"
12/07/2023,"25.48","25.76","25.33","25.68","1,951,948"
12/06/2023,"25.44","25.90","25.44","25.47","2,277,004"
12/05/2023,"25.45","25.50","25.19","25.30","2,448,255"
12/04/2023,"25.41","25.89","25.38","25.67","2,415,103"
12/01/2023,"24.67","25.64","24.65","25.63","3,176,933"
11/30/2023,"24.72","25.03","24.58","24.80","3,461,759"
11/29/2023,"24.20","24.71","24.09","24.59","4,454,369"
11/28/2023,"23.71","24.00","23.53","23.97","3,435,260"
11/27/2023,"23.64","23.75","23.29","23.71","3,382,091"
11/24/2023,"23.92","23.98","23.76","23.82","1,518,494"
11/22/2023,"23.89","23.96","23.70","23.88","2,081,484"
11/21/2023,"24.10","24.10","23.66","23.68","1,769,275"
