Date,Open,High,Low,Close,Volume
02/21/2024,"58.66","59.09","58.18","58.57","920,369"
02/20/2024,"57.82","58.84","57.61","58.51","1,152,662"
02/16/2024,"57.86","58.39","57.59","57.87","1,181,100"
02/15/2024,"57.76","58.28","57.43","58.01","771,664"
02/14/2024,"56.69","57.39","56.39","57.35","861,929"
02/13/2024,"57.00","57.43","56.22","56.69","1,191,611"
02/12/2024,"56.66","57.97","56.65","57.78","929,079"
02/09/2024,"56.85","56.90","56.32","56.57","870,317"
02/08/2024,"57.05","57.46","56.60","56.93","1,111,713"
02/07/2024,"57.13","57.25","56.50","57.13","1,206,304"
02/06/2024,"56.35","57.08","56.19","56.91","1,343,344"
02/05/2024,"56.64","56.64","55.55","56.43","2,893,427"
02/02/2024,"56.65","57.10","56.05","56.80","1,067,367"
02/01/2024,"54.89","57.18","54.71","57.03","1,783,562"
01/31/2024,"56.12","56.27","54.50","54.90","3,067,171"
01/30/2024,"56.08","56.63","55.77","56.11","1,708,326"
01/29/2024,"56.00","56.69","54.91","56.48","1,467,599"
01/26/2024,"57.55","57.64","56.57","56.69","2,077,959"
01/25/2024,"54.93","55.71","54.59","55.71","1,844,954"
01/24/2024,"55.22","55.42","54.53","54.56","2,314,927"
01/23/2024,"54.25","55.25","54.11","55.04","1,277,925"
01/22/2024,"54.54","54.81","53.81","53.99","1,216,787"
01/19/2024,"54.62","54.92","53.81","54.60","1,393,105"
01/18/2024,"53.93","54.60","53.68","54.54","1,286,551"
01/17/2024,"54.15","54.39","53.66","54.03","1,530,943"
01/16/2024,"55.48","55.55","54.11","54.56","1,511,892"
01/12/2024,"55.81","56.22","55.41","55.78","1,296,164"
01/11/2024,"55.41","55.59","54.34","55.51","1,656,724"
01/10/2024,"55.56","55.84","55.01","55.59","1,269,633"
01/09/2024,"55.09","55.56","54.75","55.56","1,272,559"
01/08/2024,"55.38","55.69","55.07","55.69","1,278,714"
01/05/2024,"55.52","55.95","54.64","55.09","1,123,565"
01/04/2024,"55.99","56.34","55.72","55.84","1,166,094"
01/03/2024,"56.52","56.68","55.32","55.77","1,482,641"
01/02/2024,"56.94","57.66","56.57","56.85","1,579,301"
12/29/2023,"57.20","57.54","56.96","57.10","1,091,680"
12/28/2023,"57.10","57.68","57.06","57.35","2,591,424"
12/27/2023,"57.61","57.73","57.00","57.29","1,713,395"
12/26/2023,"57.63","57.84","57.19","57.69","1,001,124"
12/22/2023,"57.75","58.08","57.12","57.73","1,069,120"
12/21/2023,"57.47","57.95","56.71","57.54","1,254,398"
12/20/2023,"59.24","59.24","56.79","57.00","1,702,270"
12/19/2023,"58.47","59.15","58.19","59.09","1,578,450"
12/18/2023,"57.73","58.53","57.36","58.18","1,798,376"
12/15/2023,"57.17","58.31","57.17","57.33","3,418,926"
12/14/2023,"57.32","58.67","57.25","58.42","1,998,394"
12/13/2023,"56.62","57.11","55.35","57.11","2,715,998"
12/12/2023,"56.54","57.14","56.00","56.94","1,485,957"
12/11/2023,"54.95","56.44","54.88","56.44","1,562,314"
12/08/2023,"54.29","55.37","54.21","55.08","1,511,640"
12/07/2023,"54.13","55.12","53.96","54.52","2,513,557"
12/06/2023,"56.77","57.00","53.26","53.98","4,763,529"
12/05/2023,"60.36","60.80","60.10","60.23","1,603,984"
12/04/2023,"59.58","60.65","59.30","60.38","1,426,437"
12/01/2023,"58.63","59.95","58.55","59.94","1,731,120"
11/30/2023,"58.07","58.76","57.82","58.74","2,724,991"
11/29/2023,"59.12","59.55","58.12","58.23","1,116,533"
11/28/2023,"59.23","59.77","59.07","59.26","1,206,566"
11/27/2023,"59.24","59.37","58.92","59.12","1,279,609"
11/24/2023,"59.16","59.89","59.16","59.75","585,678"
