Date,Open,High,Low,Close,Volume
02/22/2024,"341.27","342.00","336.08","338.47","390,382"
02/21/2024,"341.86","350.33","335.15","338.64","571,119"
02/20/2024,"337.30","346.11","337.30","343.76","296,819"
02/16/2024,"350.00","364.24","335.71","340.52","518,564"
02/15/2024,"326.75","334.85","326.75","328.73","230,836"
02/14/2024,"317.84","328.13","315.89","327.91","174,035"
02/13/2024,"322.00","323.20","312.18","316.10","200,525"
02/12/2024,"325.92","328.79","324.56","326.31","155,215"
02/09/2024,"326.11","327.49","322.62","325.22","116,135"
02/08/2024,"322.74","328.52","322.74","326.11","131,864"
02/07/2024,"327.74","328.39","321.62","325.16","180,091"
02/06/2024,"319.80","325.73","319.31","325.01","184,652"
02/05/2024,"319.00","322.02","316.22","318.72","102,129"
02/02/2024,"325.60","327.17","318.43","320.43","172,086"
02/01/2024,"320.36","329.41","320.36","328.96","145,539"
01/31/2024,"334.68","334.68","320.89","320.89","186,317"
01/30/2024,"330.44","334.59","329.05","332.41","155,019"
01/29/2024,"327.69","331.94","326.34","330.04","230,817"
01/26/2024,"333.51","338.19","327.66","329.05","358,645"
01/25/2024,"321.34","324.60","316.01","316.30","312,280"
01/24/2024,"316.31","318.61","314.37","316.56","210,311"
01/23/2024,"316.44","316.76","311.08","315.25","150,780"
01/22/2024,"307.71","315.05","307.71","312.84","147,761"
01/19/2024,"304.55","307.59","302.65","306.62","280,990"
01/18/2024,"304.46","308.26","303.22","304.11","306,986"
01/17/2024,"311.60","319.16","303.21","304.12","134,035"
01/16/2024,"316.08","317.30","312.37","315.22","171,600"
01/12/2024,"323.11","325.42","316.30","318.56","150,192"
01/11/2024,"318.81","323.61","316.91","320.83","183,221"
01/10/2024,"316.68","321.03","313.03","320.76","158,795"
01/09/2024,"319.57","329.72","316.99","317.77","207,089"
01/08/2024,"316.61","323.22","315.78","321.98","119,086"
01/05/2024,"314.23","319.97","314.23","316.38","157,091"
01/04/2024,"318.34","321.53","313.61","316.48","121,931"
01/03/2024,"326.53","326.53","317.31","318.86","137,500"
01/02/2024,"320.73","331.37","320.05","327.99","205,545"
12/29/2023,"323.20","326.12","322.46","322.89","119,023"
12/28/2023,"322.40","326.60","322.40","324.62","124,449"
12/27/2023,"320.43","322.15","317.21","322.15","115,011"
12/26/2023,"321.00","322.38","318.22","320.94","114,087"
12/22/2023,"319.57","324.62","319.57","320.74","180,380"
12/21/2023,"309.02","319.58","308.72","319.57","264,081"
12/20/2023,"314.65","316.87","307.22","308.31","348,076"
12/19/2023,"310.49","315.61","307.62","315.17","472,882"
12/18/2023,"309.48","310.25","305.67","307.94","292,459"
12/15/2023,"312.88","312.88","304.32","306.12","525,817"
12/14/2023,"316.35","324.36","311.19","311.99","548,437"
12/13/2023,"294.36","314.26","293.02","314.26","364,033"
12/12/2023,"303.84","303.84","294.36","294.76","377,289"
12/11/2023,"305.16","306.25","302.31","304.05","349,669"
12/08/2023,"308.20","310.93","303.16","304.13","218,355"
12/07/2023,"312.14","312.14","306.91","310.18","172,353"
12/06/2023,"307.74","314.73","304.96","310.73","293,713"
12/05/2023,"307.42","307.42","303.29","305.78","224,607"
12/04/2023,"305.03","310.55","302.66","308.93","437,498"
12/01/2023,"305.00","308.27","300.98","307.00","249,303"
11/30/2023,"304.10","306.13","300.31","304.92","213,503"
11/29/2023,"305.18","308.88","304.09","304.49","293,540"
11/28/2023,"307.23","308.38","303.26","304.40","149,343"
11/27/2023,"308.98","309.14","305.68","307.14","408,380"
11/24/2023,"308.73","312.58","307.96","311.19","65,002"
