Date,Open,High,Low,Close,Volume
02/20/2024,"54.04","55.19","54.03","54.87","4,865,826"
02/16/2024,"55.21","55.69","54.78","55.15","3,057,636"
02/15/2024,"54.79","55.42","54.72","55.29","3,641,505"
02/14/2024,"54.39","54.61","54.19","54.48","3,624,510"
02/13/2024,"55.01","55.14","53.40","53.89","3,888,798"
02/12/2024,"55.12","56.05","55.04","55.62","4,404,297"
02/09/2024,"55.01","55.36","54.83","55.22","2,625,835"
02/08/2024,"55.07","55.40","54.67","55.11","2,901,344"
02/07/2024,"55.13","55.45","54.66","55.27","3,391,026"
02/06/2024,"54.90","55.33","54.89","55.06","3,844,197"
02/05/2024,"55.27","55.37","54.78","55.01","4,354,413"
02/02/2024,"55.49","56.13","55.43","55.63","4,148,492"
02/01/2024,"55.50","55.83","54.68","55.50","3,594,584"
01/31/2024,"55.88","56.43","55.45","55.46","3,993,397"
01/30/2024,"56.16","56.25","55.72","56.04","3,817,194"
01/29/2024,"55.16","55.94","55.14","55.90","5,418,945"
01/26/2024,"55.46","55.83","55.13","55.33","3,115,547"
01/25/2024,"55.14","55.56","54.86","55.34","5,024,665"
01/24/2024,"54.95","55.31","54.73","54.91","3,884,470"
01/23/2024,"54.60","55.01","54.50","54.81","3,234,703"
01/22/2024,"55.11","55.56","54.74","54.83","5,682,789"
01/19/2024,"54.53","55.19","54.28","55.04","7,174,034"
01/18/2024,"54.85","54.98","53.99","54.64","3,682,297"
01/17/2024,"54.84","55.32","54.62","54.86","5,553,127"
01/16/2024,"55.00","55.47","54.58","55.39","7,344,519"
01/12/2024,"55.00","55.28","54.06","54.85","8,419,410"
01/11/2024,"52.49","52.81","52.21","52.73","6,656,151"
01/10/2024,"52.78","52.93","52.42","52.73","4,502,618"
01/09/2024,"52.52","53.18","52.35","52.95","4,932,476"
01/08/2024,"52.40","52.78","52.09","52.70","3,496,273"
01/05/2024,"51.86","52.76","51.86","52.39","2,778,836"
01/04/2024,"51.98","52.54","51.87","52.01","3,868,353"
01/03/2024,"52.44","52.50","51.79","51.80","3,172,976"
01/02/2024,"52.00","52.58","51.94","52.38","2,778,572"
12/29/2023,"52.20","52.30","51.88","52.05","1,853,115"
12/28/2023,"52.01","52.32","52.01","52.22","1,783,270"
12/27/2023,"51.94","52.14","51.66","52.07","1,651,330"
12/26/2023,"51.44","51.98","51.35","51.97","1,497,693"
12/22/2023,"51.59","51.88","51.33","51.47","2,484,629"
12/21/2023,"51.05","51.48","50.90","51.40","3,020,275"
12/20/2023,"51.51","51.93","50.87","50.90","3,440,861"
12/19/2023,"51.41","51.79","51.12","51.71","3,933,760"
12/18/2023,"52.05","52.08","51.32","51.43","4,751,151"
12/15/2023,"51.29","51.74","51.10","51.63","8,085,685"
12/14/2023,"51.48","51.99","51.32","51.62","7,383,102"
12/13/2023,"49.95","50.96","49.73","50.95","5,107,413"
12/12/2023,"49.54","50.14","49.48","49.91","3,382,391"
12/11/2023,"49.15","49.74","49.15","49.55","4,174,407"
12/08/2023,"48.50","49.24","48.34","49.06","3,668,815"
12/07/2023,"47.79","48.44","47.60","48.43","4,773,142"
12/06/2023,"48.69","49.34","47.48","47.52","6,061,497"
12/05/2023,"48.58","48.73","48.07","48.43","2,862,048"
12/04/2023,"48.30","48.97","48.14","48.68","3,668,388"
12/01/2023,"48.23","48.98","48.05","48.71","3,274,184"
11/30/2023,"47.72","48.37","47.44","48.32","6,043,952"
11/29/2023,"47.27","47.88","47.23","47.55","2,818,583"
11/28/2023,"47.02","47.40","46.81","47.10","3,977,159"
11/27/2023,"47.12","47.22","46.81","47.00","4,074,532"
11/24/2023,"47.25","47.47","47.04","47.35","1,552,192"
11/22/2023,"47.01","47.31","46.71","47.22","2,850,943"
