Date,Open,High,Low,Close,Volume
02/21/2024,"29.13","29.40","29.00","29.34","10,578,220"
02/20/2024,"28.86","29.09","28.66","29.05","8,362,390"
02/16/2024,"29.20","29.32","28.94","29.15","7,398,691"
02/15/2024,"28.91","29.39","28.79","29.20","10,899,060"
02/14/2024,"29.20","29.22","28.63","28.85","8,118,986"
02/13/2024,"29.43","29.55","28.70","29.01","9,740,465"
02/12/2024,"28.98","29.60","28.95","29.50","9,720,445"
02/09/2024,"29.31","29.46","28.83","29.06","7,661,366"
02/08/2024,"28.99","29.46","28.91","29.32","9,029,122"
02/07/2024,"29.47","29.69","29.09","29.12","9,040,030"
02/06/2024,"28.86","29.62","28.79","29.39","13,403,820"
02/05/2024,"28.68","28.94","28.32","28.80","11,840,640"
02/02/2024,"28.70","29.14","28.58","28.99","12,945,970"
02/01/2024,"28.66","28.88","28.37","28.63","11,208,700"
01/31/2024,"29.43","29.49","28.43","28.50","10,664,410"
01/30/2024,"28.74","29.53","28.34","29.34","23,727,221"
01/29/2024,"30.22","30.32","29.83","30.00","11,490,280"
01/26/2024,"30.26","30.59","29.85","30.48","12,352,560"
01/25/2024,"30.46","30.60","29.71","30.30","21,034,721"
01/24/2024,"30.25","31.10","29.66","30.04","20,069,641"
01/23/2024,"30.76","31.66","30.76","31.53","14,531,560"
01/22/2024,"30.60","31.15","30.45","30.98","7,177,228"
01/19/2024,"30.99","31.01","30.58","30.70","9,750,351"
01/18/2024,"30.73","30.98","30.51","30.87","5,717,988"
01/17/2024,"30.31","30.92","30.14","30.79","7,311,279"
01/16/2024,"31.32","31.41","30.62","30.67","7,541,146"
01/12/2024,"31.69","31.78","30.87","31.52","12,546,220"
01/11/2024,"31.34","31.50","31.03","31.17","8,339,816"
01/10/2024,"31.64","31.64","30.96","31.23","8,471,189"
01/09/2024,"32.35","32.38","31.49","31.62","7,333,586"
01/08/2024,"32.70","32.77","31.91","32.44","8,993,451"
01/05/2024,"33.47","33.55","33.12","33.42","5,629,262"
01/04/2024,"34.12","34.20","33.19","33.25","7,345,246"
01/03/2024,"34.03","34.20","33.79","33.92","6,801,717"
01/02/2024,"34.43","34.65","33.74","33.93","4,721,073"
12/29/2023,"34.22","34.30","34.01","34.18","5,068,521"
12/28/2023,"34.36","34.43","34.10","34.20","2,928,023"
12/27/2023,"34.72","34.93","34.44","34.49","2,961,233"
12/26/2023,"34.53","34.88","34.45","34.78","2,872,950"
12/22/2023,"34.39","34.41","34.00","34.12","6,369,520"
12/21/2023,"34.03","34.12","33.72","34.04","5,286,480"
12/20/2023,"34.14","34.68","33.97","34.03","4,771,343"
12/19/2023,"34.24","34.43","33.90","34.07","6,660,572"
12/18/2023,"34.35","34.85","33.94","34.07","5,717,265"
12/15/2023,"33.48","33.60","32.90","33.58","19,893,150"
12/14/2023,"32.99","33.80","32.94","33.54","7,770,105"
12/13/2023,"32.34","32.79","32.13","32.60","7,659,900"
12/12/2023,"32.20","32.36","31.84","32.30","5,850,083"
12/11/2023,"32.48","32.96","32.45","32.51","6,024,071"
12/08/2023,"31.86","32.28","31.75","32.24","8,444,330"
12/07/2023,"32.17","32.25","31.42","31.73","8,725,786"
12/06/2023,"32.65","32.82","31.66","31.86","7,470,048"
12/05/2023,"33.66","33.68","32.69","32.80","5,627,435"
12/04/2023,"33.53","33.82","33.12","33.75","6,720,417"
12/01/2023,"33.67","34.41","33.46","33.79","5,960,950"
11/30/2023,"33.59","34.19","33.10","33.75","9,304,784"
11/29/2023,"33.88","33.97","33.14","33.34","5,604,449"
11/28/2023,"34.00","34.21","33.61","33.82","5,723,658"
11/27/2023,"33.85","34.05","33.49","33.97","4,431,386"
11/24/2023,"33.59","34.16","33.59","33.89","2,408,165"
