Date,Open,High,Low,Close,Volume
02/20/2024,"789.28","801.53","787.57","798.11","582,338"
02/16/2024,"795.09","798.00","791.13","794.00","393,776"
02/15/2024,"788.40","802.48","788.40","798.05","508,239"
02/14/2024,"785.10","788.28","779.16","785.40","420,967"
02/13/2024,"785.25","791.23","770.00","778.07","637,435"
02/12/2024,"798.33","808.49","797.64","801.76","499,402"
02/09/2024,"794.23","800.81","791.77","797.21","536,637"
02/08/2024,"794.06","798.94","787.50","793.20","545,532"
02/07/2024,"790.00","799.45","786.53","794.70","700,684"
02/06/2024,"784.93","788.00","778.76","787.98","666,342"
02/05/2024,"782.21","787.24","777.15","783.17","501,130"
02/02/2024,"780.65","792.34","777.26","788.00","509,886"
02/01/2024,"776.49","785.55","765.63","784.93","626,656"
01/31/2024,"779.47","785.41","772.35","774.31","730,828"
01/30/2024,"782.98","784.82","779.07","781.73","936,712"
01/29/2024,"787.31","792.48","781.14","788.70","622,286"
01/26/2024,"791.33","793.28","785.49","787.30","687,911"
01/25/2024,"790.92","794.90","787.49","790.46","723,803"
01/24/2024,"797.86","797.86","785.19","785.75","659,788"
01/23/2024,"793.27","795.59","788.48","792.56","718,291"
01/22/2024,"806.41","807.30","793.51","794.02","760,478"
01/19/2024,"797.75","808.83","794.05","805.44","681,544"
01/18/2024,"794.56","795.99","785.06","795.26","506,794"
01/17/2024,"774.37","787.93","768.35","787.43","617,255"
01/16/2024,"803.79","808.99","788.66","791.38","895,285"
01/12/2024,"785.00","802.34","782.76","799.60","880,587"
01/11/2024,"796.96","799.98","787.08","792.61","736,037"
01/10/2024,"794.89","799.05","787.87","792.36","511,033"
01/09/2024,"792.65","795.14","787.14","794.52","454,753"
01/08/2024,"784.43","798.01","782.91","797.19","513,311"
01/05/2024,"782.81","788.76","781.46","782.83","471,063"
01/04/2024,"783.26","792.49","782.73","785.95","580,186"
01/03/2024,"792.41","792.41","782.33","784.15","638,734"
01/02/2024,"804.15","808.14","795.43","800.30","660,044"
12/29/2023,"812.60","816.17","808.64","811.80","318,557"
12/28/2023,"809.88","817.62","809.88","814.41","311,470"
12/27/2023,"809.17","813.25","808.63","813.25","297,967"
12/26/2023,"803.44","809.10","803.44","806.61","280,569"
12/22/2023,"801.98","807.52","800.15","802.42","426,577"
12/21/2023,"795.00","799.37","791.66","799.10","341,139"
12/20/2023,"797.76","805.41","788.84","789.23","547,939"
12/19/2023,"801.07","814.42","798.95","801.38","756,497"
12/18/2023,"812.00","815.00","795.80","796.44","916,400"
12/15/2023,"791.90","819.00","789.47","819.00","2,702,962"
12/14/2023,"782.93","807.60","781.94","807.13","1,197,486"
12/13/2023,"759.00","777.19","754.81","773.43","600,130"
12/12/2023,"755.00","759.44","752.67","759.29","607,732"
12/11/2023,"745.80","755.23","744.32","752.41","781,291"
12/08/2023,"743.15","747.79","742.22","744.73","456,111"
12/07/2023,"745.44","749.89","742.60","745.44","784,364"
12/06/2023,"754.52","756.59","742.46","743.07","624,791"
12/05/2023,"755.62","755.62","748.18","754.30","860,677"
12/04/2023,"751.84","757.92","749.50","756.43","767,881"
12/01/2023,"750.00","761.38","748.66","756.35","746,714"
11/30/2023,"748.16","751.89","744.69","751.23","961,321"
11/29/2023,"742.28","751.27","742.28","747.30","750,055"
11/28/2023,"725.86","738.83","725.86","736.76","610,257"
11/27/2023,"727.20","732.05","724.54","730.68","868,110"
11/24/2023,"726.72","730.74","726.64","730.10","279,619"
11/22/2023,"727.00","730.28","725.98","727.14","498,141"
