Date,Open,High,Low,Close,Volume
02/20/2024,"49.89","50.45","49.67","49.86","13,778,750"
02/16/2024,"49.31","49.87","48.93","49.86","13,176,540"
02/15/2024,"49.01","50.28","48.83","49.44","13,425,810"
02/14/2024,"48.82","49.04","48.45","48.89","10,866,860"
02/13/2024,"49.66","49.90","48.31","48.71","15,828,110"
02/12/2024,"49.82","50.05","49.21","49.75","14,973,580"
02/09/2024,"48.70","49.83","48.49","49.81","15,413,410"
02/08/2024,"48.44","48.77","48.11","48.71","13,577,870"
02/07/2024,"49.19","49.36","48.02","48.64","17,973,119"
02/06/2024,"47.95","49.98","47.58","49.26","22,697,980"
02/05/2024,"48.52","48.56","47.68","47.98","15,535,580"
02/02/2024,"49.27","50.01","48.08","48.71","27,991,631"
02/01/2024,"48.85","48.85","48.13","48.67","20,416,270"
01/31/2024,"49.71","50.02","48.84","48.87","18,997,580"
01/30/2024,"50.05","50.18","49.25","49.39","11,605,550"
01/29/2024,"49.62","49.88","49.45","49.87","11,746,630"
01/26/2024,"49.96","50.20","49.65","49.70","10,855,480"
01/25/2024,"50.26","50.34","49.44","49.61","17,639,641"
01/24/2024,"50.20","50.62","50.07","50.24","11,838,310"
01/23/2024,"49.68","50.42","49.49","50.12","12,555,680"
01/22/2024,"50.26","50.32","49.50","49.57","13,818,610"
01/19/2024,"50.11","50.21","49.43","50.11","23,285,779"
01/18/2024,"49.62","50.17","48.63","50.09","18,463,801"
01/17/2024,"49.55","50.07","48.95","49.98","16,425,430"
01/16/2024,"50.30","50.59","49.82","50.00","13,824,730"
01/12/2024,"50.39","50.71","50.07","50.31","11,461,710"
01/11/2024,"50.65","50.74","50.01","50.22","16,567,910"
01/10/2024,"51.20","51.25","50.42","50.66","18,095,311"
01/09/2024,"52.05","52.10","51.23","51.28","13,385,140"
01/08/2024,"51.89","51.90","51.29","51.79","18,745,881"
01/05/2024,"51.91","52.57","51.65","52.23","12,272,240"
01/04/2024,"51.91","52.19","51.46","52.04","16,930,551"
01/03/2024,"52.70","52.90","51.47","52.30","15,662,630"
01/02/2024,"51.45","53.45","51.40","52.76","17,757,449"
12/29/2023,"51.13","51.49","50.99","51.31","11,305,820"
12/28/2023,"51.05","51.45","51.00","51.22","10,652,860"
12/27/2023,"51.41","51.50","50.74","51.21","13,218,980"
12/26/2023,"52.41","52.77","51.05","51.45","12,237,690"
12/22/2023,"50.86","53.48","50.86","52.29","19,998,061"
12/21/2023,"51.34","51.74","50.85","51.26","14,232,890"
12/20/2023,"52.03","52.24","50.93","50.96","14,179,850"
12/19/2023,"51.61","52.18","51.46","52.11","14,293,010"
12/18/2023,"51.15","51.49","50.93","51.34","14,361,070"
12/15/2023,"51.16","51.45","50.69","50.89","44,147,594"
12/14/2023,"52.46","52.54","51.00","51.47","20,212,600"
12/13/2023,"50.07","51.86","49.94","51.86","15,557,010"
12/12/2023,"50.80","50.94","49.80","50.51","14,215,540"
12/11/2023,"50.52","51.14","50.27","51.09","18,432,900"
12/08/2023,"50.26","50.54","50.09","50.31","10,123,070"
12/07/2023,"50.30","51.00","49.99","50.16","14,710,570"
12/06/2023,"50.32","50.43","49.78","49.88","13,839,800"
12/05/2023,"49.80","50.40","49.56","50.23","12,659,510"
12/04/2023,"49.96","50.76","49.77","49.98","14,238,570"
12/01/2023,"49.40","50.18","48.93","50.10","12,806,400"
11/30/2023,"48.78","49.40","48.25","49.38","17,044,330"
11/29/2023,"49.06","49.35","48.67","48.72","12,653,060"
11/28/2023,"49.05","49.32","48.82","48.92","11,372,790"
11/27/2023,"49.61","49.72","48.82","49.02","17,681,609"
11/24/2023,"49.75","49.91","49.47","49.76","5,085,728"
11/22/2023,"48.75","49.50","48.56","49.42","14,736,590"
