Date,Open,High,Low,Close,Volume
02/16/2024,"197.90","199.23","196.95","197.92","1,212,798"
02/15/2024,"196.70","198.60","196.50","198.30","721,488"
02/14/2024,"194.66","196.95","194.47","196.47","1,092,487"
02/13/2024,"195.58","195.75","192.60","193.56","530,887"
02/12/2024,"199.45","199.56","197.59","197.63","554,755"
02/09/2024,"199.03","199.86","198.50","198.98","622,480"
02/08/2024,"199.79","200.00","198.15","199.00","583,452"
02/07/2024,"199.24","200.12","197.23","198.25","863,243"
02/06/2024,"198.43","199.25","196.81","198.85","594,097"
02/05/2024,"200.82","201.04","196.09","198.23","840,478"
02/02/2024,"201.03","202.27","197.86","201.74","713,659"
02/01/2024,"202.92","203.34","191.87","201.63","1,168,969"
01/31/2024,"209.24","209.24","203.91","204.20","1,191,822"
01/30/2024,"208.00","210.24","208.00","208.96","1,146,077"
01/29/2024,"207.25","208.52","206.85","208.16","1,036,232"
01/26/2024,"208.02","209.61","207.53","207.88","690,421"
01/25/2024,"206.51","208.48","206.51","208.25","539,563"
01/24/2024,"206.56","207.78","205.48","206.07","443,589"
01/23/2024,"206.36","207.42","205.65","206.32","342,985"
01/22/2024,"205.31","206.89","205.31","206.38","367,400"
01/19/2024,"201.89","205.01","201.15","204.89","442,629"
01/18/2024,"202.08","203.18","200.30","201.23","450,110"
01/17/2024,"202.54","204.80","201.32","201.95","402,801"
01/16/2024,"200.78","202.79","200.04","202.16","422,615"
01/12/2024,"202.11","202.66","200.71","202.60","300,235"
01/11/2024,"202.42","202.51","200.03","201.21","426,748"
01/10/2024,"200.53","202.02","199.08","201.97","304,831"
01/09/2024,"198.82","200.28","198.20","200.00","370,670"
01/08/2024,"197.23","200.04","196.16","200.00","497,727"
01/05/2024,"196.78","198.28","195.90","196.35","515,245"
01/04/2024,"197.69","199.59","197.03","197.09","366,718"
01/03/2024,"199.52","199.74","197.10","197.12","399,760"
01/02/2024,"204.35","204.96","199.00","199.89","616,318"
12/29/2023,"205.81","206.79","204.87","205.75","441,139"
12/28/2023,"204.98","207.29","204.26","205.83","535,483"
12/27/2023,"202.19","204.51","201.87","204.27","537,555"
12/26/2023,"199.78","202.68","199.54","202.02","981,120"
12/22/2023,"197.47","200.17","196.85","199.67","568,834"
12/21/2023,"196.31","196.89","195.00","196.36","341,160"
12/20/2023,"196.50","198.48","196.14","196.36","462,894"
12/19/2023,"196.71","198.46","196.50","197.02","494,397"
12/18/2023,"195.00","196.78","194.45","196.71","660,372"
12/15/2023,"191.44","193.75","189.92","193.75","1,137,349"
12/14/2023,"193.21","193.75","192.13","193.64","634,996"
12/13/2023,"194.11","194.23","192.26","193.30","467,049"
12/12/2023,"191.79","194.38","191.02","193.84","471,363"
12/11/2023,"191.32","193.52","190.97","191.09","487,224"
12/08/2023,"192.30","192.44","189.04","191.36","532,357"
12/07/2023,"190.61","192.29","188.78","192.01","608,918"
12/06/2023,"194.46","195.61","191.10","191.39","1,181,451"
12/05/2023,"195.25","195.25","192.78","194.34","755,455"
12/04/2023,"194.19","196.52","193.40","195.12","659,962"
12/01/2023,"193.35","195.80","191.59","195.40","550,381"
11/30/2023,"191.05","193.97","190.10","193.82","1,351,286"
11/29/2023,"189.16","191.05","189.00","190.64","501,416"
11/28/2023,"187.27","189.79","186.19","188.57","475,509"
11/27/2023,"186.57","187.79","185.41","187.62","350,828"
11/24/2023,"186.97","187.96","185.30","186.59","162,713"
11/22/2023,"185.87","186.85","185.10","186.70","382,537"
11/21/2023,"184.10","186.80","183.60","185.25","416,482"
