Date,Open,High,Low,Close,Volume
02/20/2024,"406.47","411.11","406.06","407.15","3,534,163"
02/16/2024,"404.44","406.74","402.59","405.99","3,533,386"
02/15/2024,"399.14","404.27","398.30","403.45","3,076,698"
02/14/2024,"395.15","398.86","393.55","398.68","2,670,953"
02/13/2024,"397.18","399.71","392.10","394.80","3,459,672"
02/12/2024,"398.65","399.48","396.19","397.71","2,820,408"
02/09/2024,"397.31","398.36","395.82","398.36","2,510,146"
02/08/2024,"397.22","398.65","394.85","397.49","3,359,311"
02/07/2024,"394.60","399.15","394.36","397.66","3,429,024"
02/06/2024,"390.29","393.93","390.00","393.74","2,574,602"
02/05/2024,"389.95","393.37","389.29","390.76","3,653,265"
02/02/2024,"386.68","392.07","386.44","390.75","3,808,499"
02/01/2024,"384.00","386.55","381.48","386.44","2,949,959"
01/31/2024,"386.53","387.92","383.55","383.74","3,857,684"
01/30/2024,"383.24","387.64","380.08","387.15","3,094,226"
01/29/2024,"385.49","385.70","379.17","383.18","3,799,251"
01/26/2024,"381.05","385.73","380.00","385.40","3,624,361"
01/25/2024,"379.24","380.99","377.89","380.85","4,059,189"
01/24/2024,"372.53","377.79","372.03","376.59","4,594,038"
01/23/2024,"368.02","372.42","367.71","372.14","2,900,467"
01/22/2024,"368.05","369.27","366.53","368.06","3,558,313"
01/19/2024,"362.25","368.31","361.02","366.99","4,092,548"
01/18/2024,"359.25","362.64","358.30","362.38","3,008,442"
01/17/2024,"359.01","362.53","357.98","359.29","2,551,707"
01/16/2024,"362.94","363.60","359.89","361.10","3,047,780"
01/12/2024,"366.51","366.85","362.57","363.62","2,623,907"
01/11/2024,"367.81","367.89","362.13","363.34","3,579,713"
01/10/2024,"366.26","368.83","365.75","367.92","2,448,737"
01/09/2024,"368.00","368.00","364.77","366.90","2,999,607"
01/08/2024,"366.01","368.30","364.20","368.18","3,454,065"
01/05/2024,"364.83","366.30","364.19","365.59","2,965,666"
01/04/2024,"367.41","369.37","363.41","363.68","4,144,302"
01/03/2024,"362.08","367.85","361.07","366.75","4,322,822"
01/02/2024,"356.32","362.57","355.94","362.46","4,740,903"
12/29/2023,"357.56","357.86","355.31","356.66","3,270,014"
12/28/2023,"357.48","358.68","356.73","357.57","2,742,792"
12/27/2023,"355.93","357.08","355.50","356.95","2,478,787"
12/26/2023,"356.90","357.77","356.08","356.83","1,965,105"
12/22/2023,"356.50","358.26","355.41","356.47","2,333,775"
12/21/2023,"356.02","357.20","353.63","356.14","2,852,723"
12/20/2023,"361.52","361.66","355.12","355.35","3,930,397"
12/19/2023,"360.15","362.55","359.09","361.80","3,085,367"
12/18/2023,"357.42","361.14","357.00","359.65","4,527,792"
12/15/2023,"357.63","358.00","354.20","356.50","8,579,201"
12/14/2023,"364.05","364.05","356.38","358.12","5,516,384"
12/13/2023,"360.19","362.15","359.04","362.03","3,161,868"
12/12/2023,"357.90","360.41","356.76","360.02","3,193,023"
12/11/2023,"355.00","357.49","354.21","357.06","3,111,595"
12/08/2023,"353.00","353.67","351.02","353.08","3,289,270"
12/07/2023,"352.00","353.02","350.85","352.70","2,833,348"
12/06/2023,"356.15","357.45","351.89","352.38","3,040,448"
12/05/2023,"355.23","356.60","352.29","355.03","3,281,046"
12/04/2023,"355.91","357.83","353.79","356.66","3,054,245"
12/01/2023,"359.94","360.24","355.30","357.07","4,706,958"
11/30/2023,"359.45","360.43","358.42","360.00","4,607,404"
11/29/2023,"360.95","361.52","358.30","358.69","3,141,450"
11/28/2023,"361.55","362.12","359.21","360.05","2,958,540"
11/27/2023,"362.64","362.64","359.58","361.34","2,583,674"
11/24/2023,"362.51","363.19","361.24","362.68","1,281,978"
11/22/2023,"361.76","362.46","360.05","361.80","2,110,602"
