Date,Open,High,Low,Close,Volume
02/16/2024,"27.07","27.31","26.88","27.21","3,746,428"
02/15/2024,"26.80","27.27","26.80","27.17","3,777,909"
02/14/2024,"27.17","27.27","26.62","26.73","4,628,884"
02/13/2024,"27.76","27.94","27.00","27.29","3,780,571"
02/12/2024,"27.35","27.85","27.27","27.78","3,015,290"
02/09/2024,"27.98","27.99","27.08","27.40","6,069,943"
02/08/2024,"28.31","28.45","28.00","28.10","4,042,149"
02/07/2024,"28.74","28.79","28.23","28.36","3,819,184"
02/06/2024,"28.49","28.90","28.35","28.62","4,871,882"
02/05/2024,"29.35","29.38","28.54","28.56","4,476,437"
02/02/2024,"29.66","29.89","29.18","29.46","3,680,659"
02/01/2024,"29.02","29.69","28.87","29.65","3,648,985"
01/31/2024,"29.45","29.61","29.07","29.15","4,882,620"
01/30/2024,"29.15","29.45","28.98","29.44","5,497,254"
01/29/2024,"29.35","29.37","29.16","29.20","4,427,410"
01/26/2024,"29.82","29.88","29.50","29.62","10,474,380"
01/25/2024,"29.59","29.83","29.28","29.68","4,154,869"
01/24/2024,"29.38","29.64","29.23","29.41","5,364,139"
01/23/2024,"28.90","29.52","28.85","29.41","4,271,778"
01/22/2024,"28.50","28.82","28.33","28.73","5,679,863"
01/19/2024,"28.73","28.85","28.30","28.62","4,688,745"
01/18/2024,"28.71","28.85","28.51","28.71","3,485,082"
01/17/2024,"28.45","29.15","28.41","28.91","4,230,371"
01/16/2024,"28.98","29.08","28.49","28.58","6,872,166"
01/12/2024,"28.89","29.05","28.80","28.95","3,860,220"
01/11/2024,"29.17","29.21","28.72","28.75","6,039,674"
01/10/2024,"29.16","29.35","28.82","29.23","6,638,344"
01/09/2024,"28.64","29.34","28.49","29.32","8,157,882"
01/08/2024,"28.18","28.78","28.09","28.73","7,019,569"
01/05/2024,"28.61","28.72","28.06","28.21","9,344,425"
01/04/2024,"29.81","29.83","28.19","28.72","11,177,730"
01/03/2024,"29.61","29.85","29.25","29.28","6,529,923"
01/02/2024,"28.59","29.68","28.59","29.53","5,716,413"
12/29/2023,"28.53","28.78","28.47","28.66","3,823,147"
12/28/2023,"28.39","28.64","28.37","28.57","3,741,967"
12/27/2023,"28.50","28.53","28.28","28.45","3,821,039"
12/26/2023,"28.54","28.68","28.41","28.55","3,111,253"
12/22/2023,"28.58","28.86","28.46","28.66","3,015,801"
12/21/2023,"28.45","28.54","28.19","28.47","3,671,230"
12/20/2023,"29.00","29.00","28.32","28.36","5,739,441"
12/19/2023,"29.51","29.64","29.26","29.40","4,806,425"
12/18/2023,"29.44","29.67","29.21","29.49","3,664,497"
12/15/2023,"29.80","29.88","29.24","29.33","6,790,272"
12/14/2023,"30.56","30.69","29.85","29.92","7,334,245"
12/13/2023,"29.62","30.54","29.57","30.44","6,183,231"
12/12/2023,"29.49","29.68","29.24","29.61","3,152,285"
12/11/2023,"29.23","29.62","29.14","29.46","3,717,539"
12/08/2023,"29.81","29.89","29.46","29.52","3,289,595"
12/07/2023,"29.49","29.95","29.22","29.79","4,464,736"
12/06/2023,"28.90","29.49","28.84","29.40","3,925,635"
12/05/2023,"29.04","29.06","28.75","28.76","3,040,248"
12/04/2023,"28.30","29.07","28.30","28.96","3,760,804"
12/01/2023,"28.32","28.39","28.11","28.36","3,886,128"
11/30/2023,"28.06","28.33","27.87","28.29","5,176,467"
11/29/2023,"28.11","28.22","27.96","28.02","3,138,665"
11/28/2023,"28.18","28.32","28.08","28.22","2,934,573"
11/27/2023,"28.46","28.55","28.13","28.19","3,243,233"
11/24/2023,"28.38","28.56","28.29","28.49","1,286,528"
11/22/2023,"28.36","28.47","28.17","28.33","3,232,407"
11/21/2023,"28.11","28.35","27.96","28.20","2,673,028"
