Date,Open,High,Low,Close,Volume
02/21/2024,"105.92","106.03","104.73","105.58","1,626,770"
02/20/2024,"104.45","105.96","104.45","105.37","1,873,468"
02/16/2024,"104.99","105.60","104.36","104.45","2,341,282"
02/15/2024,"103.86","105.12","103.74","104.94","1,509,223"
02/14/2024,"104.68","104.78","103.20","103.55","1,471,058"
02/13/2024,"104.36","104.91","103.18","104.36","1,854,265"
02/12/2024,"104.67","104.70","102.39","103.62","2,387,963"
02/09/2024,"103.52","105.42","103.24","104.95","2,614,596"
02/08/2024,"105.35","105.89","101.27","102.73","2,454,447"
02/07/2024,"104.31","106.21","104.20","105.67","2,054,780"
02/06/2024,"104.46","104.95","103.55","104.07","2,267,429"
02/05/2024,"104.89","105.26","102.25","103.63","2,524,392"
02/02/2024,"105.80","106.64","103.02","103.46","3,845,055"
02/01/2024,"104.00","105.17","101.77","105.10","4,648,518"
01/31/2024,"109.00","111.40","107.65","109.19","5,675,134"
01/30/2024,"106.33","107.11","105.16","107.06","2,135,583"
01/29/2024,"105.72","106.73","105.41","106.28","2,082,263"
01/26/2024,"106.18","106.38","104.98","105.70","1,897,508"
01/25/2024,"104.93","105.83","103.95","105.71","2,101,939"
01/24/2024,"104.74","105.43","104.15","104.36","1,758,284"
01/23/2024,"104.54","104.88","103.76","104.54","1,066,259"
01/22/2024,"105.65","106.36","105.26","105.34","1,544,869"
01/19/2024,"106.68","107.27","105.18","105.48","1,646,655"
01/18/2024,"104.78","106.43","104.03","106.39","1,279,634"
01/17/2024,"106.76","108.39","105.02","105.46","1,653,595"
01/16/2024,"106.11","106.76","105.32","106.38","1,848,207"
01/12/2024,"105.72","106.06","104.85","105.79","2,033,232"
01/11/2024,"104.42","105.90","104.35","105.73","2,298,011"
01/10/2024,"104.24","105.30","103.40","104.19","2,243,577"
01/09/2024,"103.00","103.54","100.36","103.37","3,096,898"
01/08/2024,"106.25","106.25","104.33","105.17","1,529,120"
01/05/2024,"106.37","106.43","105.10","105.72","1,636,602"
01/04/2024,"103.90","106.24","103.81","105.56","2,573,289"
01/03/2024,"103.40","104.87","102.93","104.73","2,393,044"
01/02/2024,"100.68","102.88","100.57","102.62","1,704,472"
12/29/2023,"100.38","101.24","100.16","100.80","1,508,919"
12/28/2023,"101.07","101.43","100.03","100.28","1,644,221"
12/27/2023,"100.88","101.14","100.26","100.96","1,538,172"
12/26/2023,"101.10","101.52","100.30","101.14","1,339,128"
12/22/2023,"101.56","101.99","100.71","101.33","1,115,854"
12/21/2023,"99.77","101.48","99.60","101.24","1,578,432"
12/20/2023,"101.17","101.17","99.03","99.12","2,344,574"
12/19/2023,"101.44","101.71","100.77","101.15","2,178,069"
12/18/2023,"101.63","102.30","100.51","101.12","2,301,683"
12/15/2023,"102.05","102.22","98.34","100.49","7,262,084"
12/14/2023,"104.00","104.21","100.56","102.69","5,262,173"
12/13/2023,"107.80","108.85","107.34","108.05","2,294,147"
12/12/2023,"107.27","108.41","106.73","107.93","1,519,068"
12/11/2023,"107.28","107.71","106.51","106.97","1,372,568"
12/08/2023,"106.69","107.03","105.67","106.83","1,245,028"
12/07/2023,"106.10","106.40","105.22","106.38","1,749,810"
12/06/2023,"106.94","106.94","104.91","105.87","1,460,493"
12/05/2023,"107.32","108.03","106.79","107.14","1,601,165"
12/04/2023,"106.69","107.56","106.50","107.46","1,774,960"
12/01/2023,"107.01","107.86","106.97","107.16","1,617,460"
11/30/2023,"105.01","107.16","104.85","107.08","2,944,390"
11/29/2023,"105.99","106.10","104.93","105.30","1,463,740"
11/28/2023,"106.75","107.15","105.97","106.16","1,034,841"
11/27/2023,"106.27","106.90","106.10","106.65","1,512,543"
11/24/2023,"105.85","106.42","105.70","106.27","531,464"
