Date,Open,High,Low,Close,Volume
02/16/2024,"55.58","55.79","53.89","54.00","4,416,134"
02/15/2024,"55.33","56.09","55.05","56.05","2,461,473"
02/14/2024,"54.51","55.11","54.10","55.00","2,718,321"
02/13/2024,"54.41","54.73","53.29","53.97","5,188,743"
02/12/2024,"55.72","56.42","55.25","56.04","4,302,288"
02/09/2024,"54.61","56.02","54.61","56.01","5,578,656"
02/08/2024,"54.06","55.10","53.49","55.06","5,429,468"
02/07/2024,"54.90","55.32","53.23","53.83","8,359,039"
02/06/2024,"54.86","56.03","54.25","54.31","8,850,683"
02/05/2024,"56.14","57.50","55.98","56.26","7,718,641"
02/02/2024,"55.13","56.98","54.76","56.78","4,190,822"
02/01/2024,"55.32","55.81","54.56","55.59","5,211,625"
01/31/2024,"56.04","56.34","54.65","54.71","4,194,186"
01/30/2024,"55.90","56.52","55.41","56.33","4,502,320"
01/29/2024,"55.59","56.32","55.20","56.31","3,455,342"
01/26/2024,"56.39","56.47","55.29","55.51","4,136,832"
01/25/2024,"55.63","56.36","55.56","56.31","3,052,974"
01/24/2024,"56.28","56.32","54.93","54.97","2,718,129"
01/23/2024,"56.49","56.64","55.57","55.91","2,873,592"
01/22/2024,"56.16","56.75","55.94","56.32","3,123,932"
01/19/2024,"55.34","56.06","54.71","55.88","4,860,868"
01/18/2024,"55.37","55.87","54.91","55.40","2,422,797"
01/17/2024,"55.42","55.79","54.97","55.06","4,077,444"
01/16/2024,"55.55","56.05","55.16","55.85","2,844,158"
01/12/2024,"57.14","57.36","55.95","56.14","2,890,686"
01/11/2024,"56.91","57.11","56.17","56.86","3,145,979"
01/10/2024,"56.75","57.09","56.31","57.04","2,710,470"
01/09/2024,"55.99","56.92","55.71","56.80","2,591,476"
01/08/2024,"56.00","56.46","55.70","56.42","2,561,142"
01/05/2024,"55.69","56.22","55.43","55.72","3,123,680"
01/04/2024,"55.03","56.11","54.90","55.48","3,597,755"
01/03/2024,"55.96","55.96","54.79","54.90","3,247,673"
01/02/2024,"56.89","57.34","56.08","56.45","2,912,702"
12/29/2023,"57.42","57.85","57.25","57.45","1,501,775"
12/28/2023,"57.66","58.02","57.55","57.64","1,847,086"
12/27/2023,"57.38","57.98","57.34","57.78","1,741,767"
12/26/2023,"57.28","57.77","57.08","57.44","2,377,236"
12/22/2023,"57.11","57.53","56.72","57.10","1,661,366"
12/21/2023,"56.52","56.95","56.27","56.92","2,481,699"
12/20/2023,"56.58","57.53","55.98","56.00","2,351,969"
12/19/2023,"56.90","57.41","56.60","56.99","3,905,053"
12/18/2023,"57.44","57.48","56.40","56.76","3,538,046"
12/15/2023,"58.24","58.58","57.24","57.33","9,179,507"
12/14/2023,"56.33","59.18","56.01","58.81","6,488,835"
12/13/2023,"56.50","56.95","54.38","55.80","5,096,021"
12/12/2023,"55.61","56.45","54.92","56.33","3,817,187"
12/11/2023,"55.31","56.27","55.31","55.95","6,106,184"
12/08/2023,"56.05","56.87","54.67","55.27","10,424,440"
12/07/2023,"53.15","53.15","52.54","52.89","2,465,023"
12/06/2023,"53.23","53.88","52.93","53.01","2,571,012"
12/05/2023,"53.23","53.33","52.44","52.57","2,474,749"
12/04/2023,"52.69","53.49","52.28","53.46","3,591,028"
12/01/2023,"52.13","53.34","52.08","53.22","3,099,846"
11/30/2023,"52.00","52.06","51.20","51.96","9,300,769"
11/29/2023,"52.25","52.97","51.71","52.21","4,059,209"
11/28/2023,"52.14","52.27","51.31","51.63","3,067,747"
11/27/2023,"52.65","52.84","51.94","52.14","2,709,320"
11/24/2023,"52.60","53.02","52.60","52.98","710,796"
11/22/2023,"52.79","53.00","52.44","52.75","2,217,570"
11/21/2023,"53.15","53.30","52.52","52.73","3,030,067"
