Date,Open,High,Low,Close,Volume
02/20/2024,"317.26","319.00","312.74","313.74","2,701,572"
02/16/2024,"323.72","328.30","321.44","321.91","2,513,347"
02/15/2024,"315.95","323.21","315.46","323.07","2,362,937"
02/14/2024,"316.01","317.85","313.97","316.71","1,887,095"
02/13/2024,"315.79","316.00","310.79","312.84","2,923,359"
02/12/2024,"317.21","323.09","316.51","321.63","2,483,602"
02/09/2024,"322.00","322.33","315.57","317.16","2,823,170"
02/08/2024,"324.67","326.43","321.42","322.00","1,986,100"
02/07/2024,"322.94","327.82","321.10","323.59","3,202,982"
02/06/2024,"323.19","327.43","319.07","322.72","2,826,394"
02/05/2024,"334.87","334.87","315.91","321.40","6,557,542"
02/02/2024,"307.00","317.37","306.00","315.09","4,661,484"
02/01/2024,"303.24","308.07","301.94","307.69","3,196,264"
01/31/2024,"305.57","305.75","299.93","300.31","2,812,955"
01/30/2024,"300.51","305.73","300.51","304.76","2,150,444"
01/29/2024,"299.02","303.70","297.45","303.25","2,101,353"
01/26/2024,"301.00","302.98","298.66","299.43","2,920,474"
01/25/2024,"294.00","303.31","293.13","300.77","4,647,055"
01/24/2024,"290.84","292.61","288.34","290.68","2,765,909"
01/23/2024,"290.50","292.88","287.52","288.83","1,866,294"
01/22/2024,"286.10","290.59","286.10","288.67","2,072,329"
01/19/2024,"282.32","286.08","278.95","285.28","3,115,987"
01/18/2024,"280.02","282.53","277.66","281.90","2,479,261"
01/17/2024,"278.83","282.02","276.94","278.63","3,789,153"
01/16/2024,"288.88","290.21","285.60","287.23","3,140,086"
01/12/2024,"295.27","295.83","288.93","290.41","1,955,694"
01/11/2024,"294.60","295.60","289.41","292.06","1,941,352"
01/10/2024,"292.15","294.55","291.46","293.35","2,048,021"
01/09/2024,"289.23","292.36","288.00","292.29","1,974,507"
01/08/2024,"287.56","292.68","285.24","292.25","2,369,129"
01/05/2024,"286.25","291.00","285.47","288.93","2,684,787"
01/04/2024,"284.41","288.22","283.79","286.10","2,995,437"
01/03/2024,"288.39","288.93","283.32","284.30","3,043,399"
01/02/2024,"293.43","296.64","291.35","292.71","2,433,125"
12/29/2023,"296.85","298.24","293.20","295.67","2,300,643"
12/28/2023,"297.10","299.20","296.04","296.88","2,267,452"
12/27/2023,"295.63","299.15","294.73","298.12","1,876,485"
12/26/2023,"291.59","297.09","291.00","295.63","2,019,046"
12/22/2023,"290.31","292.83","288.91","290.36","2,833,962"
12/21/2023,"289.90","290.73","286.60","290.07","3,209,389"
12/20/2023,"291.93","298.27","289.52","289.71","3,818,414"
12/19/2023,"286.80","293.03","286.16","292.96","3,659,607"
12/18/2023,"286.74","288.88","284.57","285.71","2,691,728"
12/15/2023,"280.10","286.85","279.98","285.74","7,321,193"
12/14/2023,"272.45","285.46","270.55","285.17","6,464,060"
12/13/2023,"261.40","268.23","259.28","267.97","3,708,327"
12/12/2023,"259.99","262.49","259.12","261.43","2,375,743"
12/11/2023,"259.84","262.24","259.50","260.92","2,898,544"
12/08/2023,"257.38","261.64","257.00","259.50","3,258,348"
12/07/2023,"257.21","259.38","255.81","257.41","2,162,534"
12/06/2023,"256.80","261.01","255.57","255.97","3,632,822"
12/05/2023,"253.78","257.20","253.78","255.19","2,682,372"
12/04/2023,"253.57","255.53","252.42","254.75","3,028,712"
12/01/2023,"251.91","257.44","251.01","256.76","3,731,480"
11/30/2023,"251.04","251.50","247.84","250.72","3,210,495"
11/29/2023,"249.68","251.58","248.31","249.45","2,224,796"
11/28/2023,"247.74","248.87","246.01","247.50","2,150,011"
11/27/2023,"246.96","248.22","246.32","247.39","1,743,468"
11/24/2023,"246.75","248.90","246.70","247.36","982,235"
11/22/2023,"241.84","247.63","241.81","246.01","3,594,076"
