Date,Open,High,Low,Close,Volume
2/16/2024,186.7,187.98,186.22,186.69,"434,766"
2/15/2024,185.44,186.06,184.29,186.06,"491,401"
2/14/2024,186.74,187.04,183.68,184.76,"591,670"
2/13/2024,185.65,187,183.52,185.2,"578,063"
2/12/2024,184.19,184.63,182.17,184.44,"522,126"
2/9/2024,183.88,185.92,182.72,183.5,"577,063"
2/8/2024,186.18,186.27,183.58,184.16,"547,280"
2/7/2024,182.35,185.84,182.1,184.46,"743,065"
2/6/2024,182.98,182.98,178.52,180.41,"510,009"
2/5/2024,180.32,182.83,180.08,181.75,"801,951"
2/2/2024,180.97,187.02,180.8,182.78,"1,178,059"
2/1/2024,183.85,185.17,181.06,184.73,"1,217,406"
1/31/2024,183.78,185.98,183.46,183.85,"968,225"
1/30/2024,184.41,185.33,181.67,183.26,"777,311"
1/29/2024,185.51,186.23,182.57,183.5,"953,743"
1/26/2024,188.11,188.88,186.37,186.43,"549,232"
1/25/2024,188.9,189.72,187.22,188.69,"672,456"
1/24/2024,189.41,190.16,188.51,188.8,"620,569"
1/23/2024,186.15,188.95,184.4,188.87,"927,530"
1/22/2024,186,187.17,184.74,185.86,"596,388"
1/19/2024,186.67,187.55,185.38,185.38,"495,565"
1/18/2024,187.4,187.6,184.68,186.93,"762,873"
1/17/2024,184,188.35,183.54,187.13,"1,099,060"
1/16/2024,181.06,184.48,181,183.68,"1,099,569"
1/12/2024,177.94,180.87,177.15,180.68,"638,986"
1/11/2024,175.83,178.25,175.83,177.8,"728,954"
1/10/2024,174.98,176.18,174.04,175.61,"543,207"
1/9/2024,176.37,176.6,174.88,175.5,"725,537"
1/8/2024,174.12,176.4,172.7,176.4,"694,762"
1/5/2024,174.36,175.73,172.31,173.13,"818,675"
1/4/2024,175.11,176.06,173.29,173.55,"841,625"
1/3/2024,178.49,179.04,173.01,174.88,"756,758"
1/2/2024,178.36,179.86,175.56,178.2,"668,952"
12/29/2023,177.85,179.09,177.44,178.56,"521,913"
12/28/2023,176.04,178.64,176.04,177.84,"682,563"
12/27/2023,174.11,175.63,173.64,175.61,"475,587"
12/26/2023,175.86,175.86,173.5,173.69,"433,297"
12/22/2023,175.85,176.37,174.79,175.53,"420,217"
12/21/2023,174.63,176.3,174.15,176.11,"651,479"
12/20/2023,176.13,177.14,173.52,174.1,"891,161"
12/19/2023,175.88,176.99,174.68,176.99,"602,780"
12/18/2023,175.04,176.49,173.19,174.99,"656,608"
12/15/2023,172.06,175.04,171.3,175.04,"1,325,757"
12/14/2023,178.95,178.95,168.38,172.28,"1,969,889"
12/13/2023,178.21,179.67,175.75,178.47,"1,155,410"
12/12/2023,178.14,180.28,177.44,178.42,"771,300"
12/11/2023,179.26,179.45,177.69,178,"968,478"
12/8/2023,176.79,179.08,176.01,178.72,"806,066"
12/7/2023,177.56,178.23,175.14,177.26,"1,002,586"
12/6/2023,182.33,182.33,175.4,177.76,"1,171,211"
12/5/2023,181.61,182.19,180.11,181.96,"695,158"
12/4/2023,180.72,181.82,180,181.78,"1,087,077"
12/1/2023,182.23,183.74,180.26,180.26,"1,392,995"
11/30/2023,180,182.19,179.84,182.19,"1,632,329"
11/29/2023,180.88,180.88,178.54,179.5,"797,800"
11/28/2023,181.12,182.33,179.57,180.89,"1,075,120"
11/27/2023,180.3,180.83,179.72,180.4,"637,954"
11/24/2023,179.69,180.42,179.3,180.06,"210,451"
11/22/2023,179.27,180.23,177.19,180.06,"591,737"
11/21/2023,177.38,179.96,176.95,176.95,"727,547"
