Date,Open,High,Low,Close,Volume
02/16/2024,"106.47","108.29","105.90","108.22","2,949,727"
02/15/2024,"106.72","108.55","106.44","107.99","2,273,903"
02/14/2024,"105.39","106.42","104.84","105.80","2,313,511"
02/13/2024,"105.28","105.91","103.40","105.23","2,992,078"
02/12/2024,"108.50","109.08","107.99","108.19","1,860,559"
02/09/2024,"107.21","108.53","106.76","108.40","2,640,984"
02/08/2024,"106.30","107.51","105.98","107.50","3,003,467"
02/07/2024,"107.92","108.00","106.66","106.87","2,436,780"
02/06/2024,"105.44","107.84","105.01","107.66","3,061,006"
02/05/2024,"106.86","107.18","104.95","105.59","2,965,169"
02/02/2024,"109.44","109.77","105.94","108.32","3,630,025"
02/01/2024,"107.97","111.11","107.82","111.06","2,388,191"
01/31/2024,"108.04","110.72","107.24","108.25","2,645,547"
01/30/2024,"108.52","108.82","107.57","107.98","2,471,172"
01/29/2024,"108.46","109.07","106.90","108.95","2,416,543"
01/26/2024,"110.77","111.17","108.36","108.60","2,425,059"
01/25/2024,"108.97","111.11","107.71","110.81","3,736,190"
01/24/2024,"108.48","108.97","105.33","105.56","3,217,392"
01/23/2024,"109.01","110.11","107.82","107.95","2,410,212"
01/22/2024,"108.41","110.10","107.99","108.76","2,457,932"
01/19/2024,"108.55","108.94","106.88","107.97","4,177,296"
01/18/2024,"108.61","109.73","107.39","107.79","3,975,283"
01/17/2024,"109.16","110.92","107.35","108.50","4,237,828"
01/16/2024,"112.00","112.81","110.57","110.83","5,121,259"
01/12/2024,"113.86","114.51","112.63","112.71","1,944,172"
01/11/2024,"112.92","113.29","111.59","112.72","2,771,945"
01/10/2024,"113.44","114.28","113.02","113.41","2,471,505"
01/09/2024,"113.86","114.45","113.15","113.76","2,174,354"
01/08/2024,"113.12","115.52","112.51","114.76","2,620,549"
01/05/2024,"113.00","114.87","112.68","113.77","2,650,314"
01/04/2024,"113.27","115.01","112.82","114.00","2,293,296"
01/03/2024,"115.48","115.95","113.47","113.49","2,027,625"
01/02/2024,"114.53","117.03","114.34","116.62","2,231,329"
12/29/2023,"115.03","116.06","114.36","115.19","2,353,852"
12/28/2023,"115.91","116.75","115.41","116.11","1,410,592"
12/27/2023,"115.72","116.40","114.99","116.09","1,442,407"
12/26/2023,"115.00","115.97","114.44","115.59","1,554,104"
12/22/2023,"115.17","116.32","114.40","114.83","1,412,691"
12/21/2023,"115.43","116.55","113.34","114.60","4,991,782"
12/20/2023,"115.02","116.47","114.05","114.41","5,141,774"
12/19/2023,"112.85","114.70","112.56","113.99","4,647,551"
12/18/2023,"112.81","114.08","112.27","112.42","4,618,444"
12/15/2023,"114.29","114.29","111.68","112.84","8,435,561"
12/14/2023,"117.00","117.66","113.53","114.55","7,682,495"
12/13/2023,"114.15","117.15","112.76","116.76","4,295,462"
12/12/2023,"114.30","114.48","113.27","113.97","3,241,476"
12/11/2023,"115.65","115.96","114.10","114.52","3,642,214"
12/08/2023,"118.25","119.17","114.49","116.07","4,391,175"
12/07/2023,"117.36","119.12","117.01","117.64","3,794,747"
12/06/2023,"118.42","118.99","117.01","117.09","6,380,739"
12/05/2023,"119.48","119.50","117.69","117.95","3,329,001"
12/04/2023,"118.15","118.88","116.63","118.43","4,712,581"
12/01/2023,"117.33","118.84","115.60","118.57","4,672,549"
11/30/2023,"116.00","117.58","115.56","117.28","5,697,092"
11/29/2023,"112.21","116.36","112.19","115.98","7,393,106"
11/28/2023,"106.89","111.73","106.89","111.13","5,348,615"
11/27/2023,"107.89","109.03","106.87","107.15","6,304,263"
11/24/2023,"103.07","103.84","101.88","103.58","1,193,475"
11/22/2023,"104.87","104.87","102.64","103.10","2,080,454"
11/21/2023,"104.30","105.03","103.41","103.60","2,275,303"
