Date,Open,High,Low,Close,Volume
02/16/2024,"15.02","15.12","14.77","14.80","24,237,570"
02/15/2024,"15.36","15.61","15.14","15.22","26,700,109"
02/14/2024,"15.26","15.36","14.84","15.27","25,927,061"
02/13/2024,"15.03","15.24","14.90","15.12","26,733,650"
02/12/2024,"15.33","15.64","15.28","15.49","28,026,381"
02/09/2024,"15.68","15.74","14.96","15.31","45,686,609"
02/08/2024,"15.64","15.79","15.42","15.69","25,544,971"
02/07/2024,"16.00","16.03","15.61","15.72","27,082,350"
02/06/2024,"15.76","16.13","15.56","15.97","22,673,051"
02/05/2024,"16.21","16.25","15.64","15.83","32,575,510"
02/02/2024,"16.63","16.66","16.14","16.44","32,332,119"
02/01/2024,"17.09","17.24","16.22","16.80","41,876,578"
01/31/2024,"16.40","17.18","16.35","16.58","37,512,809"
01/30/2024,"16.81","17.20","16.39","16.47","42,567,930"
01/29/2024,"15.70","16.55","15.69","16.55","37,138,352"
01/26/2024,"16.50","16.51","15.81","15.83","39,896,551"
01/25/2024,"16.28","16.50","16.21","16.47","40,046,688"
01/24/2024,"16.50","16.75","16.06","16.08","35,602,633"
01/23/2024,"16.51","16.78","16.21","16.25","40,097,230"
01/22/2024,"17.50","17.55","16.39","16.64","54,154,953"
01/19/2024,"17.22","17.35","16.82","17.33","21,539,359"
01/18/2024,"17.12","17.65","16.84","17.28","31,558,381"
01/17/2024,"16.57","16.98","16.57","16.86","15,919,010"
01/16/2024,"16.65","17.10","16.53","17.03","24,477,240"
01/12/2024,"17.53","17.53","16.74","16.96","24,801,369"
01/11/2024,"17.74","17.78","17.16","17.53","23,338,930"
01/10/2024,"17.26","17.83","17.19","17.78","24,717,359"
01/09/2024,"17.05","17.56","17.05","17.38","21,012,980"
01/08/2024,"17.41","17.58","17.04","17.35","26,151,641"
01/05/2024,"16.90","17.56","16.85","17.33","34,785,398"
01/04/2024,"16.35","17.10","16.30","16.85","33,978,609"
01/03/2024,"16.76","16.90","16.26","16.35","43,978,500"
01/02/2024,"18.31","18.34","17.21","17.29","36,400,238"
12/29/2023,"18.64","18.88","18.53","18.54","25,436,670"
12/28/2023,"18.62","18.76","18.54","18.67","17,540,740"
12/27/2023,"18.40","18.61","18.20","18.54","25,594,221"
12/26/2023,"18.79","18.86","18.36","18.61","26,668,600"
12/22/2023,"19.14","19.74","18.70","18.93","38,240,398"
12/21/2023,"18.50","19.50","18.33","19.19","63,822,539"
12/20/2023,"18.64","18.80","18.06","18.07","34,109,660"
12/19/2023,"18.45","18.86","18.40","18.71","27,102,180"
12/18/2023,"18.53","18.72","18.21","18.36","26,063,311"
12/15/2023,"18.68","18.95","18.55","18.61","36,118,113"
12/14/2023,"18.50","19.23","18.48","18.78","41,074,520"
12/13/2023,"17.75","18.30","17.62","18.27","38,465,367"
12/12/2023,"17.64","18.05","17.61","17.82","22,240,590"
12/11/2023,"18.01","18.06","17.46","17.63","34,179,168"
12/08/2023,"17.92","18.14","17.84","18.11","32,726,961"
12/07/2023,"17.55","18.04","17.43","17.93","33,502,930"
12/06/2023,"16.82","17.82","16.80","17.48","43,374,512"
12/05/2023,"16.20","16.62","16.15","16.50","27,681,689"
12/04/2023,"15.75","16.41","15.75","16.35","36,854,500"
12/01/2023,"15.12","15.77","15.03","15.76","31,943,609"
11/30/2023,"15.09","15.19","14.83","15.06","30,451,051"
11/29/2023,"14.81","15.30","14.76","14.91","27,451,420"
11/28/2023,"14.68","14.78","14.48","14.63","18,419,180"
11/27/2023,"14.38","14.74","14.36","14.62","21,496,811"
11/24/2023,"14.27","14.46","14.12","14.41","8,927,286"
11/22/2023,"14.50","14.84","14.41","14.47","26,078,070"
11/21/2023,"14.32","14.36","13.88","14.20","26,656,000"
