Date,Open,High,Low,Close,Volume
02/20/2024,"131.00","132.06","129.39","131.80","2,121,235"
02/16/2024,"131.26","132.66","130.49","131.16","1,295,739"
02/15/2024,"129.92","131.62","128.83","131.50","1,348,940"
02/14/2024,"128.30","129.44","127.69","128.67","1,372,350"
02/13/2024,"127.91","128.81","126.73","127.91","1,503,717"
02/12/2024,"131.82","132.19","127.96","128.51","1,206,893"
02/09/2024,"130.02","132.51","130.00","132.17","1,245,398"
02/08/2024,"132.55","133.97","130.17","130.72","1,228,722"
02/07/2024,"131.96","133.80","130.81","132.50","2,087,576"
02/06/2024,"127.76","131.50","127.19","131.01","2,656,914"
02/05/2024,"127.90","128.42","125.85","127.03","1,878,057"
02/02/2024,"127.01","133.07","126.43","129.71","3,781,674"
02/01/2024,"122.00","127.70","122.00","127.63","1,937,524"
01/31/2024,"122.78","124.18","121.37","122.00","1,666,070"
01/30/2024,"121.33","122.31","120.70","121.88","1,285,466"
01/29/2024,"121.09","121.74","120.01","121.01","1,801,469"
01/26/2024,"120.07","122.41","120.07","121.27","1,558,807"
01/25/2024,"117.90","120.59","117.04","120.55","1,425,765"
01/24/2024,"119.14","119.52","115.34","115.67","1,514,735"
01/23/2024,"117.73","120.56","117.16","118.69","1,929,364"
01/22/2024,"114.46","117.38","114.33","117.21","1,876,800"
01/19/2024,"111.45","114.61","111.45","114.45","1,684,303"
01/18/2024,"111.37","111.90","110.25","111.41","1,614,877"
01/17/2024,"111.23","112.00","109.44","111.92","1,484,467"
01/16/2024,"112.37","112.84","111.30","111.81","1,416,999"
01/12/2024,"113.94","114.42","112.74","112.91","1,556,906"
01/11/2024,"115.00","115.29","111.48","112.91","1,609,390"
01/10/2024,"116.02","116.43","114.97","115.85","1,090,523"
01/09/2024,"116.44","116.93","115.17","116.49","1,514,048"
01/08/2024,"116.19","117.16","115.03","117.03","1,351,735"
01/05/2024,"115.11","117.66","115.11","116.24","1,729,869"
01/04/2024,"116.21","117.11","115.00","115.36","1,348,862"
01/03/2024,"115.50","117.17","115.50","115.85","1,372,365"
01/02/2024,"116.40","117.23","114.97","115.25","1,362,814"
12/29/2023,"116.73","117.27","115.93","116.89","849,870"
12/28/2023,"118.71","118.78","116.95","117.11","559,694"
12/27/2023,"117.28","117.76","116.88","117.42","541,357"
12/26/2023,"115.59","117.84","115.59","117.57","740,712"
12/22/2023,"115.00","117.98","114.02","115.33","1,188,462"
12/21/2023,"117.49","118.43","116.81","118.31","904,587"
12/20/2023,"119.83","120.13","117.00","117.01","1,324,391"
12/19/2023,"119.77","121.05","119.26","120.81","1,012,750"
12/18/2023,"119.57","121.54","118.91","119.36","2,019,799"
12/15/2023,"115.67","120.87","115.61","118.75","6,046,770"
12/14/2023,"116.64","117.81","115.37","115.60","2,456,446"
12/13/2023,"114.59","116.75","113.53","116.43","1,731,074"
12/12/2023,"116.16","116.40","113.85","114.49","1,846,150"
12/11/2023,"111.55","116.30","110.67","116.15","2,582,916"
12/08/2023,"109.99","111.61","109.65","111.21","2,627,281"
12/07/2023,"113.26","113.44","109.45","110.53","3,497,039"
12/06/2023,"119.34","119.67","112.22","112.63","2,629,780"
12/05/2023,"118.71","118.94","115.89","118.31","1,805,964"
12/04/2023,"119.00","119.55","118.05","118.92","1,946,950"
12/01/2023,"120.62","120.94","119.65","119.88","1,455,026"
11/30/2023,"120.59","121.86","120.52","121.04","2,649,969"
11/29/2023,"123.55","123.94","119.76","120.58","2,078,787"
11/28/2023,"124.98","126.50","123.76","124.45","2,003,088"
11/27/2023,"123.93","125.38","123.37","125.10","1,073,180"
11/24/2023,"123.07","124.30","123.05","123.86","532,492"
11/22/2023,"122.90","123.84","121.98","123.25","1,376,724"
