Date,Open,High,Low,Close,Volume
02/20/2024,"291.71","297.51","289.12","295.13","2,029,505"
02/16/2024,"295.41","295.41","291.01","293.00","2,053,171"
02/15/2024,"288.00","296.71","287.91","294.14","1,276,337"
02/14/2024,"294.23","294.79","286.54","287.28","1,258,300"
02/13/2024,"291.55","295.30","290.60","292.65","2,610,670"
02/12/2024,"289.85","302.03","289.85","297.91","2,054,998"
02/09/2024,"286.45","293.41","285.01","291.15","2,083,669"
02/08/2024,"287.64","288.31","279.64","282.60","2,778,155"
02/07/2024,"290.00","290.31","282.54","283.67","4,253,473"
02/06/2024,"303.14","303.93","288.84","290.28","4,085,603"
02/05/2024,"316.11","317.38","303.31","303.65","2,920,910"
02/02/2024,"344.99","345.01","316.53","319.21","4,973,244"
02/01/2024,"376.15","383.31","372.00","382.34","2,349,775"
01/31/2024,"378.61","379.37","369.95","370.71","1,334,458"
01/30/2024,"377.54","380.39","376.82","376.98","870,272"
01/29/2024,"374.97","381.20","370.77","380.83","1,154,298"
01/26/2024,"371.68","380.19","370.56","377.07","1,041,128"
01/25/2024,"371.08","371.96","360.82","369.07","2,066,826"
01/24/2024,"382.39","383.99","367.75","371.39","2,227,220"
01/23/2024,"377.50","381.57","372.96","378.64","1,020,737"
01/22/2024,"371.10","377.80","370.35","373.15","1,016,018"
01/19/2024,"364.18","372.21","360.88","371.10","1,043,552"
01/18/2024,"358.58","367.48","358.58","364.55","1,032,694"
01/17/2024,"362.45","367.39","358.07","359.24","936,953"
01/16/2024,"362.67","368.55","357.41","368.34","869,692"
01/12/2024,"369.09","369.58","364.19","364.90","988,930"
01/11/2024,"368.24","368.24","361.50","367.62","910,067"
01/10/2024,"367.93","370.31","364.99","367.00","957,738"
01/09/2024,"373.88","374.97","364.10","368.61","1,592,263"
01/08/2024,"372.84","379.17","370.18","378.87","962,185"
01/05/2024,"375.04","380.71","372.04","372.20","998,336"
01/04/2024,"385.58","386.04","372.47","375.75","1,296,256"
01/03/2024,"391.66","392.82","384.93","386.67","771,753"
01/02/2024,"386.84","393.50","385.06","391.51","948,128"
12/29/2023,"390.72","393.99","387.47","388.68","746,013"
12/28/2023,"392.66","400.07","391.82","392.39","430,711"
12/27/2023,"389.50","393.21","386.13","391.54","575,173"
12/26/2023,"381.56","391.27","379.44","389.50","590,198"
12/22/2023,"383.08","387.46","378.53","382.09","424,619"
12/21/2023,"383.72","386.88","381.99","383.51","664,515"
12/20/2023,"386.91","391.28","381.00","381.22","700,267"
12/19/2023,"384.13","387.25","382.66","386.36","836,349"
12/18/2023,"381.58","384.77","379.47","383.89","930,386"
12/15/2023,"385.75","387.32","375.61","379.93","2,262,363"
12/14/2023,"385.08","395.02","380.82","383.91","1,202,778"
12/13/2023,"367.10","381.16","364.40","379.35","1,171,657"
12/12/2023,"375.71","378.29","366.62","367.06","968,860"
12/11/2023,"372.59","379.99","370.91","374.63","1,185,330"
12/08/2023,"364.05","370.84","363.47","367.55","870,608"
12/07/2023,"361.78","372.00","358.48","368.66","1,136,005"
12/06/2023,"365.50","372.00","360.01","361.98","1,384,990"
12/05/2023,"397.40","397.40","359.02","364.40","3,513,476"
12/04/2023,"400.65","407.77","397.11","399.14","907,500"
12/01/2023,"400.13","403.30","396.16","401.87","920,765"
11/30/2023,"399.24","400.77","394.17","400.13","1,096,923"
11/29/2023,"403.83","404.24","395.97","398.90","566,776"
11/28/2023,"394.74","404.70","392.95","401.29","950,730"
11/27/2023,"404.01","405.03","396.17","396.84","1,162,677"
11/24/2023,"406.24","407.46","405.22","405.92","242,736"
11/22/2023,"404.44","410.00","403.05","405.28","719,804"
