Date,Open,High,Low,Close,Volume
02/16/2024,"83.74","84.24","83.29","83.48","4,805,567"
02/15/2024,"84.45","84.72","83.20","83.57","5,268,930"
02/14/2024,"83.26","83.81","82.83","83.71","6,611,170"
02/13/2024,"83.80","84.25","82.77","83.47","4,469,872"
02/12/2024,"83.31","83.77","82.68","83.56","4,746,483"
02/09/2024,"84.26","84.27","83.17","83.46","4,533,022"
02/08/2024,"83.79","84.30","83.49","84.26","4,819,137"
02/07/2024,"84.09","84.29","83.60","83.86","5,530,393"
02/06/2024,"84.06","84.22","83.38","83.74","6,564,471"
02/05/2024,"84.41","85.11","83.74","84.09","6,627,427"
02/02/2024,"85.10","86.08","84.10","84.62","6,440,960"
02/01/2024,"84.01","86.14","83.72","86.12","6,904,787"
01/31/2024,"84.39","84.95","83.91","84.20","6,330,605"
01/30/2024,"84.00","84.59","83.51","84.23","5,659,983"
01/29/2024,"83.30","84.00","83.10","83.96","6,425,954"
01/26/2024,"81.52","83.62","81.08","82.83","8,668,830"
01/25/2024,"80.24","81.44","80.03","81.22","7,526,379"
01/24/2024,"80.87","81.02","80.05","80.08","5,880,887"
01/23/2024,"81.11","81.82","80.81","81.41","7,078,358"
01/22/2024,"80.33","80.55","79.69","80.42","6,237,725"
01/19/2024,"80.23","80.59","80.04","80.38","5,147,632"
01/18/2024,"80.43","80.87","80.05","80.83","4,027,116"
01/17/2024,"80.10","81.20","79.78","80.96","5,357,766"
01/16/2024,"81.00","81.14","80.01","80.43","4,251,966"
01/12/2024,"81.09","81.25","80.65","80.91","5,562,256"
01/11/2024,"80.52","80.64","79.91","80.56","5,186,487"
01/10/2024,"80.87","81.20","80.21","80.55","4,490,978"
01/09/2024,"80.30","80.86","79.98","80.82","3,714,529"
01/08/2024,"80.12","80.44","79.77","80.40","3,703,284"
01/05/2024,"80.43","80.52","79.52","79.98","2,825,055"
01/04/2024,"79.89","80.59","79.76","80.34","4,441,914"
01/03/2024,"80.96","81.30","79.82","79.89","4,959,619"
01/02/2024,"79.63","80.73","79.39","80.72","6,099,623"
12/29/2023,"79.12","79.78","79.10","79.71","2,463,331"
12/28/2023,"79.44","79.49","78.92","79.24","2,317,090"
12/27/2023,"78.69","79.24","78.53","79.10","3,268,763"
12/26/2023,"78.47","79.35","78.30","79.04","3,572,689"
12/22/2023,"78.14","78.72","77.98","78.50","4,042,531"
12/21/2023,"77.64","77.97","76.96","77.91","5,266,979"
12/20/2023,"77.74","78.33","77.34","77.35","5,326,849"
12/19/2023,"78.01","78.56","77.83","78.13","3,370,676"
12/18/2023,"77.53","78.30","77.36","78.06","4,212,387"
12/15/2023,"75.86","77.01","75.50","76.98","10,225,590"
12/14/2023,"78.29","78.78","76.20","76.27","8,434,099"
12/13/2023,"78.42","79.44","78.04","79.39","4,000,106"
12/12/2023,"77.82","78.60","77.53","78.59","3,798,538"
12/11/2023,"77.35","77.88","77.26","77.64","3,958,261"
12/08/2023,"77.56","77.56","76.69","77.17","4,317,839"
12/07/2023,"77.62","77.98","77.17","77.62","3,107,413"
12/06/2023,"77.65","77.85","77.13","77.47","3,595,366"
12/05/2023,"79.00","79.03","77.54","77.68","4,075,267"
12/04/2023,"78.50","79.19","78.50","78.98","4,154,418"
12/01/2023,"78.86","78.99","78.35","78.70","3,488,447"
11/30/2023,"77.88","79.02","77.47","78.77","7,148,474"
11/29/2023,"77.84","78.06","77.48","77.88","4,010,172"
11/28/2023,"77.30","78.00","77.08","77.87","3,471,220"
11/27/2023,"77.38","77.46","77.01","77.11","3,706,593"
11/24/2023,"77.48","77.48","77.02","77.31","1,150,389"
11/22/2023,"76.90","77.50","76.86","77.28","3,217,250"
11/21/2023,"75.65","76.59","75.39","76.57","3,669,545"
