Date,Open,High,Low,Close,Volume
02/16/2024,"152.73","153.07","150.79","151.05","1,071,509"
02/15/2024,"152.92","153.45","151.74","152.81","727,452"
02/14/2024,"153.20","153.32","151.11","152.21","866,873"
02/13/2024,"153.55","154.57","151.60","153.06","884,064"
02/12/2024,"152.91","154.22","151.32","153.75","1,073,055"
02/09/2024,"154.16","155.47","152.44","153.20","786,762"
02/08/2024,"155.46","156.05","153.05","154.22","1,023,744"
02/07/2024,"156.00","157.16","155.17","155.54","1,479,251"
02/06/2024,"154.50","155.54","153.00","154.77","1,301,024"
02/05/2024,"154.61","157.22","154.06","154.42","1,869,098"
02/02/2024,"158.50","158.89","152.97","156.36","4,184,771"
02/01/2024,"145.17","148.05","143.95","148.04","1,955,054"
01/31/2024,"146.35","147.07","144.65","145.25","1,656,334"
01/30/2024,"144.30","146.08","143.11","145.73","1,316,444"
01/29/2024,"144.64","145.08","143.56","144.71","1,245,425"
01/26/2024,"144.68","145.18","143.10","144.68","1,164,474"
01/25/2024,"139.90","144.21","139.90","144.15","1,280,189"
01/24/2024,"141.88","142.04","139.05","139.73","1,797,968"
01/23/2024,"142.55","145.00","142.17","143.49","1,231,291"
01/22/2024,"142.38","142.94","141.16","142.74","1,290,607"
01/19/2024,"144.23","144.23","141.28","142.22","1,269,196"
01/18/2024,"143.27","143.54","142.10","143.35","1,326,436"
01/17/2024,"143.48","145.44","143.24","144.17","1,322,551"
01/16/2024,"143.34","143.59","141.99","143.56","1,465,924"
01/12/2024,"143.06","143.51","142.44","143.30","1,003,608"
01/11/2024,"141.28","142.88","140.32","142.72","929,909"
01/10/2024,"141.26","142.29","141.10","141.37","797,927"
01/09/2024,"141.83","142.09","140.50","141.33","1,022,699"
01/08/2024,"141.29","142.37","141.08","142.23","994,675"
01/05/2024,"141.30","143.75","140.81","141.29","984,311"
01/04/2024,"141.52","143.10","141.13","142.45","1,034,821"
01/03/2024,"144.92","145.03","141.07","141.52","1,162,051"
01/02/2024,"141.91","145.06","141.61","144.69","1,332,942"
12/29/2023,"142.25","143.21","141.88","142.59","771,828"
12/28/2023,"141.65","142.31","140.97","142.06","680,457"
12/27/2023,"141.84","142.71","140.73","141.69","808,774"
12/26/2023,"141.08","142.50","141.08","141.95","651,262"
12/22/2023,"141.90","142.63","140.06","141.86","720,741"
12/21/2023,"141.85","142.13","139.80","141.16","838,503"
12/20/2023,"141.22","142.69","140.58","140.60","862,887"
12/19/2023,"142.68","144.03","141.82","142.52","621,458"
12/18/2023,"142.04","143.64","141.45","142.78","744,142"
12/15/2023,"141.89","142.88","141.33","141.91","1,869,600"
12/14/2023,"145.32","146.55","142.17","142.18","1,450,771"
12/13/2023,"142.12","145.88","141.27","145.63","920,810"
12/12/2023,"139.92","142.40","139.31","142.34","865,256"
12/11/2023,"141.70","142.00","138.76","140.01","1,546,221"
12/08/2023,"143.45","143.45","141.54","141.55","1,233,425"
12/07/2023,"142.76","143.76","141.48","143.65","916,391"
12/06/2023,"141.28","143.09","140.63","142.44","1,174,722"
12/05/2023,"142.96","142.96","140.86","141.44","1,112,450"
12/04/2023,"143.49","145.16","143.49","143.81","1,101,516"
12/01/2023,"143.41","144.01","142.33","143.84","1,259,082"
11/30/2023,"142.18","143.59","140.06","143.35","1,495,329"
11/29/2023,"143.65","143.71","141.38","142.34","1,261,117"
11/28/2023,"141.88","144.50","141.75","144.11","1,299,397"
11/27/2023,"141.10","142.03","140.59","141.75","1,048,656"
11/24/2023,"140.00","141.39","139.83","141.19","442,390"
11/22/2023,"141.00","142.45","140.01","140.51","1,201,464"
11/21/2023,"137.76","140.14","137.50","139.35","1,516,678"
