Date,Open,High,Low,Close,Volume
02/20/2024,"41.15","41.73","40.74","41.66","20,854,920"
02/16/2024,"41.71","41.75","41.16","41.24","22,578,770"
02/15/2024,"41.79","42.17","41.67","41.80","20,890,961"
02/14/2024,"42.04","42.13","41.68","42.02","24,630,830"
02/13/2024,"42.48","42.55","41.51","41.85","24,549,520"
02/12/2024,"41.94","42.99","41.93","42.61","21,666,750"
02/09/2024,"41.47","42.28","41.23","42.07","27,368,301"
02/08/2024,"43.02","43.06","41.06","41.25","44,879,559"
02/07/2024,"44.63","44.79","42.84","42.86","31,222,449"
02/06/2024,"44.94","44.94","44.14","44.42","18,653,100"
02/05/2024,"44.95","45.38","44.78","44.87","15,528,380"
02/02/2024,"45.33","45.82","44.87","45.09","25,234,279"
02/01/2024,"46.74","47.11","46.18","46.73","18,583,150"
01/31/2024,"46.64","47.11","46.38","46.54","18,579,551"
01/30/2024,"46.40","46.84","46.01","46.65","15,675,830"
01/29/2024,"46.08","46.51","45.81","46.11","19,263,570"
01/26/2024,"45.43","46.32","45.33","46.26","20,086,381"
01/25/2024,"43.70","46.34","43.57","45.27","29,722,119"
01/24/2024,"44.28","44.33","43.50","43.80","19,446,770"
01/23/2024,"43.74","44.16","43.43","43.95","15,712,060"
01/22/2024,"43.51","43.93","43.43","43.62","18,082,680"
01/19/2024,"42.59","43.36","42.52","43.35","23,606,221"
01/18/2024,"42.11","42.63","42.08","42.54","19,797,260"
01/17/2024,"42.82","43.06","42.14","42.35","18,568,990"
01/16/2024,"42.96","43.23","42.74","43.09","17,183,170"
01/12/2024,"43.42","43.42","42.86","42.99","12,742,490"
01/11/2024,"43.58","43.68","42.83","43.27","12,706,390"
01/10/2024,"43.30","43.56","42.98","43.48","12,186,980"
01/09/2024,"43.20","43.43","42.80","43.28","14,842,180"
01/08/2024,"43.04","43.82","42.93","43.73","16,124,470"
01/05/2024,"42.78","43.31","42.73","43.04","12,648,510"
01/04/2024,"43.27","43.35","42.49","42.63","19,595,590"
01/03/2024,"43.68","43.88","43.22","43.31","15,442,910"
01/02/2024,"43.56","44.04","43.26","43.67","16,514,551"
12/29/2023,"44.09","44.14","43.56","43.85","13,695,610"
12/28/2023,"43.97","44.41","43.89","44.12","9,023,423"
12/27/2023,"43.90","44.17","43.71","43.99","9,253,757"
12/26/2023,"44.00","44.07","43.50","43.93","9,624,399"
12/22/2023,"44.13","44.62","43.81","44.00","11,894,110"
12/21/2023,"44.22","44.41","43.38","44.02","18,079,660"
12/20/2023,"44.62","44.92","44.20","44.20","16,281,070"
12/19/2023,"44.79","44.91","44.50","44.70","16,417,580"
12/18/2023,"44.56","44.88","44.32","44.70","17,896,010"
12/15/2023,"44.61","44.82","43.95","44.48","60,346,762"
12/14/2023,"44.06","45.00","43.93","44.64","29,794,820"
12/13/2023,"42.73","43.72","42.24","43.67","18,654,881"
12/12/2023,"43.04","43.14","42.16","42.67","17,533,660"
12/11/2023,"42.74","43.01","42.14","42.66","19,952,480"
12/08/2023,"41.70","42.24","41.66","42.10","20,117,289"
12/07/2023,"41.99","42.69","41.78","42.17","19,522,400"
12/06/2023,"41.77","42.07","41.29","41.69","16,619,920"
12/05/2023,"42.93","43.00","40.69","41.61","29,023,109"
12/04/2023,"42.25","43.42","42.17","43.08","22,757,539"
12/01/2023,"42.25","42.52","41.81","42.21","16,973,920"
11/30/2023,"41.78","41.94","41.44","41.89","23,641,539"
11/29/2023,"41.97","42.07","41.41","41.63","13,275,110"
11/28/2023,"42.00","42.10","41.79","41.87","14,512,330"
11/27/2023,"42.37","42.51","41.81","42.09","19,310,510"
11/24/2023,"42.55","42.73","42.40","42.58","5,860,002"
11/22/2023,"42.72","42.93","42.40","42.48","12,855,120"
