Date,Open,High,Low,Close,Volume
02/16/2024,"2,620.00","2,625.41","2,597.82","2,598.43","138,362"
02/15/2024,"2,616.47","2,626.72","2,602.35","2,618.00","167,464"
02/14/2024,"2,614.53","2,632.55","2,593.87","2,620.19","135,878"
02/13/2024,"2,588.33","2,642.31","2,586.06","2,599.14","231,596"
02/12/2024,"2,632.26","2,634.00","2,594.86","2,608.23","207,934"
02/09/2024,"2,636.98","2,659.11","2,615.93","2,638.35","211,052"
02/08/2024,"2,678.05","2,689.00","2,616.01","2,620.48","387,018"
02/07/2024,"2,561.50","2,725.83","2,505.00","2,666.99","901,180"
02/06/2024,"2,480.43","2,497.78","2,464.92","2,487.74","454,951"
02/05/2024,"2,502.59","2,506.07","2,462.38","2,470.85","378,483"
02/02/2024,"2,445.61","2,492.95","2,427.03","2,482.28","213,583"
02/01/2024,"2,414.00","2,448.01","2,411.81","2,442.02","268,618"
01/31/2024,"2,419.10","2,439.63","2,407.72","2,408.77","215,493"
01/30/2024,"2,400.04","2,421.13","2,393.95","2,419.28","185,911"
01/29/2024,"2,328.61","2,407.15","2,314.31","2,404.53","326,785"
01/26/2024,"2,313.00","2,331.76","2,307.68","2,326.25","145,120"
01/25/2024,"2,327.80","2,339.41","2,307.79","2,311.77","170,538"
01/24/2024,"2,339.02","2,340.49","2,326.10","2,334.80","161,825"
01/23/2024,"2,320.00","2,328.33","2,300.62","2,321.82","159,647"
01/22/2024,"2,342.00","2,352.76","2,315.96","2,325.00","203,430"
01/19/2024,"2,328.00","2,347.30","2,327.00","2,334.60","301,365"
01/18/2024,"2,322.00","2,328.70","2,302.68","2,322.82","157,485"
01/17/2024,"2,280.91","2,319.43","2,280.91","2,310.44","182,766"
01/16/2024,"2,275.97","2,303.40","2,274.96","2,289.97","159,497"
01/12/2024,"2,278.83","2,282.47","2,263.68","2,271.90","125,514"
01/11/2024,"2,250.40","2,278.17","2,226.51","2,276.57","182,448"
01/10/2024,"2,240.21","2,260.05","2,232.01","2,245.00","208,436"
01/09/2024,"2,224.60","2,252.00","2,224.60","2,232.00","213,818"
01/08/2024,"2,219.94","2,236.39","2,204.10","2,236.39","328,243"
01/05/2024,"2,222.02","2,228.54","2,209.41","2,212.80","181,540"
01/04/2024,"2,228.79","2,239.38","2,220.28","2,220.47","168,721"
01/03/2024,"2,244.75","2,253.00","2,230.11","2,233.65","169,787"
01/02/2024,"2,278.45","2,285.00","2,237.56","2,244.75","199,979"
12/29/2023,"2,282.51","2,287.26","2,268.47","2,286.96","184,905"
12/28/2023,"2,302.44","2,304.20","2,276.47","2,278.38","150,265"
12/27/2023,"2,325.88","2,327.00","2,301.59","2,307.44","145,854"
12/26/2023,"2,306.73","2,324.68","2,306.73","2,319.52","106,748"
12/22/2023,"2,314.50","2,314.50","2,300.33","2,304.35","104,622"
12/21/2023,"2,315.40","2,323.23","2,295.07","2,307.10","130,358"
12/20/2023,"2,328.00","2,348.42","2,313.22","2,313.87","148,113"
12/19/2023,"2,305.00","2,328.92","2,304.42","2,327.03","171,601"
12/18/2023,"2,280.03","2,300.75","2,265.01","2,297.03","201,349"
12/15/2023,"2,254.16","2,290.00","2,254.16","2,271.47","256,696"
12/14/2023,"2,344.33","2,346.35","2,274.49","2,275.70","267,663"
12/13/2023,"2,344.06","2,345.98","2,316.82","2,340.00","182,945"
12/12/2023,"2,307.83","2,321.18","2,290.92","2,320.39","142,860"
12/11/2023,"2,250.00","2,302.92","2,250.00","2,295.48","252,614"
12/08/2023,"2,224.17","2,244.71","2,221.45","2,242.95","163,445"
12/07/2023,"2,210.81","2,227.66","2,206.33","2,226.25","127,634"
12/06/2023,"2,238.49","2,248.39","2,208.27","2,210.05","166,660"
12/05/2023,"2,219.00","2,236.48","2,219.00","2,226.25","114,924"
12/04/2023,"2,235.00","2,243.89","2,210.00","2,219.20","172,079"
12/01/2023,"2,199.81","2,239.73","2,199.81","2,233.83","215,946"
11/30/2023,"2,182.88","2,210.29","2,182.88","2,202.25","259,106"
11/29/2023,"2,211.62","2,219.00","2,185.76","2,189.11","179,176"
11/28/2023,"2,210.00","2,216.51","2,199.06","2,206.67","144,137"
11/27/2023,"2,222.98","2,238.50","2,205.50","2,209.19","207,828"
11/24/2023,"2,205.00","2,225.00","2,204.00","2,219.67","67,447"
11/22/2023,"2,214.37","2,224.80","2,210.00","2,218.93","177,913"
11/21/2023,"2,191.32","2,207.53","2,186.90","2,197.64","182,429"
