Date,Open,High,Low,Close,Volume
02/16/2024,"57.00","57.50","56.73","57.27","2,081,473"
02/15/2024,"56.69","57.52","56.69","57.22","1,900,399"
02/14/2024,"56.13","56.58","55.82","56.42","1,833,923"
02/13/2024,"56.76","56.92","55.10","56.14","2,487,267"
02/12/2024,"56.17","56.97","56.01","56.95","1,706,315"
02/09/2024,"55.73","56.11","55.60","56.08","1,604,884"
02/08/2024,"56.16","56.34","55.71","56.27","2,128,060"
02/07/2024,"56.75","56.77","56.23","56.41","1,907,703"
02/06/2024,"56.34","56.78","56.27","56.47","2,505,597"
02/05/2024,"57.04","57.15","56.48","56.58","2,323,043"
02/02/2024,"58.72","58.79","57.34","57.77","3,221,124"
02/01/2024,"57.25","58.95","56.72","58.84","4,020,942"
01/31/2024,"57.89","58.09","56.95","57.16","2,891,901"
01/30/2024,"57.04","57.61","56.59","57.28","1,916,124"
01/29/2024,"56.36","57.24","56.03","57.13","1,546,644"
01/26/2024,"56.66","56.78","56.22","56.39","1,865,832"
01/25/2024,"56.20","56.52","55.71","56.46","2,436,201"
01/24/2024,"57.22","57.25","55.53","55.61","2,136,141"
01/23/2024,"56.58","56.94","56.37","56.81","2,350,873"
01/22/2024,"56.46","57.02","56.25","56.59","3,195,929"
01/19/2024,"56.54","56.58","55.96","56.44","1,950,853"
01/18/2024,"56.83","56.84","56.14","56.34","3,001,087"
01/17/2024,"57.77","58.50","56.86","57.18","2,353,064"
01/16/2024,"58.23","58.63","57.81","58.07","2,759,450"
01/12/2024,"58.13","58.38","57.88","58.10","2,787,424"
01/11/2024,"59.25","59.29","57.40","57.68","2,718,373"
01/10/2024,"59.22","59.83","59.20","59.50","1,412,915"
01/09/2024,"59.31","59.53","58.95","59.37","1,213,319"
01/08/2024,"59.08","59.60","58.91","59.57","1,934,830"
01/05/2024,"59.27","59.80","59.02","59.34","1,675,097"
01/04/2024,"59.35","59.90","59.04","59.38","1,829,593"
01/03/2024,"59.31","59.49","58.89","59.29","1,908,004"
01/02/2024,"57.84","59.29","57.78","59.21","2,188,051"
12/29/2023,"57.93","58.29","57.75","58.07","1,538,869"
12/28/2023,"57.20","58.02","57.20","58.00","2,828,526"
12/27/2023,"57.28","57.57","57.03","57.46","1,847,922"
12/26/2023,"57.20","57.68","57.08","57.50","1,067,194"
12/22/2023,"57.23","57.84","57.08","57.23","1,602,203"
12/21/2023,"57.06","57.52","56.54","56.91","2,022,631"
12/20/2023,"57.88","58.02","57.07","57.10","2,005,224"
12/19/2023,"58.25","58.34","57.75","58.04","2,055,557"
12/18/2023,"58.34","58.47","57.87","58.10","3,406,652"
12/15/2023,"58.27","58.56","57.50","57.98","4,149,255"
12/14/2023,"60.30","60.36","58.74","58.96","3,043,747"
12/13/2023,"58.04","59.91","57.50","59.91","2,646,313"
12/12/2023,"58.21","58.21","57.51","57.97","2,640,640"
12/11/2023,"57.95","58.40","57.66","58.08","2,559,107"
12/08/2023,"57.87","58.27","57.41","58.15","2,281,686"
12/07/2023,"57.85","58.18","57.37","57.94","2,082,376"
12/06/2023,"57.49","57.98","57.34","57.83","2,280,914"
12/05/2023,"58.43","58.43","57.22","57.33","2,511,472"
12/04/2023,"58.02","58.74","57.84","58.33","1,843,689"
12/01/2023,"56.71","58.42","56.62","58.40","3,880,113"
11/30/2023,"56.87","57.00","56.22","56.76","3,234,670"
11/29/2023,"57.53","57.85","56.67","56.75","2,296,949"
11/28/2023,"57.30","58.12","57.18","57.44","2,457,972"
11/27/2023,"57.57","57.57","57.02","57.33","2,950,264"
11/24/2023,"57.29","57.59","56.96","57.59","858,234"
11/22/2023,"57.02","57.22","56.62","57.07","2,233,639"
11/21/2023,"57.26","57.31","56.46","56.83","2,274,151"
