Date,Open,High,Low,Close,Volume
02/20/2024,"78.70","79.84","78.40","79.29","3,663,570"
02/16/2024,"78.39","79.01","78.07","78.74","2,259,779"
02/15/2024,"77.73","78.46","77.65","78.30","1,906,885"
02/14/2024,"76.90","77.54","76.66","77.49","2,017,350"
02/13/2024,"77.82","78.40","76.49","76.70","2,379,930"
02/12/2024,"77.19","78.07","76.60","77.91","2,416,516"
02/09/2024,"76.31","77.36","75.89","77.33","2,508,555"
02/08/2024,"75.29","76.58","74.68","76.50","3,281,524"
02/07/2024,"75.02","75.87","74.33","74.92","4,649,699"
02/06/2024,"73.76","76.39","71.48","74.92","4,652,462"
02/05/2024,"75.30","75.30","74.05","74.07","3,352,199"
02/02/2024,"75.51","75.73","74.63","75.41","2,265,459"
02/01/2024,"75.16","75.88","74.20","75.30","2,548,194"
01/31/2024,"75.46","75.76","75.04","75.31","3,095,434"
01/30/2024,"74.21","74.93","73.90","74.86","2,265,501"
01/29/2024,"73.51","74.25","73.28","74.06","2,072,453"
01/26/2024,"73.80","74.14","73.18","73.77","2,979,251"
01/25/2024,"72.95","74.67","71.81","73.55","5,121,187"
01/24/2024,"76.31","77.29","75.26","75.48","3,155,535"
01/23/2024,"75.19","76.14","75.18","75.56","2,195,224"
01/22/2024,"74.54","75.35","73.82","75.17","3,179,646"
01/19/2024,"76.72","76.76","74.12","74.15","4,026,208"
01/18/2024,"74.61","76.71","74.27","76.60","3,081,453"
01/17/2024,"78.85","79.56","77.78","78.00","2,567,631"
01/16/2024,"79.14","79.31","78.42","78.72","2,765,926"
01/12/2024,"77.38","79.00","76.61","78.81","2,966,223"
01/11/2024,"78.42","79.83","77.94","79.47","3,943,383"
01/10/2024,"77.52","78.47","77.51","78.41","2,705,228"
01/09/2024,"76.76","78.08","76.71","78.01","2,443,781"
01/08/2024,"77.59","77.78","75.32","76.76","2,078,083"
01/05/2024,"77.27","77.62","76.73","77.38","2,453,662"
01/04/2024,"77.04","77.63","76.68","77.21","3,052,814"
01/03/2024,"77.88","77.92","76.28","76.74","3,907,591"
01/02/2024,"75.00","77.53","75.00","76.83","3,730,930"
12/29/2023,"73.63","74.58","73.63","74.21","2,512,201"
12/28/2023,"73.52","74.18","73.45","73.89","2,729,598"
12/27/2023,"73.75","73.81","72.95","73.43","2,310,271"
12/26/2023,"73.17","73.91","73.09","73.65","1,507,623"
12/22/2023,"73.56","73.62","72.74","73.34","2,156,737"
12/21/2023,"72.70","73.46","72.28","73.41","3,351,813"
12/20/2023,"74.33","74.46","72.05","72.21","4,532,560"
12/19/2023,"74.73","75.25","73.97","74.53","2,859,896"
12/18/2023,"74.49","74.89","73.91","74.79","3,635,313"
12/15/2023,"74.90","75.43","72.86","74.22","7,372,588"
12/14/2023,"76.69","76.69","74.18","75.51","5,617,694"
12/13/2023,"75.86","76.78","74.82","76.67","4,912,936"
12/12/2023,"75.62","77.83","75.62","76.34","5,290,261"
12/11/2023,"74.03","74.30","73.01","74.25","2,650,122"
12/08/2023,"74.63","74.63","73.41","73.77","2,693,987"
12/07/2023,"74.84","74.84","73.62","74.24","2,434,631"
12/06/2023,"74.97","75.00","73.83","74.40","2,153,330"
12/05/2023,"74.37","75.31","73.75","75.01","3,012,374"
12/04/2023,"74.84","74.88","73.52","74.03","2,348,672"
12/01/2023,"73.54","74.97","73.49","74.88","3,888,414"
11/30/2023,"70.61","73.76","70.50","73.68","6,144,627"
11/29/2023,"72.34","72.83","68.15","70.48","6,735,768"
11/28/2023,"73.00","73.88","72.43","72.96","2,904,875"
11/27/2023,"74.40","74.65","73.65","74.11","2,059,668"
11/24/2023,"74.22","74.58","73.99","74.36","640,918"
11/22/2023,"73.95","74.51","73.82","74.21","1,794,000"
