Date,Open,High,Low,Close,Volume
02/16/2024,"136.01","138.01","135.13","137.23","1,631,602"
02/15/2024,"135.77","137.21","135.38","136.36","1,527,017"
02/14/2024,"134.95","135.21","133.27","135.11","1,271,923"
02/13/2024,"135.14","135.14","132.39","133.53","2,133,402"
02/12/2024,"135.60","138.03","134.82","137.48","1,522,380"
02/09/2024,"135.11","135.50","133.35","135.17","1,353,522"
02/08/2024,"133.89","135.53","132.50","135.38","1,567,653"
02/07/2024,"134.85","135.13","132.31","133.97","1,445,814"
02/06/2024,"134.78","135.45","133.03","134.35","1,567,531"
02/05/2024,"135.02","135.72","133.90","135.24","1,810,203"
02/02/2024,"134.04","137.25","133.03","136.48","2,128,070"
02/01/2024,"135.36","136.59","132.15","134.56","2,016,887"
01/31/2024,"137.11","138.63","135.00","135.32","2,192,269"
01/30/2024,"138.37","139.19","137.97","138.61","1,777,803"
01/29/2024,"139.64","140.86","136.95","138.48","2,656,538"
01/26/2024,"132.55","139.48","132.55","138.72","5,350,445"
01/25/2024,"132.34","134.00","131.81","132.55","4,207,439"
01/24/2024,"130.59","132.30","130.05","131.09","2,583,267"
01/23/2024,"130.18","130.30","129.09","129.76","2,163,842"
01/22/2024,"128.85","131.50","128.56","129.68","3,726,247"
01/19/2024,"125.85","128.49","124.74","127.98","2,981,479"
01/18/2024,"124.92","125.51","123.23","124.92","2,919,922"
01/17/2024,"125.54","127.57","125.13","126.08","2,384,459"
01/16/2024,"126.90","128.03","126.07","127.52","2,762,676"
01/12/2024,"128.62","129.34","126.73","127.70","2,288,610"
01/11/2024,"128.92","128.92","126.74","128.34","2,008,214"
01/10/2024,"131.28","131.54","127.41","128.94","3,669,344"
01/09/2024,"131.99","133.47","131.25","132.93","2,600,108"
01/08/2024,"131.45","133.81","130.79","133.71","2,624,734"
01/05/2024,"129.44","134.26","129.01","132.42","3,511,572"
01/04/2024,"130.24","131.33","129.27","129.77","2,605,756"
01/03/2024,"130.81","131.64","129.02","130.72","2,505,221"
01/02/2024,"130.60","132.33","129.89","132.11","2,176,697"
12/29/2023,"131.81","132.50","130.65","131.12","1,385,028"
12/28/2023,"131.13","132.27","130.80","132.02","1,198,198"
12/27/2023,"130.94","131.28","130.00","131.15","1,007,396"
12/26/2023,"129.74","130.82","129.23","130.73","863,998"
12/22/2023,"130.15","131.36","129.19","129.74","1,371,487"
12/21/2023,"128.89","130.63","128.63","129.64","3,203,327"
12/20/2023,"131.68","132.14","127.73","127.73","2,780,409"
12/19/2023,"129.57","132.06","129.22","131.52","2,663,239"
12/18/2023,"130.08","130.87","129.60","129.98","2,630,737"
12/15/2023,"128.37","129.95","127.50","129.68","5,016,580"
12/14/2023,"126.77","130.15","126.68","129.20","6,375,731"
12/13/2023,"121.00","125.21","120.07","125.09","3,871,410"
12/12/2023,"118.52","121.06","118.52","120.29","3,666,368"
12/11/2023,"117.73","119.67","117.13","118.81","3,138,230"
12/08/2023,"115.50","118.55","114.89","118.09","3,024,938"
12/07/2023,"114.06","115.93","113.42","115.38","3,674,996"
12/06/2023,"117.27","118.09","113.49","113.77","2,480,056"
12/05/2023,"114.44","116.31","113.67","115.32","3,572,618"
12/04/2023,"112.99","116.02","112.64","114.94","3,594,024"
12/01/2023,"111.34","115.14","111.34","113.93","3,422,261"
11/30/2023,"110.80","111.97","110.18","111.66","2,439,315"
11/29/2023,"109.18","111.56","109.18","110.13","2,087,529"
11/28/2023,"106.37","109.05","106.14","108.58","1,874,580"
11/27/2023,"105.70","106.61","105.43","106.18","1,556,795"
11/24/2023,"107.08","107.36","106.23","106.57","524,055"
11/22/2023,"106.40","107.07","105.39","106.77","1,342,790"
11/21/2023,"106.81","107.25","105.60","105.78","1,545,347"
