Date,Open,High,Low,Close,Volume
02/20/2024,"728.03","734.96","723.71","725.69","2,407,333"
02/16/2024,"721.99","729.06","718.50","723.99","1,764,947"
02/15/2024,"721.49","726.03","718.28","724.51","1,264,141"
02/14/2024,"716.00","722.55","711.07","722.18","1,472,519"
02/13/2024,"721.39","721.78","709.04","714.25","1,951,080"
02/12/2024,"723.52","723.80","715.30","722.41","1,572,611"
02/09/2024,"725.14","725.53","720.12","723.40","1,426,119"
02/08/2024,"723.89","728.17","720.66","724.16","1,918,506"
02/07/2024,"714.15","723.32","712.00","719.78","2,145,467"
02/06/2024,"711.23","712.72","704.34","710.79","1,920,162"
02/05/2024,"710.64","712.86","705.68","711.16","2,276,889"
02/02/2024,"703.34","714.28","702.26","709.48","2,377,629"
02/01/2024,"694.00","705.30","691.50","704.48","2,039,177"
01/31/2024,"701.32","705.52","693.04","694.88","1,928,495"
01/30/2024,"692.94","702.65","690.80","700.74","1,610,482"
01/29/2024,"689.90","694.13","686.26","694.01","2,215,436"
01/26/2024,"680.08","687.24","679.50","686.88","1,825,517"
01/25/2024,"686.50","686.50","675.96","679.90","2,751,888"
01/24/2024,"689.00","689.97","683.12","686.51","1,946,549"
01/23/2024,"690.72","691.63","684.63","687.59","2,208,580"
01/22/2024,"695.43","698.66","690.52","692.51","2,452,868"
01/19/2024,"688.50","696.13","682.67","694.97","2,267,866"
01/18/2024,"682.83","687.72","680.21","687.31","1,900,615"
01/17/2024,"680.50","684.87","679.19","684.19","1,786,799"
01/16/2024,"683.24","686.52","678.16","681.49","1,626,699"
01/12/2024,"677.50","683.72","676.11","683.24","2,388,399"
01/11/2024,"671.00","674.51","667.64","673.58","1,670,780"
01/10/2024,"669.56","673.83","669.01","672.76","1,801,881"
01/09/2024,"658.88","667.29","658.26","667.18","1,886,171"
01/08/2024,"655.81","662.08","654.03","661.69","2,245,294"
01/05/2024,"656.18","659.65","652.24","656.01","2,233,451"
01/04/2024,"642.08","649.90","640.51","648.35","2,171,077"
01/03/2024,"651.21","655.45","643.10","644.69","2,612,563"
01/02/2024,"655.58","657.80","649.50","650.65","2,657,689"
12/29/2023,"661.00","663.19","657.16","660.08","1,947,516"
12/28/2023,"665.85","666.86","661.59","663.10","1,496,929"
12/27/2023,"662.70","668.58","660.40","666.80","1,875,928"
12/26/2023,"673.01","675.86","670.78","674.62","1,774,769"
12/22/2023,"668.00","673.27","666.00","671.60","1,641,675"
12/21/2023,"665.86","667.34","659.45","665.16","2,388,448"
12/20/2023,"671.79","674.35","660.80","661.00","3,782,659"
12/19/2023,"675.00","680.80","669.12","677.74","3,437,331"
12/18/2023,"664.50","681.91","661.10","681.24","5,733,447"
12/15/2023,"641.50","661.88","640.50","658.82","8,807,735"
12/14/2023,"641.18","641.90","630.30","630.78","3,839,180"
12/13/2023,"633.92","642.60","631.00","642.00","2,436,857"
12/12/2023,"627.44","629.69","623.21","629.50","2,374,394"
12/11/2023,"621.97","625.03","618.76","623.86","2,139,261"
12/08/2023,"608.60","613.61","607.73","610.78","1,502,329"
12/07/2023,"610.00","612.35","606.35","610.95","1,690,366"
12/06/2023,"605.50","608.48","603.86","607.43","2,234,139"
12/05/2023,"598.53","608.88","597.03","605.35","2,349,732"
12/04/2023,"592.15","599.53","591.46","599.08","1,624,045"
12/01/2023,"593.28","596.35","590.59","596.25","1,475,343"
11/30/2023,"587.83","593.07","582.83","592.74","1,755,214"
11/29/2023,"595.20","595.21","587.42","587.86","1,319,844"
11/28/2023,"593.19","597.42","591.42","594.00","1,286,847"
11/27/2023,"592.52","599.94","592.41","594.90","1,627,378"
11/24/2023,"591.02","594.20","590.41","591.36","645,766"
11/22/2023,"586.85","591.14","586.35","589.08","1,068,932"
