Date,Open,High,Low,Close,Volume
02/16/2024,"41.11","41.55","40.92","41.45","3,338,383"
02/15/2024,"41.20","41.43","40.88","41.28","2,565,484"
02/14/2024,"41.43","41.52","40.26","40.92","5,126,620"
02/13/2024,"42.51","42.91","41.53","41.73","4,046,300"
02/12/2024,"41.78","42.52","41.58","42.47","2,395,751"
02/09/2024,"42.94","42.96","41.72","41.99","3,026,894"
02/08/2024,"43.44","43.84","43.00","43.10","2,418,860"
02/07/2024,"44.60","44.60","43.34","43.63","2,241,776"
02/06/2024,"43.70","44.71","43.60","44.36","3,188,684"
02/05/2024,"44.78","44.85","43.65","43.72","2,485,980"
02/02/2024,"45.22","45.46","44.47","44.82","2,261,609"
02/01/2024,"43.98","45.20","43.64","45.20","2,380,619"
01/31/2024,"44.70","45.07","44.35","44.63","2,658,601"
01/30/2024,"43.84","44.70","43.57","44.68","2,328,231"
01/29/2024,"44.55","44.57","43.77","43.78","2,918,565"
01/26/2024,"44.40","44.55","44.23","44.50","1,782,108"
01/25/2024,"44.14","44.50","43.76","44.24","2,036,701"
01/24/2024,"44.21","44.58","44.01","44.12","3,036,482"
01/23/2024,"43.12","44.43","43.12","44.25","3,093,431"
01/22/2024,"43.10","43.23","42.71","43.17","1,839,879"
01/19/2024,"43.79","43.81","43.08","43.15","2,228,080"
01/18/2024,"43.82","43.98","43.44","43.71","2,362,273"
01/17/2024,"43.39","44.43","43.30","44.12","2,857,325"
01/16/2024,"43.53","43.56","43.14","43.54","2,735,854"
01/12/2024,"43.74","43.92","43.21","43.42","1,939,426"
01/11/2024,"43.70","43.78","43.30","43.46","2,938,987"
01/10/2024,"44.54","44.67","43.63","43.72","3,077,181"
01/09/2024,"43.90","44.86","43.52","44.80","3,505,447"
01/08/2024,"43.54","44.01","43.47","43.93","2,034,845"
01/05/2024,"43.35","43.80","42.99","43.61","2,063,781"
01/04/2024,"44.60","44.72","43.42","43.47","2,734,895"
01/03/2024,"44.71","44.90","44.52","44.53","3,397,201"
01/02/2024,"43.17","44.84","43.13","44.74","3,198,075"
12/29/2023,"42.93","43.28","42.84","43.23","2,173,960"
12/28/2023,"42.72","43.03","42.70","42.99","1,690,733"
12/27/2023,"42.87","42.95","42.72","42.85","1,736,279"
12/26/2023,"42.74","43.06","42.70","42.98","1,659,873"
12/22/2023,"42.91","43.35","42.84","43.00","2,051,797"
12/21/2023,"42.68","42.88","42.23","42.77","2,356,046"
12/20/2023,"43.41","43.41","42.58","42.60","4,020,985"
12/19/2023,"43.85","44.01","43.35","43.68","2,561,377"
12/18/2023,"43.96","44.06","43.57","43.76","2,841,969"
12/15/2023,"44.41","44.49","43.59","43.88","8,743,464"
12/14/2023,"45.46","45.61","44.38","44.41","3,461,960"
12/13/2023,"44.48","45.60","44.47","45.34","4,099,769"
12/12/2023,"43.95","44.52","43.80","44.39","3,026,468"
12/11/2023,"43.22","43.84","43.10","43.83","3,286,445"
12/08/2023,"43.43","43.53","42.73","42.91","2,844,400"
12/07/2023,"43.38","43.98","42.55","43.44","4,722,659"
12/06/2023,"41.73","43.56","41.67","43.24","6,662,411"
12/05/2023,"41.17","41.22","40.18","40.37","5,150,372"
12/04/2023,"40.61","41.30","40.61","41.01","3,789,111"
12/01/2023,"40.19","40.61","39.90","40.60","2,643,966"
11/30/2023,"39.76","40.21","39.65","40.18","6,215,552"
11/29/2023,"40.35","40.50","39.74","39.76","2,681,560"
11/28/2023,"40.66","40.80","40.37","40.44","2,336,220"
11/27/2023,"41.14","41.16","40.49","40.83","2,535,069"
11/24/2023,"40.96","41.23","40.96","41.15","711,120"
11/22/2023,"40.86","41.25","40.73","40.96","1,962,431"
11/21/2023,"40.88","40.95","40.51","40.65","2,458,696"
